epoch,lr_backbone,lr_head,train_loss,AP,AP50,AP75,AP_S,AP_M,AP_L,img_per_sec,wall_time
0,1e-05,0.0001,0.971,,,,,,,65.41,1792.7
1,9.961e-06,9.96061e-05,0.8305,,,,,,,40.9,2867.0
2,9.8445e-06,9.84307e-05,0.7564,,,,,,,41.25,2842.6
3,9.6524e-06,9.64923e-05,0.7056,,,,,,,41.18,2847.8
4,9.3877e-06,9.38215e-05,0.6722,28.77,50.69,29.341,13.648,29.629,43.115,40.94,2864.5
5,9.0546e-06,9.04604e-05,0.6379,,,,,,,41.05,2856.5
6,8.6584e-06,8.6462e-05,0.6221,,,,,,,40.7,2881.2
7,8.2052e-06,8.18893e-05,0.5976,,,,,,,41.19,2846.7
8,7.7023e-06,7.68145e-05,0.5781,,,,,,,40.27,2912.2
9,7.1576e-06,7.13177e-05,0.5605,33.087,55.428,35.095,16.438,34.517,48.715,41.07,2855.6
10,6.5796e-06,6.54854e-05,0.5461,,,,,,,40.95,2863.8
11,5.9775e-06,5.94097e-05,0.5315,,,,,,,40.29,2910.4
12,5.3608e-06,5.31864e-05,0.5185,,,,,,,40.05,2928.2
13,4.7392e-06,4.69136e-05,0.5086,,,,,,,40.26,2912.8
14,4.1225e-06,4.06903e-05,0.4968,34.42,56.677,36.707,17.861,36.427,49.861,40.75,2878.0
15,3.5204e-06,3.46146e-05,0.4881,,,,,,,40.6,2888.3
16,2.9424e-06,2.87823e-05,0.4759,,,,,,,41.02,2858.8
17,2.3977e-06,2.32855e-05,0.47,,,,,,,41.11,2852.9
18,1.8948e-06,1.82107e-05,0.462,,,,,,,40.08,2925.8
19,1.4416e-06,1.3638e-05,0.4537,34.857,57.028,36.887,18.154,37.139,49.993,41.01,2859.8
20,1.0454e-06,9.6396e-06,0.4489,,,,,,,40.19,2918.1
21,7.123e-07,6.2785e-06,0.4457,,,,,,,40.33,2908.0
22,4.476e-07,3.6077e-06,0.4388,,,,,,,41.15,2849.9
23,2.555e-07,1.6693e-06,0.4398,,,,,,,41.12,2851.9
24,1.39e-07,4.939e-07,0.4359,34.912,57.142,37.21,18.46,37.049,49.867,41.0,2860.5
