epoch,lr_backbone,lr_head,train_loss,AP,AP50,AP75,AP_S,AP_M,AP_L,img_per_sec,wall_time
0,1e-05,0.0001,0.9694,,,,,,,65.89,1779.7
1,9.961e-06,9.96061e-05,0.8281,,,,,,,42.67,2747.9
2,9.8445e-06,9.84307e-05,0.7531,,,,,,,42.04,2789.7
3,9.6524e-06,9.64923e-05,0.705,,,,,,,41.84,2802.8
4,9.3877e-06,9.38215e-05,0.6719,29.594,51.63,30.284,14.242,30.832,43.782,42.04,2789.7
5,9.0546e-06,9.04604e-05,0.6357,,,,,,,42.53,2757.0
6,8.6584e-06,8.6462e-05,0.6213,,,,,,,41.89,2799.6
7,8.2052e-06,8.18893e-05,0.5963,,,,,,,41.82,2804.4
8,7.7023e-06,7.68145e-05,0.5775,,,,,,,42.46,2762.1
9,7.1576e-06,7.13177e-05,0.5587,32.917,55.121,34.776,17.086,34.129,47.106,42.31,2771.6
10,6.5796e-06,6.54854e-05,0.5447,,,,,,,42.64,2750.1
11,5.9775e-06,5.94097e-05,0.5303,,,,,,,42.56,2755.7
12,5.3608e-06,5.31864e-05,0.5169,,,,,,,41.68,2813.5
13,4.7392e-06,4.69136e-05,0.5073,,,,,,,41.77,2807.7
14,4.1225e-06,4.06903e-05,0.4953,34.562,56.52,36.625,17.632,36.506,49.085,41.76,2808.2
15,3.5204e-06,3.46146e-05,0.4869,,,,,,,41.74,2809.8
16,2.9424e-06,2.87823e-05,0.4739,,,,,,,42.05,2789.1
17,2.3977e-06,2.32855e-05,0.4684,,,,,,,42.75,2743.0
18,1.8948e-06,1.82107e-05,0.4599,,,,,,,42.44,2763.0
19,1.4416e-06,1.3638e-05,0.4515,35.03,57.066,36.793,18.159,36.991,49.638,42.91,2732.6
20,1.0454e-06,9.6396e-06,0.4466,,,,,,,42.77,2741.6
21,7.123e-07,6.2785e-06,0.4436,,,,,,,42.1,2785.2
22,4.476e-07,3.6077e-06,0.436,,,,,,,42.58,2754.2
23,2.555e-07,1.6693e-06,0.4372,,,,,,,42.73,2744.3
24,1.39e-07,4.939e-07,0.4335,35.135,57.115,37.028,18.391,37.209,49.636,42.62,2751.7
