epoch,lr_backbone,lr_head,train_loss,AP,AP50,AP75,AP_S,AP_M,AP_L,img_per_sec,wall_time
0,1e-05,0.0001,0.9592,,,,,,,62.58,1873.9
1,9.961e-06,9.96061e-05,0.827,,,,,,,38.29,3062.7
2,9.8445e-06,9.84307e-05,0.7572,,,,,,,38.43,3051.8
3,9.6524e-06,9.64923e-05,0.7101,,,,,,,38.39,3054.9
4,9.3877e-06,9.38215e-05,0.6781,29.148,51.561,29.509,13.774,30.32,43.437,38.37,3056.2
5,9.0546e-06,9.04604e-05,0.6451,,,,,,,38.3,3062.2
6,8.6584e-06,8.6462e-05,0.6296,,,,,,,38.29,3062.8
7,8.2052e-06,8.18893e-05,0.6062,,,,,,,38.37,3056.1
8,7.7023e-06,7.68145e-05,0.5868,,,,,,,38.33,3059.2
9,7.1576e-06,7.13177e-05,0.5698,33.006,55.406,34.357,15.855,34.803,48.438,38.33,3059.7
10,6.5796e-06,6.54854e-05,0.5556,,,,,,,38.31,3061.0
11,5.9775e-06,5.94097e-05,0.5412,,,,,,,38.17,3072.2
12,5.3608e-06,5.31864e-05,0.5292,,,,,,,38.39,3054.6
13,4.7392e-06,4.69136e-05,0.5185,,,,,,,38.58,3039.5
14,4.1225e-06,4.06903e-05,0.5067,34.701,56.878,36.786,17.472,36.513,50.599,38.76,3025.2
15,3.5204e-06,3.46146e-05,0.4994,,,,,,,38.32,3060.5
16,2.9424e-06,2.87823e-05,0.4858,,,,,,,38.96,3010.2
17,2.3977e-06,2.32855e-05,0.481,,,,,,,38.44,3050.8
18,1.8948e-06,1.82107e-05,0.4725,,,,,,,38.1,3077.8
19,1.4416e-06,1.3638e-05,0.465,35.272,57.54,37.42,17.866,37.823,50.918,38.3,3061.5
20,1.0454e-06,9.6396e-06,0.4591,,,,,,,38.28,3063.6
21,7.123e-07,6.2785e-06,0.4571,,,,,,,38.39,3054.8
22,4.476e-07,3.6077e-06,0.4489,,,,,,,38.36,3057.4
23,2.555e-07,1.6693e-06,0.4503,,,,,,,38.4,3053.7
24,1.39e-07,4.939e-07,0.4463,35.339,57.476,37.624,17.616,37.752,51.031,38.26,3064.9
