recipe,epoch,iter,layer,grad_phi_norm
mixup,0,0,0,5.196481288294308e-05
mixup,0,0,1,2.0174453311483376e-05
mixup,0,0,2,1.1052940863010008e-05
mixup,0,0,3,7.861903213779442e-06
mixup,0,0,4,7.1482609200757e-06
mixup,0,0,5,7.910772183095105e-06
mixup,0,0,6,1.1791375072789378e-05
mixup,0,0,7,5.328758106770692e-06
mixup,0,0,8,4.2123469938815106e-06
mixup,0,0,9,5.341667929315008e-06
mixup,0,0,10,3.635250322986394e-06
mixup,0,0,11,0.0
mixup,0,100,0,5.224532287684269e-05
mixup,0,100,1,1.4989373994467314e-05
mixup,0,100,2,1.8725744666880928e-05
mixup,0,100,3,8.225177225540392e-06
mixup,0,100,4,1.0749253306130413e-05
mixup,0,100,5,9.07202047528699e-06
mixup,0,100,6,8.555415661248844e-06
mixup,0,100,7,6.261775070015574e-06
mixup,0,100,8,5.981578851788072e-06
mixup,0,100,9,3.1361269066110253e-06
mixup,0,100,10,4.49049503004062e-06
mixup,0,100,11,0.0
mixup,0,200,0,4.473209992283955e-05
mixup,0,200,1,3.249209839850664e-05
mixup,0,200,2,1.39997573569417e-05
mixup,0,200,3,1.2198076547065284e-05
mixup,0,200,4,1.2301738934183959e-05
mixup,0,200,5,8.056756996666081e-06
mixup,0,200,6,6.367343303281814e-06
mixup,0,200,7,6.241465143830283e-06
mixup,0,200,8,5.2445457185967825e-06
mixup,0,200,9,4.205186996841803e-06
mixup,0,200,10,2.8085521535103908e-06
mixup,0,200,11,0.0
mixup,0,300,0,3.29956783389207e-05
mixup,0,300,1,2.6533813070273027e-05
mixup,0,300,2,1.2874399544671178e-05
mixup,0,300,3,1.697234620223753e-05
mixup,0,300,4,1.0609743185341358e-05
mixup,0,300,5,8.244621312769596e-06
mixup,0,300,6,5.411934125731932e-06
mixup,0,300,7,5.730344582843827e-06
mixup,0,300,8,4.775504294229904e-06
mixup,0,300,9,4.299748979974538e-06
mixup,0,300,10,2.59767170973646e-06
mixup,0,300,11,0.0
mixup,0,400,0,3.350372935528867e-05
mixup,0,400,1,2.7862903152708896e-05
mixup,0,400,2,1.8859203919419087e-05
mixup,0,400,3,1.3900389603804797e-05
mixup,0,400,4,1.229713325301418e-05
mixup,0,400,5,1.0502246368560009e-05
mixup,0,400,6,1.239355424331734e-05
mixup,0,400,7,7.109004855010426e-06
mixup,0,400,8,7.394210115307942e-06
mixup,0,400,9,3.982504495070316e-06
mixup,0,400,10,2.5399278911208967e-06
mixup,0,400,11,0.0
mixup,0,500,0,4.819516107090749e-05
mixup,0,500,1,1.629259713809006e-05
mixup,0,500,2,1.8795226424117573e-05
mixup,0,500,3,9.340793440060224e-06
mixup,0,500,4,7.756312697893009e-06
mixup,0,500,5,5.8616415117285214e-06
mixup,0,500,6,7.682840077904984e-06
mixup,0,500,7,1.0020452464232221e-05
mixup,0,500,8,4.680183792515891e-06
mixup,0,500,9,5.395472271629842e-06
mixup,0,500,10,2.6409586553199915e-06
mixup,0,500,11,0.0
mixup,0,600,0,3.658149944385514e-05
mixup,0,600,1,1.3440170732792467e-05
mixup,0,600,2,1.1340515811752994e-05
mixup,0,600,3,1.1571917639230378e-05
mixup,0,600,4,5.659755970555125e-06
mixup,0,600,5,1.0918397492787335e-05
mixup,0,600,6,7.878855285525788e-06
mixup,0,600,7,3.759113724299823e-06
mixup,0,600,8,4.532879302132642e-06
mixup,0,600,9,5.6059257076412905e-06
mixup,0,600,10,2.226680862804642e-06
mixup,0,600,11,0.0
mixup,0,700,0,5.8676589105743915e-05
mixup,0,700,1,2.5993329472839832e-05
mixup,0,700,2,1.764479929988738e-05
mixup,0,700,3,1.5008184163889382e-05
mixup,0,700,4,1.006505135592306e-05
mixup,0,700,5,1.0365854905103333e-05
mixup,0,700,6,9.14729116630042e-06
mixup,0,700,7,1.1918377822439652e-05
mixup,0,700,8,5.613710072793765e-06
mixup,0,700,9,4.365836957731517e-06
mixup,0,700,10,2.7923188099521212e-06
mixup,0,700,11,0.0
mixup,0,800,0,4.1618051909608766e-05
mixup,0,800,1,2.1718886273447424e-05
mixup,0,800,2,1.3783424947177991e-05
mixup,0,800,3,1.094042818294838e-05
mixup,0,800,4,7.142342838051263e-06
mixup,0,800,5,7.320768872887129e-06
mixup,0,800,6,4.982400241715368e-06
mixup,0,800,7,5.324704943632241e-06
mixup,0,800,8,3.947324785258388e-06
mixup,0,800,9,3.536886424626573e-06
mixup,0,800,10,1.290951217924885e-06
mixup,0,800,11,0.0
mixup,0,900,0,3.927499346900731e-05
mixup,0,900,1,3.3435284422012046e-05
mixup,0,900,2,1.4084039321460295e-05
mixup,0,900,3,1.2172142305644229e-05
mixup,0,900,4,7.569803528895136e-06
mixup,0,900,5,9.23861352930544e-06
