work_package,split_name,split_sha256,git_sha,generated_by,run_id,arch,recipe_actual,cell,variant,provenance_tag,ckpt_sha256,condition_id,stage,basis,n_images,n_positions,grid_side,n_prefix,tau,source,mass,count_per_image,p_any,entropy_normalized,entropy_normalized_excess,gini,gini_null,gini_excess,top5_share,top5_share_uniform,top5_share_excess,eta2_pos,position_rel_se,ring0_freq,ring1_freq,ring2_freq,ring3_freq,ring4_freq,ring5_freq,ring6_freq,ring0_share,ring1_share,peak_ring,centre_freq,ring1_minus_ring0,ring1_freq_conditional,ring1_freq_share,split_half_rho,split_half_p,split_half_n_transforms,bootstrap_seed,note
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vitb_mixup_baseline_s1,vit_base,mixup,vit_base|mixup,baseline,s1,316211c719c41113c1f9bffa7f500e158d727c0f0998e41869796209a3fd1339,native,s11_out,fixed_cal,10000,196,14,1,96.320408,results\frozen\I1_spatial\evaluation\e2r_vitb_mixup_baseline_s1\maps_s11_out.npz,13.2845,13.2845,1.0,0.956807,-0.043064,0.370048,0.020797,0.349251,0.098626,0.02551,0.070935,0.039895,0.037086,0.045875,0.132186,0.075006,0.049079,0.02743,0.027867,0.03135,0.17957,0.437819,1,0.03135,0.086311,0.132186,0.00995,0.990261,0.000638,1568,0,"conditional = absolute / p_any and share = absolute / mass; all three are proportional, so rankings and Spearman correlations are identical and only the scale differs"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vitb_mixup_saga_s1,vit_base,mixup,vit_base|mixup,saga,s1,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,native,s11_out,fixed_cal,10000,196,14,1,96.320408,results\frozen\I1_spatial\evaluation\e2r_vitb_mixup_saga_s1\maps_s11_out.npz,4.3881,4.3881,1.0,0.91435,-0.085238,0.502099,0.037105,0.464993,0.157904,0.02551,0.128464,0.030534,0.06608,0.00884,0.053023,0.025733,0.013254,0.008405,0.008242,0.007725,0.104761,0.531665,1,0.007725,0.044182,0.053023,0.012083,0.978979,0.000638,1568,0,"conditional = absolute / p_any and share = absolute / mass; all three are proportional, so rankings and Spearman correlations are identical and only the scale differs"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vits_mixup_baseline_s1,vit_small,mixup,vit_small|mixup,baseline,s1,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,native,s11_out,fixed_cal,10000,196,14,1,18.698548,results\frozen\I1_spatial\evaluation\e2r_vits_mixup_baseline_s1\maps_s11_out.npz,20.3692,20.3692,1.0,0.982477,-0.017441,0.236914,0.016476,0.220437,0.063861,0.02551,0.036625,0.0233,0.029364,0.07674,0.166109,0.112125,0.086979,0.072005,0.070675,0.07745,0.195909,0.358816,1,0.07745,0.089369,0.166109,0.008155,0.986902,0.000638,1568,0,"conditional = absolute / p_any and share = absolute / mass; all three are proportional, so rankings and Spearman correlations are identical and only the scale differs"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vits_mixup_baseline_s2,vit_small,mixup,vit_small|mixup,baseline,s2,baeee13f1864b926489bb186587ec65152fa8a935806fdf491971899db37ca7d,native,s11_out,fixed_cal,10000,196,14,1,18.698548,results\frozen\I1_spatial\evaluation\e2r_vits_mixup_baseline_s2\maps_s11_out.npz,17.7787,17.7787,1.0,0.980514,-0.019392,0.250619,0.017758,0.232862,0.064026,0.02551,0.036657,0.022147,0.031661,0.068233,0.143757,0.104903,0.073646,0.05733,0.05585,0.062475,0.19957,0.35578,1,0.062475,0.075524,0.143757,0.008086,0.984648,0.000638,1568,0,"conditional = absolute / p_any and share = absolute / mass; all three are proportional, so rankings and Spearman correlations are identical and only the scale differs"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vits_mixup_saga_s1,vit_small,mixup,vit_small|mixup,saga,s1,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,native,s11_out,fixed_cal,10000,196,14,1,18.698548,results\frozen\I1_spatial\evaluation\e2r_vits_mixup_saga_s1\maps_s11_out.npz,11.4605,11.4605,1.0,0.9676,-0.032248,0.318177,0.022494,0.295683,0.086357,0.02551,0.058486,0.025035,0.040128,0.037838,0.10588,0.06755,0.042643,0.033425,0.0332,0.035375,0.171685,0.406501,1,0.035375,0.068041,0.10588,0.009239,0.976616,0.000638,1568,0,"conditional = absolute / p_any and share = absolute / mass; all three are proportional, so rankings and Spearman correlations are identical and only the scale differs"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vits_mixup_saga_s2,vit_small,mixup,vit_small|mixup,saga,s2,624a6006447345b4fe7f9ee15cedfae3d1c36838cf2f0fe38907261f5e530daf,native,s11_out,fixed_cal,10000,196,14,1,18.698548,results\frozen\I1_spatial\evaluation\e2r_vits_mixup_saga_s2\maps_s11_out.npz,12.5946,12.5946,1.0,0.974658,-0.025205,0.283854,0.021399,0.262455,0.077462,0.02551,0.049703,0.020697,0.03816,0.048208,0.110207,0.071553,0.046554,0.037605,0.037025,0.040725,0.199038,0.385014,1,0.040725,0.061999,0.110207,0.00875,0.983053,0.000638,1568,0,"conditional = absolute / p_any and share = absolute / mass; all three are proportional, so rankings and Spearman correlations are identical and only the scale differs"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vits_nomix_baseline_s1,vit_small,nomix,vit_small|nomix,baseline,s1,207a5e907fab6e3bf23abafce51b2bc55687b10ae70e65bf72c84b78fbe63c95,native,s11_out,fixed_cal,10000,196,14,1,19.938285,results\frozen\I1_spatial\evaluation\e2r_vits_nomix_baseline_s1\maps_s11_out.npz,2.917,2.917,0.6541,0.989845,-0.00953,0.181889,0.045673,0.136215,0.053685,0.02551,0.023332,0.001773,0.081359,0.01795,0.01715,0.014067,0.012014,0.010835,0.01005,0.012225,0.319986,0.25869,0,0.012225,-0.0008,0.026219,0.005879,0.85658,0.000638,1568,0,"conditional = absolute / p_any and share = absolute / mass; all three are proportional, so rankings and Spearman correlations are identical and only the scale differs"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vits_nomix_baseline_s2,vit_small,nomix,vit_small|nomix,baseline,s2,50acc743467a51828d2bf24e84f241705e33b1cf6a68a8e7f3a46413ed95d086,native,s11_out,fixed_cal,10000,196,14,1,19.938285,results\frozen\I1_spatial\evaluation\e2r_vits_nomix_baseline_s2\maps_s11_out.npz,3.7055,3.7055,0.7338,0.965703,-0.033807,0.295074,0.040444,0.25463,0.119417,0.02551,0.089632,0.011559,0.072038,0.027333,0.022243,0.015967,0.012496,0.010775,0.009867,0.011725,0.383565,0.264121,0,0.011725,-0.00509,0.030312,0.006003,0.914611,0.001276,1568,0,"conditional = absolute / p_any and share = absolute / mass; all three are proportional, so rankings and Spearman correlations are identical and only the scale differs"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vits_nomix_saga_s1,vit_small,nomix,vit_small|nomix,saga,s1,88f72869bae5882f6b8c0791c69ffea51ae55247276106e60d817f27e2a646ce,native,s11_out,fixed_cal,10000,196,14,1,19.938285,results\frozen\I1_spatial\evaluation\e2r_vits_nomix_saga_s1\maps_s11_out.npz,0.8028,0.8028,0.243,0.973942,-0.023746,0.296614,0.087575,0.209039,0.06577,0.02551,0.030701,0.001211,0.155931,0.006017,0.004868,0.003422,0.002707,0.00225,0.0018,0.002525,0.389761,0.266816,0,0.002525,-0.001149,0.020034,0.006064,0.874087,0.000638,1568,0,"conditional = absolute / p_any and share = absolute / mass; all three are proportional, so rankings and Spearman correlations are identical and only the scale differs"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vits_nomix_saga_s2,vit_small,nomix,vit_small|nomix,saga,s2,68d64007a4bcae2335cf7ead1fe698e1df73e48ef538f9727c46ddc186ffd5ab,native,s11_out,fixed_cal,10000,196,14,1,19.938285,results\frozen\I1_spatial\evaluation\e2r_vits_nomix_saga_s2\maps_s11_out.npz,0.7111,0.7111,0.2318,0.983717,-0.013686,0.235302,0.092832,0.142469,0.052173,0.02551,0.016571,0.000646,0.165719,0.004446,0.004239,0.003372,0.002832,0.002645,0.002183,0.0034,0.32513,0.26227,0,0.0034,-0.000208,0.018286,0.005961,0.752463,0.001913,1568,0,"conditional = absolute / p_any and share = absolute / mass; all three are proportional, so rankings and Spearman correlations are identical and only the scale differs"
