work_package,split_name,split_sha256,git_sha,generated_by,cell,arch,recipe_actual,provenance_tag,stage,saga_run_id,baseline_run_id,tau_cal,mad_k,n_images,n_positions,count_baseline,count_saga,c_matched,count_rescaled,mad_count_baseline,mad_count_baseline_rescaled,mad_count_invariant,rho_baseline_vs_saga,p_baseline_vs_saga,rho_rescaled_vs_saga,p_rescaled_vs_saga,rho_baseline_vs_baseline,p_baseline_vs_baseline,ring1_share_baseline,ring1_share_rescaled,ring1_share_saga,ring_profile_rescaled,reference,note
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,e80de60e49dd00513d18e060ced034670881aca9,analysis/frozen_I1_scale_null.py,vit_base|mixup,vit_base,mixup,legacy-nomixdir,s11_out,legacy_e2_vit_base_nomixdir_saga,legacy_e2_vit_base_nomixdir_baseline,96.320408,5.0,10000,196,5.6655,5.098,0.760738,5.098,24.789,24.789,1,0.837401,0.001913,0.837142,0.001276,0.844051,0.001276,0.527615,0.53468,0.501648,0.008925 0.061950 0.032436 0.014368 0.008560 0.010600 0.009925,rho_baseline_vs_baseline is the ceiling two checkpoints differing only by seed reach,"c is the SMALLEST scale reaching SAGA's mean fixed count; the count is a step function of c so exact equality is generally unattainable and the achieved count is reported beside it. mad_count_invariant=1 confirms the MAD count did not move under c, exactly"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,e80de60e49dd00513d18e060ced034670881aca9,analysis/frozen_I1_scale_null.py,vit_base|mixup,vit_base,mixup,legacy-nomixdir,hist,legacy_e2_vit_base_nomixdir_saga,legacy_e2_vit_base_nomixdir_baseline,127.268425,5.0,10000,196,5.556,4.9605,0.781953,4.9605,10.3275,10.3275,1,0.835113,0.001913,0.834485,0.001276,0.846083,0.001276,0.529014,0.53545,0.503558,0.008663 0.060366 0.031622 0.013868 0.008300 0.010267 0.009500,rho_baseline_vs_baseline is the ceiling two checkpoints differing only by seed reach,"c is the SMALLEST scale reaching SAGA's mean fixed count; the count is a step function of c so exact equality is generally unattainable and the achieved count is reported beside it. mad_count_invariant=1 confirms the MAD count did not move under c, exactly"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,e80de60e49dd00513d18e060ced034670881aca9,analysis/frozen_I1_scale_null.py,vit_base|mixup,vit_base,mixup,s1,s11_out,e2r_vitb_mixup_saga_s1,e2r_vitb_mixup_baseline_s1,96.320408,5.0,10000,196,13.2845,4.3881,0.272313,4.3881,14.0529,14.0529,1,0.779868,0.001913,0.802295,0.001276,0.844051,0.001276,0.437819,0.57403,0.531665,0.008048 0.057248 0.024361 0.013682 0.004740 0.005342 0.007925,rho_baseline_vs_baseline is the ceiling two checkpoints differing only by seed reach,"c is the SMALLEST scale reaching SAGA's mean fixed count; the count is a step function of c so exact equality is generally unattainable and the achieved count is reported beside it. mad_count_invariant=1 confirms the MAD count did not move under c, exactly"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,e80de60e49dd00513d18e060ced034670881aca9,analysis/frozen_I1_scale_null.py,vit_base|mixup,vit_base,mixup,s1,hist,e2r_vitb_mixup_saga_s1,e2r_vitb_mixup_baseline_s1,127.268425,5.0,10000,196,11.4417,4.2821,0.355316,4.2821,9.5321,9.5321,1,0.759437,0.003189,0.802477,0.001276,0.846083,0.001276,0.42006,0.576306,0.533243,0.007787 0.056086 0.023675 0.013357 0.004550 0.005125 0.007650,rho_baseline_vs_baseline is the ceiling two checkpoints differing only by seed reach,"c is the SMALLEST scale reaching SAGA's mean fixed count; the count is a step function of c so exact equality is generally unattainable and the achieved count is reported beside it. mad_count_invariant=1 confirms the MAD count did not move under c, exactly"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,e80de60e49dd00513d18e060ced034670881aca9,analysis/frozen_I1_scale_null.py,vit_small|mixup,vit_small,mixup,legacy-mixupdir,s11_out,legacy_e2_vit_small_mixupdir_saga,legacy_e2_vit_small_mixupdir_baseline,18.698548,5.0,10000,196,17.7168,7.527,0.689951,7.527,14.3987,14.3987,1,0.87384,0.001276,0.869047,0.001276,0.942073,0.000638,0.348788,0.426199,0.412369,0.023702 0.072909 0.046736 0.030693 0.016750 0.013358 0.012325,rho_baseline_vs_baseline is the ceiling two checkpoints differing only by seed reach,"c is the SMALLEST scale reaching SAGA's mean fixed count; the count is a step function of c so exact equality is generally unattainable and the achieved count is reported beside it. mad_count_invariant=1 confirms the MAD count did not move under c, exactly"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,e80de60e49dd00513d18e060ced034670881aca9,analysis/frozen_I1_scale_null.py,vit_small|mixup,vit_small,mixup,legacy-mixupdir,hist,legacy_e2_vit_small_mixupdir_saga,legacy_e2_vit_small_mixupdir_baseline,20.907053,5.0,10000,196,15.328,5.4952,0.475414,5.4952,13.8841,13.8841,1,0.867958,0.001276,0.866199,0.001276,0.93801,0.000638,0.362787,0.443605,0.448537,0.016754 0.055402 0.033917 0.021614 0.011230 0.008733 0.007675,rho_baseline_vs_baseline is the ceiling two checkpoints differing only by seed reach,"c is the SMALLEST scale reaching SAGA's mean fixed count; the count is a step function of c so exact equality is generally unattainable and the achieved count is reported beside it. mad_count_invariant=1 confirms the MAD count did not move under c, exactly"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,e80de60e49dd00513d18e060ced034670881aca9,analysis/frozen_I1_scale_null.py,vit_small|mixup,vit_small,mixup,legacy-nomixdir,s11_out,legacy_e2_vit_small_nomixdir_saga,legacy_e2_vit_small_nomixdir_baseline,18.698548,5.0,10000,196,16.5365,9.4766,0.795869,9.4766,18.2317,18.2317,1,0.805998,0.001276,0.8063,0.001276,0.944663,0.001276,0.373332,0.435378,0.401631,0.030585 0.093770 0.057208 0.032804 0.021175 0.021242 0.025975,rho_baseline_vs_baseline is the ceiling two checkpoints differing only by seed reach,"c is the SMALLEST scale reaching SAGA's mean fixed count; the count is a step function of c so exact equality is generally unattainable and the achieved count is reported beside it. mad_count_invariant=1 confirms the MAD count did not move under c, exactly"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,e80de60e49dd00513d18e060ced034670881aca9,analysis/frozen_I1_scale_null.py,vit_small|mixup,vit_small,mixup,legacy-nomixdir,hist,legacy_e2_vit_small_nomixdir_saga,legacy_e2_vit_small_nomixdir_baseline,20.907053,5.0,10000,196,15.998,11.831,0.891751,11.831,16.6338,16.6338,1,0.796027,0.001276,0.821508,0.001276,0.935769,0.001276,0.376866,0.416347,0.405021,0.038852 0.111950 0.071333 0.043357 0.030100 0.029917 0.035475,rho_baseline_vs_baseline is the ceiling two checkpoints differing only by seed reach,"c is the SMALLEST scale reaching SAGA's mean fixed count; the count is a step function of c so exact equality is generally unattainable and the achieved count is reported beside it. mad_count_invariant=1 confirms the MAD count did not move under c, exactly"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,e80de60e49dd00513d18e060ced034670881aca9,analysis/frozen_I1_scale_null.py,vit_small|mixup,vit_small,mixup,s1,s11_out,e2r_vits_mixup_saga_s1,e2r_vits_mixup_baseline_s1,18.698548,5.0,10000,196,20.3692,11.4605,0.774176,11.4605,17.6547,17.6547,1,0.90506,0.000638,0.910277,0.000638,0.904154,0.001913,0.358816,0.434108,0.406501,0.039081 0.113070 0.062708 0.041829 0.028865 0.026833 0.031300,rho_baseline_vs_baseline is the ceiling two checkpoints differing only by seed reach,"c is the SMALLEST scale reaching SAGA's mean fixed count; the count is a step function of c so exact equality is generally unattainable and the achieved count is reported beside it. mad_count_invariant=1 confirms the MAD count did not move under c, exactly"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,e80de60e49dd00513d18e060ced034670881aca9,analysis/frozen_I1_scale_null.py,vit_small|mixup,vit_small,mixup,s1,hist,e2r_vits_mixup_saga_s1,e2r_vits_mixup_baseline_s1,20.907053,5.0,10000,196,19.67,10.8212,0.725564,10.8212,18.2989,18.2989,1,0.910286,0.000638,0.915434,0.000638,0.902544,0.001913,0.367046,0.448823,0.425563,0.036658 0.110382 0.059400 0.037993 0.024320 0.022175 0.025875,rho_baseline_vs_baseline is the ceiling two checkpoints differing only by seed reach,"c is the SMALLEST scale reaching SAGA's mean fixed count; the count is a step function of c so exact equality is generally unattainable and the achieved count is reported beside it. mad_count_invariant=1 confirms the MAD count did not move under c, exactly"
