work_package,split_name,split_sha256,git_sha,generated_by,question,arch,recipe_group,stage,basis,subject,comparator,statistic,value,ci_lo,ci_hi,n,reference,note
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,28840a089bd75023c3c1b8cb636cb5eb3019f9a6,analysis/frozen_I1_spatial.py,cross_recipe_map_correlation,vit_small,mixup|nomix,hist,fixed_cal,e2r_vits_mixup_baseline_s1,e2r_vits_nomix_baseline_s1,rho,0.280056,MISSING,MISSING,1568,within-recipe mean rho=0.9152,"residual map correlation; exact permutation p=0.1977, null sd=0.2063"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,28840a089bd75023c3c1b8cb636cb5eb3019f9a6,analysis/frozen_I1_spatial.py,cross_recipe_map_correlation,vit_small,mixup|nomix,hist,fixed_cal,e2r_vits_mixup_baseline_s1,e2r_vits_nomix_baseline_s2,rho,0.422021,MISSING,MISSING,1568,within-recipe mean rho=0.9152,"residual map correlation; exact permutation p=0.0312, null sd=0.2101"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,28840a089bd75023c3c1b8cb636cb5eb3019f9a6,analysis/frozen_I1_spatial.py,cross_recipe_map_correlation,vit_small,mixup|nomix,hist,fixed_cal,e2r_vits_mixup_baseline_s2,e2r_vits_nomix_baseline_s1,rho,0.257043,MISSING,MISSING,1568,within-recipe mean rho=0.9152,"residual map correlation; exact permutation p=0.3010, null sd=0.2192"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,28840a089bd75023c3c1b8cb636cb5eb3019f9a6,analysis/frozen_I1_spatial.py,cross_recipe_map_correlation,vit_small,mixup|nomix,hist,fixed_cal,e2r_vits_mixup_baseline_s2,e2r_vits_nomix_baseline_s2,rho,0.380162,MISSING,MISSING,1568,within-recipe mean rho=0.9152,"residual map correlation; exact permutation p=0.0689, null sd=0.2200"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,28840a089bd75023c3c1b8cb636cb5eb3019f9a6,analysis/frozen_I1_spatial.py,cross_recipe_map_correlation,vit_small,mixup|nomix,hist,fixed_cal,legacy_e2_vit_small_mixupdir_baseline,e2r_vits_nomix_baseline_s1,rho,0.251176,MISSING,MISSING,1568,within-recipe mean rho=0.9152,"residual map correlation; exact permutation p=0.2883, null sd=0.2096"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,28840a089bd75023c3c1b8cb636cb5eb3019f9a6,analysis/frozen_I1_spatial.py,cross_recipe_map_correlation,vit_small,mixup|nomix,hist,fixed_cal,legacy_e2_vit_small_mixupdir_baseline,e2r_vits_nomix_baseline_s2,rho,0.391519,MISSING,MISSING,1568,within-recipe mean rho=0.9152,"residual map correlation; exact permutation p=0.0434, null sd=0.2105"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,28840a089bd75023c3c1b8cb636cb5eb3019f9a6,analysis/frozen_I1_spatial.py,cross_recipe_map_correlation,vit_small,mixup|nomix,hist,fixed_cal,legacy_e2_vit_small_nomixdir_baseline,e2r_vits_nomix_baseline_s1,rho,0.225983,MISSING,MISSING,1568,within-recipe mean rho=0.9152,"residual map correlation; exact permutation p=0.1805, null sd=0.1594"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,28840a089bd75023c3c1b8cb636cb5eb3019f9a6,analysis/frozen_I1_spatial.py,cross_recipe_map_correlation,vit_small,mixup|nomix,hist,fixed_cal,legacy_e2_vit_small_nomixdir_baseline,e2r_vits_nomix_baseline_s2,rho,0.438084,MISSING,MISSING,1568,within-recipe mean rho=0.9152,"residual map correlation; exact permutation p=0.0210, null sd=0.1837"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,28840a089bd75023c3c1b8cb636cb5eb3019f9a6,analysis/frozen_I1_spatial.py,cross_recipe_map_correlation,vit_small,mixup|nomix,hist,fixed_cal,MEAN,all-cross-pairs,rho_mean,0.330755,MISSING,MISSING,8,within-recipe mean is the comparator,mean over all cross-recipe baseline pairs
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,28840a089bd75023c3c1b8cb636cb5eb3019f9a6,analysis/frozen_I1_spatial.py,within_recipe_map_correlation,vit_small,mixup,hist,fixed_cal,MEAN,all-within-pairs,rho_mean,0.915221,MISSING,MISSING,6,zero = no shared spatial structure,mean over all within-recipe mixup baseline pairs
