work_package,split_name,split_sha256,git_sha,generated_by,run_id,arch,recipe_actual,cell,variant,provenance_tag,ckpt_sha256,condition_id,stage,basis,n_images,n_positions,mass,f_bar,eta2_pos,ci_lo,ci_hi,bootstrap_seed,bootstrap_resamples,status,note
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vitb_mixup_baseline_s1,vit_base,mixup,vit_base|mixup,baseline,s1,316211c719c41113c1f9bffa7f500e158d727c0f0998e41869796209a3fd1339,native,s11_out,fixed_cal,10000,196,13.2845,0.067778,0.039895,0.038935,0.041054,0,10000,complete,"Var over the positions (population, ddof=0) divided by f_bar(1-f_bar); CI resamples IMAGES. Computed for baseline maps, the scope the task file gives this table"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vitb_mixup_saga_s1,vit_base,mixup,vit_base|mixup,saga,s1,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,native,s11_out,fixed_cal,10000,196,4.3881,0.022388,0.030534,MISSING,MISSING,0,10000,point estimate only,"Var over the positions (population, ddof=0) divided by f_bar(1-f_bar); CI resamples IMAGES. Computed for baseline maps, the scope the task file gives this table"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vits_mixup_baseline_s1,vit_small,mixup,vit_small|mixup,baseline,s1,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,native,s11_out,fixed_cal,10000,196,20.3692,0.103924,0.0233,0.022574,0.024241,0,10000,complete,"Var over the positions (population, ddof=0) divided by f_bar(1-f_bar); CI resamples IMAGES. Computed for baseline maps, the scope the task file gives this table"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vits_mixup_baseline_s2,vit_small,mixup,vit_small|mixup,baseline,s2,baeee13f1864b926489bb186587ec65152fa8a935806fdf491971899db37ca7d,native,s11_out,fixed_cal,10000,196,17.7787,0.090708,0.022147,0.021413,0.023073,0,10000,complete,"Var over the positions (population, ddof=0) divided by f_bar(1-f_bar); CI resamples IMAGES. Computed for baseline maps, the scope the task file gives this table"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vits_mixup_saga_s1,vit_small,mixup,vit_small|mixup,saga,s1,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,native,s11_out,fixed_cal,10000,196,11.4605,0.058472,0.025035,MISSING,MISSING,0,10000,point estimate only,"Var over the positions (population, ddof=0) divided by f_bar(1-f_bar); CI resamples IMAGES. Computed for baseline maps, the scope the task file gives this table"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vits_mixup_saga_s2,vit_small,mixup,vit_small|mixup,saga,s2,624a6006447345b4fe7f9ee15cedfae3d1c36838cf2f0fe38907261f5e530daf,native,s11_out,fixed_cal,10000,196,12.5946,0.064258,0.020697,MISSING,MISSING,0,10000,point estimate only,"Var over the positions (population, ddof=0) divided by f_bar(1-f_bar); CI resamples IMAGES. Computed for baseline maps, the scope the task file gives this table"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vits_nomix_baseline_s1,vit_small,nomix,vit_small|nomix,baseline,s1,207a5e907fab6e3bf23abafce51b2bc55687b10ae70e65bf72c84b78fbe63c95,native,s11_out,fixed_cal,10000,196,2.917,0.014883,0.001773,0.00159,0.002168,0,10000,complete,"Var over the positions (population, ddof=0) divided by f_bar(1-f_bar); CI resamples IMAGES. Computed for baseline maps, the scope the task file gives this table"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vits_nomix_baseline_s2,vit_small,nomix,vit_small|nomix,baseline,s2,50acc743467a51828d2bf24e84f241705e33b1cf6a68a8e7f3a46413ed95d086,native,s11_out,fixed_cal,10000,196,3.7055,0.018906,0.011559,0.010859,0.012455,0,10000,complete,"Var over the positions (population, ddof=0) divided by f_bar(1-f_bar); CI resamples IMAGES. Computed for baseline maps, the scope the task file gives this table"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vits_nomix_saga_s1,vit_small,nomix,vit_small|nomix,saga,s1,88f72869bae5882f6b8c0791c69ffea51ae55247276106e60d817f27e2a646ce,native,s11_out,fixed_cal,10000,196,0.8028,0.004096,0.001211,MISSING,MISSING,0,10000,point estimate only,"Var over the positions (population, ddof=0) divided by f_bar(1-f_bar); CI resamples IMAGES. Computed for baseline maps, the scope the task file gives this table"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vits_nomix_saga_s2,vit_small,nomix,vit_small|nomix,saga,s2,68d64007a4bcae2335cf7ead1fe698e1df73e48ef538f9727c46ddc186ffd5ab,native,s11_out,fixed_cal,10000,196,0.7111,0.003628,0.000646,MISSING,MISSING,0,10000,point estimate only,"Var over the positions (population, ddof=0) divided by f_bar(1-f_bar); CI resamples IMAGES. Computed for baseline maps, the scope the task file gives this table"
