work_package,split_name,split_sha256,git_sha,generated_by,role,cell,arch,recipe_actual,variant,provenance_tag,run_id,stage,basis,n_images,n_positions,mass,gini_excess,ring0_freq,ring1_freq,ring1_share,peak_ring,eta2_pos,rho_vs_s11_out,p_vs_s11_out,resid_rho_vs_s11_out,baseline_run_id,rho_vs_baseline,p_vs_baseline,resid_rho_vs_baseline,delta_gini_excess,delta_ring1_share,delta_mass,reference,note
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,reporting,vit_base|mixup,vit_base,mixup,baseline,s1,e2r_vitb_mixup_baseline_s1,in_b07,fixed_cal,10000,196,10.0112,0.417792,0.032212,0.109868,0.482879,1,0.044918,0.994551,0.000638,0.988485,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,reporting,vit_base|mixup,vit_base,mixup,saga,s1,e2r_vitb_mixup_saga_s1,in_b07,fixed_cal,10000,196,5.2348,0.45067,0.010856,0.061682,0.518453,1,0.032275,0.998606,0.000638,0.996078,e2r_vitb_mixup_baseline_s1,0.766094,0.001913,0.487379,0.032877,0.035574,-4.7764,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,reporting,vit_small|mixup,vit_small,mixup,baseline,s1,e2r_vits_mixup_baseline_s1,in_b07,fixed_cal,10000,196,11.4936,0.307303,0.040613,0.109711,0.419999,1,0.027107,0.980403,0.000638,0.956289,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,reporting,vit_small|mixup,vit_small,mixup,baseline,s2,e2r_vits_mixup_baseline_s2,in_b07,fixed_cal,10000,196,10.3635,0.294794,0.039687,0.092823,0.394095,1,0.021656,0.986264,0.000638,0.981838,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,reporting,vit_small|mixup,vit_small,mixup,saga,s1,e2r_vits_mixup_saga_s1,in_b07,fixed_cal,10000,196,7.1972,0.392339,0.022154,0.076452,0.46739,1,0.029463,0.990042,0.000638,0.988283,e2r_vits_mixup_baseline_s1,0.887989,0.000638,0.698871,0.085036,0.047391,-4.2964,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,reporting,vit_small|mixup,vit_small,mixup,saga,s2,e2r_vits_mixup_saga_s2,in_b07,fixed_cal,10000,196,6.6587,0.370644,0.024475,0.068564,0.453061,1,0.023829,0.992006,0.000638,0.983557,e2r_vits_mixup_baseline_s2,0.931592,0.001276,0.843209,0.075851,0.058967,-3.7048,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,reporting,vit_small|nomix,vit_small,nomix,baseline,s1,e2r_vits_nomix_baseline_s1,in_b07,fixed_cal,10000,196,4.1455,0.182965,0.029542,0.021609,0.229357,0,0.008297,0.752959,0.023597,0.65038,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,reporting,vit_small|nomix,vit_small,nomix,baseline,s2,e2r_vits_nomix_baseline_s2,in_b07,fixed_cal,10000,196,2.8955,0.279673,0.026369,0.01107,0.168227,0,0.044769,0.503308,0.024872,0.533707,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,reporting,vit_small|nomix,vit_small,nomix,saga,s1,e2r_vits_nomix_saga_s1,in_b07,fixed_cal,10000,196,0.325,0.354395,0.003417,0.001243,0.168308,0,0.001634,0.43006,0.089923,0.419589,e2r_vits_nomix_baseline_s1,0.595661,0.015306,0.546647,0.17143,-0.061049,-3.8205,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,reporting,vit_small|nomix,vit_small,nomix,saga,s2,e2r_vits_nomix_saga_s2,in_b07,fixed_cal,10000,196,0.2342,0.315926,0.002521,0.000941,0.176772,0,0.001191,0.500965,0.036352,0.524131,e2r_vits_nomix_baseline_s2,0.678106,0.006378,0.307743,0.036253,0.008545,-2.6613,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
