work_package,split_name,split_sha256,git_sha,generated_by,cell,arch,recipe_actual,variant,provenance_tag,stage,basis,condition_id,subject,comparator,n_images,n_positions,rho,p_spatial,null_sd,n_transforms,resid_rho,resid_p_spatial,resid_null_sd,resid_n_transforms,delta_gini_excess,delta_entropy_normalized_excess,delta_ring1_share,delta_mass,baseline_run_id,reference,note
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_base|mixup,vit_base,mixup,saga,s1,hist,fixed_cal,native,e2r_vitb_mixup_saga_s1,baseline-matched,10000,196,0.760533,0.003189,0.225063,1568,0.467997,0.001913,0.110276,1568,0.155081,-0.049358,0.114786,-7.2605,e2r_vitb_mixup_baseline_s1,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_base|mixup,vit_base,mixup,saga,s1,hist,fixed_cal,term_1.00,e2r_vitb_mixup_saga_s1,baseline-matched,10000,196,0.759437,0.003189,0.225012,1568,0.46768,0.001913,0.110745,1568,0.153338,-0.048464,0.113183,-7.1596,e2r_vitb_mixup_baseline_s1,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,saga,s1,hist,fixed_cal,native,e2r_vits_mixup_saga_s1,baseline-matched,10000,196,0.910032,0.000638,0.232362,1568,0.737907,0.000638,0.155764,1568,0.099253,-0.020798,0.061859,-9.3654,e2r_vits_mixup_baseline_s1,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,saga,s1,hist,fixed_cal,term_1.00,e2r_vits_mixup_saga_s1,baseline-matched,10000,196,0.910286,0.000638,0.231895,1568,0.740088,0.000638,0.156702,1568,0.094922,-0.019478,0.058517,-8.8488,e2r_vits_mixup_baseline_s1,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,saga,s2,hist,fixed_cal,native,e2r_vits_mixup_saga_s2,baseline-matched,10000,196,0.925113,0.001276,0.232932,1568,0.853894,0.000638,0.159604,1568,0.070194,-0.016155,0.056429,-6.7247,e2r_vits_mixup_baseline_s2,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,saga,s2,hist,fixed_cal,term_1.00,e2r_vits_mixup_saga_s2,baseline-matched,10000,196,0.925071,0.001276,0.233038,1568,0.854995,0.000638,0.159146,1568,0.072215,-0.016564,0.057653,-6.7196,e2r_vits_mixup_baseline_s2,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_small|nomix,vit_small,nomix,saga,s1,hist,fixed_cal,native,e2r_vits_nomix_saga_s1,baseline-matched,10000,196,0.8369,0.000638,0.358876,1568,0.847516,0.000638,0.354608,1568,0.003852,-0.002503,0.002943,-2.5154,e2r_vits_nomix_baseline_s1,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_small|nomix,vit_small,nomix,saga,s1,hist,fixed_cal,term_1.00,e2r_vits_nomix_saga_s1,baseline-matched,10000,196,0.826012,0.000638,0.362363,1568,0.824016,0.001276,0.360217,1568,0.012563,-0.004003,-0.000811,-2.6909,e2r_vits_nomix_baseline_s1,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_small|nomix,vit_small,nomix,saga,s2,hist,fixed_cal,native,e2r_vits_nomix_saga_s2,baseline-matched,10000,196,0.879692,0.000638,0.293301,1568,0.841882,0.000638,0.319012,1568,-0.030232,0.001319,-0.018573,-2.7302,e2r_vits_nomix_baseline_s2,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_small|nomix,vit_small,nomix,saga,s2,hist,fixed_cal,term_1.00,e2r_vits_nomix_saga_s2,baseline-matched,10000,196,0.854775,0.000638,0.29936,1568,0.829272,0.000638,0.314477,1568,-0.020258,-0.000661,-0.025425,-3.1616,e2r_vits_nomix_baseline_s2,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_base|mixup,vit_base,mixup,registers,legacy-nomixdir,hist,fixed_cal,native,legacy_e2_vit_base_nomixdir_registers,baseline-matched,10000,196,0.038714,0.751276,0.097459,1568,0.028662,0.758929,0.090301,1568,-0.38599,0.053531,-0.240125,-5.5335,legacy_e2_vit_base_nomixdir_baseline,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_base|mixup,vit_base,mixup,saga,legacy-nomixdir,hist,fixed_cal,native,legacy_e2_vit_base_nomixdir_saga,baseline-matched,10000,196,0.835023,0.001913,0.224742,1568,0.495355,0.001913,0.129654,1568,-0.023272,0.00898,-0.024914,-0.6405,legacy_e2_vit_base_nomixdir_baseline,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_base|mixup,vit_base,mixup,saga,legacy-nomixdir,hist,fixed_cal,term_1.00,legacy_e2_vit_base_nomixdir_saga,baseline-matched,10000,196,0.835113,0.001913,0.225075,1568,0.497024,0.001276,0.129706,1568,-0.023739,0.009277,-0.025456,-0.5955,legacy_e2_vit_base_nomixdir_baseline,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,registers,legacy-mixupdir,hist,fixed_cal,native,legacy_e2_vit_small_mixupdir_registers,baseline-matched,10000,196,0.267325,0.169643,0.196301,1568,0.00061,0.995536,0.16193,1568,-0.133138,0.013487,-0.094035,-12.9336,legacy_e2_vit_small_mixupdir_baseline,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,saga,legacy-mixupdir,hist,fixed_cal,native,legacy_e2_vit_small_mixupdir_saga,baseline-matched,10000,196,0.868819,0.001276,0.218607,1568,0.697427,0.001276,0.14691,1568,0.118743,-0.028808,0.086619,-9.8975,legacy_e2_vit_small_mixupdir_baseline,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,saga,legacy-mixupdir,hist,fixed_cal,term_1.00,legacy_e2_vit_small_mixupdir_saga,baseline-matched,10000,196,0.867958,0.001276,0.218554,1568,0.696356,0.001276,0.147108,1568,0.118488,-0.028631,0.08575,-9.8328,legacy_e2_vit_small_mixupdir_baseline,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,registers,legacy-nomixdir,hist,fixed_cal,native,legacy_e2_vit_small_nomixdir_registers,baseline-matched,10000,196,0.584289,0.003189,0.212141,1568,0.288861,0.002551,0.106994,1568,-0.166622,0.0178,-0.095267,-12.5477,legacy_e2_vit_small_nomixdir_baseline,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,saga,legacy-nomixdir,hist,fixed_cal,native,legacy_e2_vit_small_nomixdir_saga,baseline-matched,10000,196,0.792252,0.001276,0.200626,1568,0.527106,0.001276,0.126461,1568,0.089911,-0.018766,0.03928,-6.3771,legacy_e2_vit_small_nomixdir_baseline,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,saga,legacy-nomixdir,hist,fixed_cal,term_1.00,legacy_e2_vit_small_nomixdir_saga,baseline-matched,10000,196,0.796027,0.001276,0.200275,1568,0.548613,0.001276,0.127639,1568,0.069395,-0.013308,0.028155,-4.167,legacy_e2_vit_small_nomixdir_baseline,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_base|mixup,vit_base,mixup,saga,s1,hist,mad,native,e2r_vitb_mixup_saga_s1,baseline-matched,10000,196,0.752808,0.000638,0.223175,1568,0.525915,0.001276,0.116253,1568,-0.257072,0.050491,-0.161578,9.0167,e2r_vitb_mixup_baseline_s1,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_base|mixup,vit_base,mixup,saga,s1,hist,mad,term_1.00,e2r_vitb_mixup_saga_s1,baseline-matched,10000,196,0.687004,0.001276,0.222522,1568,0.504944,0.001276,0.114137,1568,-0.258833,0.050585,-0.164585,8.9795,e2r_vitb_mixup_baseline_s1,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,saga,s1,hist,mad,native,e2r_vits_mixup_saga_s1,baseline-matched,10000,196,0.92036,0.000638,0.236193,1568,0.761482,0.000638,0.159398,1568,-0.013486,0.001574,-0.009261,-2.0069,e2r_vits_mixup_baseline_s1,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,saga,s1,hist,mad,term_1.00,e2r_vits_mixup_saga_s1,baseline-matched,10000,196,0.920737,0.000638,0.235293,1568,0.761531,0.000638,0.160142,1568,-0.00509,0.000329,-0.004539,-2.3415,e2r_vits_mixup_baseline_s1,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,saga,s2,hist,mad,native,e2r_vits_mixup_saga_s2,baseline-matched,10000,196,0.927246,0.000638,0.236622,1568,0.854233,0.000638,0.166857,1568,0.008405,-0.001487,0.014262,-2.1329,e2r_vits_mixup_baseline_s2,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,saga,s2,hist,mad,term_1.00,e2r_vits_mixup_saga_s2,baseline-matched,10000,196,0.925326,0.000638,0.236142,1568,0.85598,0.000638,0.166665,1568,0.011905,-0.001981,0.015814,-2.055,e2r_vits_mixup_baseline_s2,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_small|nomix,vit_small,nomix,saga,s1,hist,mad,native,e2r_vits_nomix_saga_s1,baseline-matched,10000,196,0.888314,0.000638,0.387478,1568,0.847073,0.000638,0.342348,1568,-0.037035,0.003375,0.009498,0.0314,e2r_vits_nomix_baseline_s1,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_small|nomix,vit_small,nomix,saga,s1,hist,mad,term_1.00,e2r_vits_nomix_saga_s1,baseline-matched,10000,196,0.897785,0.000638,0.389935,1568,0.848952,0.000638,0.336308,1568,-0.033694,0.003266,0.003312,0.3011,e2r_vits_nomix_baseline_s1,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_small|nomix,vit_small,nomix,saga,s2,hist,mad,native,e2r_vits_nomix_saga_s2,baseline-matched,10000,196,0.928055,0.000638,0.301584,1568,0.870701,0.000638,0.314381,1568,-0.002929,-0.000696,-0.007036,-0.5314,e2r_vits_nomix_baseline_s2,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_small|nomix,vit_small,nomix,saga,s2,hist,mad,term_1.00,e2r_vits_nomix_saga_s2,baseline-matched,10000,196,0.91972,0.000638,0.311895,1568,0.864022,0.000638,0.312944,1568,-0.004216,-2e-05,-0.014413,-0.0109,e2r_vits_nomix_baseline_s2,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_base|mixup,vit_base,mixup,registers,legacy-nomixdir,hist,mad,native,legacy_e2_vit_base_nomixdir_registers,baseline-matched,10000,196,0.621339,0.000638,0.203867,1568,0.312089,0.003189,0.118074,1568,-0.212427,0.030178,-0.126374,-8.9968,legacy_e2_vit_base_nomixdir_baseline,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,584b78e19897c40f5c92ed3e513479497e594f34,analysis/frozen_I1_spatial.py,vit_base|mixup,vit_base,mixup,saga,legacy-nomixdir,hist,mad,native,legacy_e2_vit_base_nomixdir_saga,baseline-matched,10000,196,0.838286,0.000638,0.235639,1568,0.553356,0.001276,0.128982,1568,-0.121383,0.023202,-0.077191,4.7136,legacy_e2_vit_base_nomixdir_baseline,"1.0 = identical arrangement, 0 = none shared",residual map correlation against the same-provenance baseline; concentration deltas are differences of EXCESS over the finite-sample null
