work_package,split_name,split_sha256,git_sha,generated_by,run_id,arch,recipe_actual,cell,variant,provenance_tag,ckpt_sha256,condition_id,stage,basis,n_images,n_positions,grid_side,n_prefix,tau,source,mass,count_per_image,p_any,entropy_normalized,entropy_normalized_excess,gini,gini_null,gini_excess,top5_share,top5_share_uniform,top5_share_excess,eta2_pos,position_rel_se,ring0_freq,ring1_freq,ring2_freq,ring3_freq,ring4_freq,ring5_freq,ring6_freq,ring0_share,ring1_share,peak_ring,centre_freq,ring1_minus_ring0,ring1_freq_conditional,ring1_freq_share,split_half_rho,split_half_p,split_half_n_transforms,bootstrap_seed,note
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vitb_mixup_baseline_s1,vit_base,mixup,vit_base|mixup,baseline,s1,316211c719c41113c1f9bffa7f500e158d727c0f0998e41869796209a3fd1339,native,s11_out,fixed_cal,10000,196,14,1,96.169556,results\frozen\I1_spatial\val_diag_split\e2r_vitb_mixup_baseline_s1\maps_s11_out.npz,13.2949,13.2949,1.0,0.95784,-0.042031,0.365654,0.020779,0.344875,0.098241,0.02551,0.070551,0.038978,0.037071,0.045819,0.131741,0.075036,0.049689,0.0277,0.028333,0.032275,0.179212,0.436002,1,0.032275,0.085922,0.131741,0.009909,0.990229,0.000638,1568,0,"conditional = absolute / p_any and share = absolute / mass; all three are proportional, so rankings and Spearman correlations are identical and only the scale differs"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vitb_mixup_saga_s1,vit_base,mixup,vit_base|mixup,saga,s1,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,native,s11_out,fixed_cal,10000,196,14,1,96.169556,results\frozen\I1_spatial\val_diag_split\e2r_vitb_mixup_saga_s1\maps_s11_out.npz,4.3894,4.3894,1.0,0.915273,-0.084316,0.500096,0.037095,0.463001,0.157106,0.02551,0.12767,0.030059,0.06607,0.008838,0.052761,0.025906,0.013254,0.00851,0.00835,0.00855,0.104707,0.528888,1,0.00855,0.043923,0.052761,0.01202,0.982439,0.000638,1568,0,"conditional = absolute / p_any and share = absolute / mass; all three are proportional, so rankings and Spearman correlations are identical and only the scale differs"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vits_mixup_baseline_s1,vit_small,mixup,vit_small|mixup,baseline,s1,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,native,s11_out,fixed_cal,10000,196,14,1,18.662435,results\frozen\I1_spatial\val_diag_split\e2r_vits_mixup_baseline_s1\maps_s11_out.npz,20.2901,20.2901,1.0,0.982586,-0.017332,0.235672,0.016524,0.219148,0.064381,0.02551,0.037139,0.022984,0.029428,0.075781,0.164861,0.111739,0.087607,0.071565,0.073317,0.077225,0.194213,0.357509,1,0.077225,0.089081,0.164861,0.008125,0.983866,0.000638,1568,0,"conditional = absolute / p_any and share = absolute / mass; all three are proportional, so rankings and Spearman correlations are identical and only the scale differs"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vits_mixup_baseline_s2,vit_small,mixup,vit_small|mixup,baseline,s2,baeee13f1864b926489bb186587ec65152fa8a935806fdf491971899db37ca7d,native,s11_out,fixed_cal,10000,196,14,1,18.662435,results\frozen\I1_spatial\val_diag_split\e2r_vits_mixup_baseline_s2\maps_s11_out.npz,17.7173,17.7173,1.0,0.980551,-0.019354,0.250447,0.017795,0.232651,0.064118,0.02551,0.036742,0.021983,0.031722,0.0679,0.14303,0.104961,0.073804,0.05728,0.054692,0.06155,0.199285,0.355206,1,0.06155,0.07513,0.14303,0.008073,0.988092,0.000638,1568,0,"conditional = absolute / p_any and share = absolute / mass; all three are proportional, so rankings and Spearman correlations are identical and only the scale differs"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vits_mixup_saga_s1,vit_small,mixup,vit_small|mixup,saga,s1,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,native,s11_out,fixed_cal,10000,196,14,1,18.662435,results\frozen\I1_spatial\val_diag_split\e2r_vits_mixup_saga_s1\maps_s11_out.npz,11.5208,11.5208,1.0,0.967528,-0.032322,0.31897,0.022442,0.296529,0.086452,0.02551,0.058583,0.025096,0.040016,0.037758,0.106291,0.068089,0.043221,0.03402,0.033092,0.035425,0.170422,0.405944,1,0.035425,0.068533,0.106291,0.009226,0.983747,0.000638,1568,0,"conditional = absolute / p_any and share = absolute / mass; all three are proportional, so rankings and Spearman correlations are identical and only the scale differs"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vits_mixup_saga_s2,vit_small,mixup,vit_small|mixup,saga,s2,624a6006447345b4fe7f9ee15cedfae3d1c36838cf2f0fe38907261f5e530daf,native,s11_out,fixed_cal,10000,196,14,1,18.662435,results\frozen\I1_spatial\val_diag_split\e2r_vits_mixup_saga_s2\maps_s11_out.npz,12.6597,12.6597,1.0,0.975471,-0.024393,0.279193,0.021331,0.257862,0.07625,0.02551,0.048501,0.020016,0.038055,0.048462,0.110084,0.071533,0.048246,0.038195,0.03695,0.04065,0.199057,0.382608,1,0.04065,0.061623,0.110084,0.008696,0.982268,0.000638,1568,0,"conditional = absolute / p_any and share = absolute / mass; all three are proportional, so rankings and Spearman correlations are identical and only the scale differs"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vits_nomix_baseline_s1,vit_small,nomix,vit_small|nomix,baseline,s1,207a5e907fab6e3bf23abafce51b2bc55687b10ae70e65bf72c84b78fbe63c95,native,s11_out,fixed_cal,10000,196,14,1,19.97554,results\frozen\I1_spatial\val_diag_split\e2r_vits_nomix_baseline_s1\maps_s11_out.npz,2.9304,2.9304,0.649,0.989645,-0.009731,0.182233,0.045614,0.136618,0.055351,0.02551,0.025008,0.00184,0.08117,0.018223,0.016561,0.014,0.012129,0.01121,0.011025,0.0135,0.323369,0.248669,0,0.0135,-0.001662,0.025518,0.005652,0.838829,0.000638,1568,0,"conditional = absolute / p_any and share = absolute / mass; all three are proportional, so rankings and Spearman correlations are identical and only the scale differs"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vits_nomix_baseline_s2,vit_small,nomix,vit_small|nomix,baseline,s2,50acc743467a51828d2bf24e84f241705e33b1cf6a68a8e7f3a46413ed95d086,native,s11_out,fixed_cal,10000,196,14,1,19.97554,results\frozen\I1_spatial\val_diag_split\e2r_vits_nomix_baseline_s2\maps_s11_out.npz,3.638,3.638,0.7195,0.967211,-0.03229,0.28798,0.04082,0.24716,0.116328,0.02551,0.0865,0.010797,0.072716,0.026583,0.021439,0.015867,0.01245,0.011015,0.010192,0.0125,0.379962,0.259291,0,0.0125,-0.005144,0.029797,0.005893,0.908449,0.000638,1568,0,"conditional = absolute / p_any and share = absolute / mass; all three are proportional, so rankings and Spearman correlations are identical and only the scale differs"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vits_nomix_saga_s1,vit_small,nomix,vit_small|nomix,saga,s1,88f72869bae5882f6b8c0791c69ffea51ae55247276106e60d817f27e2a646ce,native,s11_out,fixed_cal,10000,196,14,1,19.97554,results\frozen\I1_spatial\val_diag_split\e2r_vits_nomix_saga_s1\maps_s11_out.npz,0.8576,0.8576,0.2475,0.972336,-0.025507,0.305462,0.084624,0.220838,0.064482,0.02551,0.029778,0.001377,0.150846,0.006692,0.004964,0.003564,0.002789,0.002395,0.002142,0.0028,0.405784,0.254664,0,0.0028,-0.001729,0.020055,0.005788,0.858666,0.000638,1568,0,"conditional = absolute / p_any and share = absolute / mass; all three are proportional, so rankings and Spearman correlations are identical and only the scale differs"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vits_nomix_saga_s2,vit_small,nomix,vit_small|nomix,saga,s2,68d64007a4bcae2335cf7ead1fe698e1df73e48ef538f9727c46ddc186ffd5ab,native,s11_out,fixed_cal,10000,196,14,1,19.97554,results\frozen\I1_spatial\val_diag_split\e2r_vits_nomix_saga_s2\maps_s11_out.npz,0.7295,0.7295,0.2247,0.982864,-0.014609,0.240449,0.091582,0.148867,0.05634,0.02551,0.020871,0.000707,0.163608,0.004912,0.003905,0.003192,0.003007,0.00262,0.002867,0.0041,0.350103,0.235504,0,0.0041,-0.001007,0.017377,0.005352,0.734519,0.003827,1568,0,"conditional = absolute / p_any and share = absolute / mass; all three are proportional, so rankings and Spearman correlations are identical and only the scale differs"
