work_package,split_name,split_sha256,git_sha,generated_by,cell,arch,recipe_actual,variant,stage,basis,condition_id,subject,comparator,n_positions,n_images,rho,p_spatial,null_sd,n_transforms,resid_rho,resid_p_spatial,resid_null_sd,resid_n_transforms,reference,note
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_base|mixup,vit_base,mixup,baseline,s11_out,fixed_cal,native,e2r_vitb_mixup_baseline_s1,legacy_e2_vit_base_nomixdir_baseline,196,10000,0.838383,0.001276,0.239916,1568,0.599351,0.001913,0.133153,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_base|mixup,vit_base,mixup,baseline,s11_out,fixed_cal,native,MEAN,all-pairs,196,10000,0.838383,MISSING,MISSING,1,0.599351,MISSING,MISSING,1,zero = no shared spatial structure,mean over 1 pair(s); n_transforms holds the pair count on a MEAN row
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,baseline,s11_out,fixed_cal,native,e2r_vits_mixup_baseline_s1,e2r_vits_mixup_baseline_s2,196,10000,0.894007,0.001913,0.237026,1568,0.750784,0.001276,0.157009,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,baseline,s11_out,fixed_cal,native,e2r_vits_mixup_baseline_s1,legacy_e2_vit_small_mixupdir_baseline,196,10000,0.932109,0.000638,0.212993,1568,0.817517,0.000638,0.143889,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,baseline,s11_out,fixed_cal,native,e2r_vits_mixup_baseline_s1,legacy_e2_vit_small_nomixdir_baseline,196,10000,0.940711,0.001276,0.252408,1568,0.838082,0.001276,0.16086,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,baseline,s11_out,fixed_cal,native,e2r_vits_mixup_baseline_s2,legacy_e2_vit_small_mixupdir_baseline,196,10000,0.905663,0.001276,0.215472,1568,0.775455,0.001276,0.145814,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,baseline,s11_out,fixed_cal,native,e2r_vits_mixup_baseline_s2,legacy_e2_vit_small_nomixdir_baseline,196,10000,0.92778,0.000638,0.254339,1568,0.823947,0.000638,0.157916,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,baseline,s11_out,fixed_cal,native,legacy_e2_vit_small_mixupdir_baseline,legacy_e2_vit_small_nomixdir_baseline,196,10000,0.89944,0.001276,0.221588,1568,0.722947,0.001276,0.13131,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,baseline,s11_out,fixed_cal,native,MEAN,all-pairs,196,10000,0.916618,MISSING,MISSING,6,0.788122,MISSING,MISSING,6,zero = no shared spatial structure,mean over 6 pair(s); n_transforms holds the pair count on a MEAN row
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|nomix,vit_small,nomix,baseline,s11_out,fixed_cal,native,e2r_vits_nomix_baseline_s1,e2r_vits_nomix_baseline_s2,196,10000,0.88175,0.000638,0.392242,1568,0.766491,0.001913,0.295037,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|nomix,vit_small,nomix,baseline,s11_out,fixed_cal,native,MEAN,all-pairs,196,10000,0.88175,MISSING,MISSING,1,0.766491,MISSING,MISSING,1,zero = no shared spatial structure,mean over 1 pair(s); n_transforms holds the pair count on a MEAN row
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_base|mixup,vit_base,mixup,baseline,s11_out,mad,native,e2r_vitb_mixup_baseline_s1,legacy_e2_vit_base_nomixdir_baseline,196,10000,0.91081,0.001276,0.24212,1568,0.706161,0.001276,0.147284,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_base|mixup,vit_base,mixup,baseline,s11_out,mad,native,MEAN,all-pairs,196,10000,0.91081,MISSING,MISSING,1,0.706161,MISSING,MISSING,1,zero = no shared spatial structure,mean over 1 pair(s); n_transforms holds the pair count on a MEAN row
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,baseline,s11_out,mad,native,e2r_vits_mixup_baseline_s1,e2r_vits_mixup_baseline_s2,196,10000,0.905365,0.001913,0.23839,1568,0.758921,0.001276,0.157075,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,baseline,s11_out,mad,native,e2r_vits_mixup_baseline_s1,legacy_e2_vit_small_mixupdir_baseline,196,10000,0.940196,0.000638,0.216333,1568,0.824884,0.000638,0.145091,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,baseline,s11_out,mad,native,e2r_vits_mixup_baseline_s1,legacy_e2_vit_small_nomixdir_baseline,196,10000,0.9369,0.001276,0.249447,1568,0.842734,0.001276,0.162365,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,baseline,s11_out,mad,native,e2r_vits_mixup_baseline_s2,legacy_e2_vit_small_mixupdir_baseline,196,10000,0.918196,0.001276,0.22173,1568,0.784282,0.001276,0.147765,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,baseline,s11_out,mad,native,e2r_vits_mixup_baseline_s2,legacy_e2_vit_small_nomixdir_baseline,196,10000,0.926816,0.000638,0.255491,1568,0.83458,0.000638,0.162387,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,baseline,s11_out,mad,native,legacy_e2_vit_small_mixupdir_baseline,legacy_e2_vit_small_nomixdir_baseline,196,10000,0.892972,0.001276,0.221462,1568,0.737644,0.001276,0.138362,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,baseline,s11_out,mad,native,MEAN,all-pairs,196,10000,0.920074,MISSING,MISSING,6,0.797174,MISSING,MISSING,6,zero = no shared spatial structure,mean over 6 pair(s); n_transforms holds the pair count on a MEAN row
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|nomix,vit_small,nomix,baseline,s11_out,mad,native,e2r_vits_nomix_baseline_s1,e2r_vits_nomix_baseline_s2,196,10000,0.868492,0.000638,0.312557,1568,0.746541,0.000638,0.224878,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|nomix,vit_small,nomix,baseline,s11_out,mad,native,MEAN,all-pairs,196,10000,0.868492,MISSING,MISSING,1,0.746541,MISSING,MISSING,1,zero = no shared spatial structure,mean over 1 pair(s); n_transforms holds the pair count on a MEAN row
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_base|mixup,vit_base,mixup,baseline,in_b07,fixed_cal,native,e2r_vitb_mixup_baseline_s1,legacy_e2_vit_base_nomixdir_baseline,196,10000,0.794305,0.001276,0.234013,1568,0.599496,0.001913,0.132346,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_base|mixup,vit_base,mixup,baseline,in_b07,fixed_cal,native,MEAN,all-pairs,196,10000,0.794305,MISSING,MISSING,1,0.599496,MISSING,MISSING,1,zero = no shared spatial structure,mean over 1 pair(s); n_transforms holds the pair count on a MEAN row
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,baseline,in_b07,fixed_cal,native,e2r_vits_mixup_baseline_s1,e2r_vits_mixup_baseline_s2,196,10000,0.868504,0.001913,0.238871,1568,0.682463,0.001913,0.148217,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,baseline,in_b07,fixed_cal,native,e2r_vits_mixup_baseline_s1,legacy_e2_vit_small_mixupdir_baseline,196,10000,0.916103,0.000638,0.211846,1568,0.78008,0.000638,0.137063,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,baseline,in_b07,fixed_cal,native,e2r_vits_mixup_baseline_s1,legacy_e2_vit_small_nomixdir_baseline,196,10000,0.922589,0.001276,0.252747,1568,0.803343,0.001276,0.165573,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,baseline,in_b07,fixed_cal,native,e2r_vits_mixup_baseline_s2,legacy_e2_vit_small_mixupdir_baseline,196,10000,0.899883,0.001276,0.219315,1568,0.740353,0.001276,0.14555,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,baseline,in_b07,fixed_cal,native,e2r_vits_mixup_baseline_s2,legacy_e2_vit_small_nomixdir_baseline,196,10000,0.917482,0.000638,0.257752,1568,0.807209,0.000638,0.158035,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,baseline,in_b07,fixed_cal,native,legacy_e2_vit_small_mixupdir_baseline,legacy_e2_vit_small_nomixdir_baseline,196,10000,0.887604,0.001276,0.223366,1568,0.687684,0.001276,0.131009,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,baseline,in_b07,fixed_cal,native,MEAN,all-pairs,196,10000,0.902027,MISSING,MISSING,6,0.750189,MISSING,MISSING,6,zero = no shared spatial structure,mean over 6 pair(s); n_transforms holds the pair count on a MEAN row
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|nomix,vit_small,nomix,baseline,in_b07,fixed_cal,native,e2r_vits_nomix_baseline_s1,e2r_vits_nomix_baseline_s2,196,10000,0.672035,0.000638,0.23524,1568,0.540008,0.000638,0.175405,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|nomix,vit_small,nomix,baseline,in_b07,fixed_cal,native,MEAN,all-pairs,196,10000,0.672035,MISSING,MISSING,1,0.540008,MISSING,MISSING,1,zero = no shared spatial structure,mean over 1 pair(s); n_transforms holds the pair count on a MEAN row
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_base|mixup,vit_base,mixup,baseline,in_b07,mad,native,e2r_vitb_mixup_baseline_s1,legacy_e2_vit_base_nomixdir_baseline,196,10000,0.818146,0.001276,0.236675,1568,0.604277,0.001913,0.132559,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_base|mixup,vit_base,mixup,baseline,in_b07,mad,native,MEAN,all-pairs,196,10000,0.818146,MISSING,MISSING,1,0.604277,MISSING,MISSING,1,zero = no shared spatial structure,mean over 1 pair(s); n_transforms holds the pair count on a MEAN row
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,vit_small|mixup,vit_small,mixup,baseline,in_b07,mad,native,e2r_vits_mixup_baseline_s1,e2r_vits_mixup_baseline_s2,196,10000,0.8715,0.001913,0.241111,1568,0.690018,0.001913,0.148681,1568,zero = no shared spatial structure,"residual map correlation over positions; permutation reference assumes exchangeability under 8 dihedral x all torus rolls, which a bordered map satisfies only approximately"
