work_package,split_name,split_sha256,git_sha,generated_by,role,cell,arch,recipe_actual,variant,provenance_tag,run_id,stage,basis,n_images,n_positions,mass,gini_excess,ring0_freq,ring1_freq,ring1_share,peak_ring,eta2_pos,rho_vs_s11_out,p_vs_s11_out,resid_rho_vs_s11_out,baseline_run_id,rho_vs_baseline,p_vs_baseline,resid_rho_vs_baseline,delta_gini_excess,delta_ring1_share,delta_mass,reference,note
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,discovery/selection,vit_base|mixup,vit_base,mixup,baseline,s1,e2r_vitb_mixup_baseline_s1,in_b07,fixed_cal,10000,196,9.9511,0.414763,0.031829,0.109193,0.482811,1,0.044225,0.994562,0.000638,0.98796,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,discovery/selection,vit_base|mixup,vit_base,mixup,saga,s1,e2r_vitb_mixup_saga_s1,in_b07,fixed_cal,10000,196,5.2242,0.44928,0.010721,0.06135,0.516711,1,0.031723,0.998484,0.000638,0.996766,e2r_vitb_mixup_baseline_s1,0.755983,0.001913,0.480319,0.034518,0.0339,-4.7269,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,discovery/selection,vit_small|mixup,vit_small,mixup,baseline,s1,e2r_vits_mixup_baseline_s1,in_b07,fixed_cal,10000,196,11.4067,0.304593,0.03984,0.108341,0.417912,1,0.026515,0.98604,0.000638,0.965653,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,discovery/selection,vit_small|mixup,vit_small,mixup,baseline,s2,e2r_vits_mixup_baseline_s2,in_b07,fixed_cal,10000,196,10.3573,0.28978,0.039365,0.092143,0.391444,1,0.020934,0.988135,0.000638,0.981403,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,discovery/selection,vit_small|mixup,vit_small,mixup,saga,s1,e2r_vits_mixup_saga_s1,in_b07,fixed_cal,10000,196,7.1619,0.391484,0.02181,0.076036,0.467139,1,0.029014,0.991755,0.000638,0.988377,e2r_vits_mixup_baseline_s1,0.890793,0.000638,0.705426,0.086891,0.049226,-4.2448,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,discovery/selection,vit_small|mixup,vit_small,mixup,saga,s2,e2r_vits_mixup_saga_s2,in_b07,fixed_cal,10000,196,6.6317,0.370951,0.024165,0.068368,0.453609,1,0.023353,0.992693,0.000638,0.982127,e2r_vits_mixup_baseline_s2,0.925907,0.000638,0.829027,0.08117,0.062165,-3.7256,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,discovery/selection,vit_small|nomix,vit_small,nomix,baseline,s1,e2r_vits_nomix_baseline_s1,in_b07,fixed_cal,10000,196,4.1017,0.178437,0.02911,0.020945,0.224687,0,0.007557,0.839847,0.000638,0.776306,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,discovery/selection,vit_small|nomix,vit_small,nomix,baseline,s2,e2r_vits_nomix_baseline_s2,in_b07,fixed_cal,10000,196,2.8337,0.285067,0.025787,0.010345,0.160638,0,0.042216,0.456878,0.019133,0.550041,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,discovery/selection,vit_small|nomix,vit_small,nomix,saga,s1,e2r_vits_nomix_saga_s1,in_b07,fixed_cal,10000,196,0.3574,0.370961,0.003877,0.001295,0.159485,0,0.001901,0.486794,0.054209,0.529072,e2r_vits_nomix_baseline_s1,0.517207,0.016582,0.562562,0.192524,-0.065202,-3.7443,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,discovery/selection,vit_small|nomix,vit_small,nomix,saga,s2,e2r_vits_nomix_saga_s2,in_b07,fixed_cal,10000,196,0.2639,0.344285,0.002948,0.000902,0.150436,0,0.00141,0.568452,0.039541,0.624863,e2r_vits_nomix_baseline_s2,0.645101,0.013393,0.295237,0.059218,-0.010202,-2.5698,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,discovery/selection,vit_base|mixup,vit_base,mixup,baseline,legacy-nomixdir,legacy_e2_vit_base_nomixdir_baseline,in_b07,fixed_cal,10000,196,7.9736,0.382645,0.017569,0.084011,0.463592,1,0.033107,0.989325,0.000638,0.991696,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,discovery/selection,vit_base|mixup,vit_base,mixup,registers,legacy-nomixdir,legacy_e2_vit_base_nomixdir_registers,in_b07,fixed_cal,10000,196,2.1466,0.087775,0.008763,0.011,0.225473,6,0.000705,0.085841,0.359056,0.130467,legacy_e2_vit_base_nomixdir_baseline,0.198422,0.079719,-0.000819,-0.29487,-0.23812,-5.827,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,discovery/selection,vit_base|mixup,vit_base,mixup,saga,legacy-nomixdir,legacy_e2_vit_base_nomixdir_saga,in_b07,fixed_cal,10000,196,6.5782,0.392951,0.016692,0.068868,0.460643,1,0.02589,0.996435,0.000638,0.993372,legacy_e2_vit_base_nomixdir_baseline,0.811122,0.001913,0.472688,0.010306,-0.00295,-1.3954,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
