work_package,split_name,split_sha256,git_sha,cell,arch,recipe_actual,variant,setting,stage,condition_id,diagnostic,n_pairs,n_images,gap_mean,ci_lo,ci_hi,survival,survival_s11,bootstrap_resamples,bootstrap_seed,per_pair,dropped_pairs
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,saga,hist_native,hist,native,norm_p50,0,0,MISSING,MISSING,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:norm_p50_MISSING;legacy-nomixdir:norm_p50_MISSING;s1:norm_p50_MISSING;s2:norm_p50_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,saga,hist_native,hist,native,norm_p90,0,0,MISSING,MISSING,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:norm_p90_MISSING;legacy-nomixdir:norm_p90_MISSING;s1:norm_p90_MISSING;s2:norm_p90_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,saga,hist_native,hist,native,norm_p99,0,0,MISSING,MISSING,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:norm_p99_MISSING;legacy-nomixdir:norm_p99_MISSING;s1:norm_p99_MISSING;s2:norm_p99_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,saga,hist_native,hist,native,norm_p999,0,0,MISSING,MISSING,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:norm_p999_MISSING;legacy-nomixdir:norm_p999_MISSING;s1:norm_p999_MISSING;s2:norm_p999_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,saga,hist_native,hist,native,norm_max,0,0,MISSING,MISSING,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:norm_max_MISSING;legacy-nomixdir:norm_max_MISSING;s1:norm_max_MISSING;s2:norm_max_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,saga,hist_native,hist,native,mad_thr,0,0,MISSING,MISSING,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:mad_thr_MISSING;legacy-nomixdir:mad_thr_MISSING;s1:mad_thr_MISSING;s2:mad_thr_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,saga,hist_native,hist,native,count_fixed_canon,0,0,MISSING,MISSING,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:count_fixed_canon_MISSING;legacy-nomixdir:count_fixed_canon_MISSING;s1:count_fixed_canon_MISSING;s2:count_fixed_canon_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,saga,hist_native,hist,native,count_fixed_cal,4,10000,-8.091175,-8.182528125,-7.999349375,MISSING,MISSING,10000,0,legacy-mixupdir=-9.8975;legacy-nomixdir=-6.3771;s1=-9.3654;s2=-6.7247,
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,saga,hist_native,hist,native,count_mad,4,10000,-1.797025,-1.8638,-1.732025,MISSING,MISSING,10000,0,legacy-mixupdir=-2.2741;legacy-nomixdir=-0.7742;s1=-2.0069;s2=-2.1329,
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,saga,hist_native,hist,native,cos_all,4,10000,-0.1296622291,-0.1303457753,-0.1289766699,MISSING,MISSING,10000,0,legacy-mixupdir=-0.1404873388;legacy-nomixdir=-0.1966168425;s1=-0.1363656511;s2=-0.045179084,
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,saga,hist_native,hist,native,cos_nosink_mad,4,10000,-0.1375901062,-0.1383483477,-0.136832607,MISSING,MISSING,10000,0,legacy-mixupdir=-0.1616990582;legacy-nomixdir=-0.2107785906;s1=-0.1269090815;s2=-0.05097369456,
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,saga,hist_native,hist,native,eff_rank,4,10000,14.10752166,14.06172251,14.15287645,MISSING,MISSING,10000,0,legacy-mixupdir=19.43073553;legacy-nomixdir=17.82811607;s1=8.779865341;s2=10.39136968,
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,saga,hist_term_1.00,hist,term_1.00,norm_p50,0,0,MISSING,MISSING,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:norm_p50_MISSING;legacy-nomixdir:norm_p50_MISSING;s1:norm_p50_MISSING;s2:norm_p50_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,saga,hist_term_1.00,hist,term_1.00,norm_p90,0,0,MISSING,MISSING,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:norm_p90_MISSING;legacy-nomixdir:norm_p90_MISSING;s1:norm_p90_MISSING;s2:norm_p90_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,saga,hist_term_1.00,hist,term_1.00,norm_p99,0,0,MISSING,MISSING,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:norm_p99_MISSING;legacy-nomixdir:norm_p99_MISSING;s1:norm_p99_MISSING;s2:norm_p99_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,saga,hist_term_1.00,hist,term_1.00,norm_p999,0,0,MISSING,MISSING,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:norm_p999_MISSING;legacy-nomixdir:norm_p999_MISSING;s1:norm_p999_MISSING;s2:norm_p999_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,saga,hist_term_1.00,hist,term_1.00,norm_max,0,0,MISSING,MISSING,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:norm_max_MISSING;legacy-nomixdir:norm_max_MISSING;s1:norm_max_MISSING;s2:norm_max_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,saga,hist_term_1.00,hist,term_1.00,mad_thr,0,0,MISSING,MISSING,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:mad_thr_MISSING;legacy-nomixdir:mad_thr_MISSING;s1:mad_thr_MISSING;s2:mad_thr_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,saga,hist_term_1.00,hist,term_1.00,count_fixed_canon,0,0,MISSING,MISSING,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:count_fixed_canon_MISSING;legacy-nomixdir:count_fixed_canon_MISSING;s1:count_fixed_canon_MISSING;s2:count_fixed_canon_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,saga,hist_term_1.00,hist,term_1.00,count_fixed_cal,4,10000,-7.39205,-7.482400625,-7.301849375,0.9135941319,MISSING,10000,0,legacy-mixupdir=-9.8328;legacy-nomixdir=-4.167;s1=-8.8488;s2=-6.7196,
