work_package,split_name,split_sha256,git_sha,cell,arch,recipe_actual,variant,stage,condition_id,diagnostic,n_pairs,n_images,gap_mean,ci_lo,ci_hi,bootstrap_resamples,bootstrap_seed,per_pair,dropped_pairs
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,registers,s11_out,native,norm_p50,0,0,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:norm_p50_MISSING;legacy-nomixdir:norm_p50_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,registers,s11_out,native,norm_p90,0,0,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:norm_p90_MISSING;legacy-nomixdir:norm_p90_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,registers,s11_out,native,norm_p99,0,0,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:norm_p99_MISSING;legacy-nomixdir:norm_p99_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,registers,s11_out,native,norm_p999,0,0,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:norm_p999_MISSING;legacy-nomixdir:norm_p999_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,registers,s11_out,native,norm_max,0,0,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:norm_max_MISSING;legacy-nomixdir:norm_max_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,registers,s11_out,native,mad_thr,0,0,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:mad_thr_MISSING;legacy-nomixdir:mad_thr_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,registers,s11_out,native,count_fixed_canon,0,0,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:count_fixed_canon_MISSING;legacy-nomixdir:count_fixed_canon_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,registers,s11_out,native,count_fixed_cal,2,10000,-13.91915,-14.04895,-13.7872975,10000,0,legacy-mixupdir=-15.4368;legacy-nomixdir=-12.4015,
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,registers,s11_out,native,count_mad,2,10000,-9.00505,-9.1087525,-8.90514875,10000,0,legacy-mixupdir=-7.7421;legacy-nomixdir=-10.268,
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,registers,s11_out,native,cos_all,2,10000,-0.006697781362,-0.007578321046,-0.005831769668,10000,0,legacy-mixupdir=-0.006280911116;legacy-nomixdir=-0.007114651608,
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,registers,s11_out,native,cos_nosink_mad,2,10000,-0.05067374532,-0.05150683612,-0.04984348419,10000,0,legacy-mixupdir=-0.04563968419;legacy-nomixdir=-0.05570780645,
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,registers,s11_out,native,eff_rank,2,10000,24.05951611,23.9884984,24.13070544,10000,0,legacy-mixupdir=21.86859593;legacy-nomixdir=26.25043628,
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,registers,hist,native,norm_p50,0,0,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:norm_p50_MISSING;legacy-nomixdir:norm_p50_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,registers,hist,native,norm_p90,0,0,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:norm_p90_MISSING;legacy-nomixdir:norm_p90_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,registers,hist,native,norm_p99,0,0,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:norm_p99_MISSING;legacy-nomixdir:norm_p99_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,registers,hist,native,norm_p999,0,0,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:norm_p999_MISSING;legacy-nomixdir:norm_p999_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,registers,hist,native,norm_max,0,0,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:norm_max_MISSING;legacy-nomixdir:norm_max_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,registers,hist,native,mad_thr,0,0,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:mad_thr_MISSING;legacy-nomixdir:mad_thr_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,registers,hist,native,count_fixed_canon,0,0,MISSING,MISSING,MISSING,10000,0,MISSING,legacy-mixupdir:count_fixed_canon_MISSING;legacy-nomixdir:count_fixed_canon_MISSING
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,registers,hist,native,count_fixed_cal,2,10000,-12.74065,-12.84535125,-12.634245,10000,0,legacy-mixupdir=-12.9336;legacy-nomixdir=-12.5477,
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,registers,hist,native,count_mad,2,10000,-11.24905,-11.33970125,-11.16089875,10000,0,legacy-mixupdir=-9.9719;legacy-nomixdir=-12.5262,
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,vit_small|mixup,vit_small,mixup,registers,hist,native,cos_all,2,10000,0.04660302377,0.04541937278,0.047768782,10000,0,legacy-mixupdir=0.09954369103;legacy-nomixdir=-0.00633764348,
