work_package,split_name,split_sha256,git_sha,cell,arch,recipe_actual,variant,setting,stage,condition_id,diagnostic,n_pairs,n_images,gap_mean,ci_lo,ci_hi,survival,survival_s11,bootstrap_resamples,bootstrap_seed,per_pair,dropped_pairs
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,vit_small|mixup,vit_small,mixup,saga,hist_native,hist,native,norm_p50,4,2000,-3.153673545,-3.182746255,-3.12519948,MISSING,MISSING,10000,0,legacy-mixupdir=-4.157670038;legacy-nomixdir=-3.087443161;s1=-3.505118492;s2=-1.864462487,
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,vit_small|mixup,vit_small,mixup,saga,hist_native,hist,native,norm_p90,4,2000,-4.335458944,-4.391787987,-4.279250008,MISSING,MISSING,10000,0,legacy-mixupdir=-5.203975315;legacy-nomixdir=-3.378578359;s1=-5.668738673;s2=-3.090543427,
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,vit_small|mixup,vit_small,mixup,saga,hist_native,hist,native,norm_p99,4,2000,-27.74515343,-27.95361663,-27.5396233,MISSING,MISSING,10000,0,legacy-mixupdir=-38.09307475;legacy-nomixdir=-36.87197329;s1=-19.91280932;s2=-16.10275636,
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,vit_small|mixup,vit_small,mixup,saga,hist_native,hist,native,norm_p999,4,2000,-35.12580533,-35.32573603,-34.93127326,MISSING,MISSING,10000,0,legacy-mixupdir=-47.76046858;legacy-nomixdir=-47.43133717;s1=-26.76193261;s2=-18.54948297,
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,vit_small|mixup,vit_small,mixup,saga,hist_native,hist,native,norm_max,4,2000,-36.07456707,-36.30011754,-35.85171325,MISSING,MISSING,10000,0,legacy-mixupdir=-48.82122343;legacy-nomixdir=-48.81049702;s1=-27.76707847;s2=-18.89946935,
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,vit_small|mixup,vit_small,mixup,saga,hist_native,hist,native,mad_thr,4,2000,-3.866378674,-3.923212509,-3.809957192,MISSING,MISSING,10000,0,legacy-mixupdir=-5.029873897;legacy-nomixdir=-2.982561567;s1=-4.880807117;s2=-2.572272117,
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,vit_small|mixup,vit_small,mixup,saga,hist_native,hist,native,count_fixed_canon,4,2000,-8.2135,-8.445384375,-7.992746875,MISSING,MISSING,10000,0,legacy-mixupdir=-10.158;legacy-nomixdir=-6.3815;s1=-9.417;s2=-6.8975,
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,vit_small|mixup,vit_small,mixup,saga,hist_native,hist,native,count_fixed_cal,4,2000,-8.155375,-8.384375,-7.93836875,MISSING,MISSING,10000,0,legacy-mixupdir=-10.057;legacy-nomixdir=-6.335;s1=-9.3645;s2=-6.865,
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,vit_small|mixup,vit_small,mixup,saga,hist_native,hist,native,count_mad,4,2000,-1.85675,-2.003375,-1.713875,MISSING,MISSING,10000,0,legacy-mixupdir=-2.3255;legacy-nomixdir=-0.9655;s1=-2.0055;s2=-2.1305,
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,vit_small|mixup,vit_small,mixup,saga,hist_native,hist,native,cos_all,4,2000,-0.1288443842,-0.130334581,-0.1273149801,MISSING,MISSING,10000,0,legacy-mixupdir=-0.1396733808;legacy-nomixdir=-0.1947382897;s1=-0.1366282765;s2=-0.04433758978,
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,vit_small|mixup,vit_small,mixup,saga,hist_native,hist,native,cos_nosink_mad,4,2000,-0.1368321514,-0.138488903,-0.1351427247,MISSING,MISSING,10000,0,legacy-mixupdir=-0.1609987331;legacy-nomixdir=-0.2087334921;s1=-0.1275316889;s2=-0.05006469157,
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,vit_small|mixup,vit_small,mixup,saga,hist_native,hist,native,eff_rank,4,2000,14.08619091,13.98542948,14.18796693,MISSING,MISSING,10000,0,legacy-mixupdir=19.42073789;legacy-nomixdir=17.79118749;s1=8.798960368;s2=10.33387791,
