work_package,split_name,split_sha256,git_sha,cell,arch,recipe_actual,provenance_tag,variant,baseline_run_id,variant_run_id,condition_id,stage,map_basis,n_images,n_positions,rho_spatial,p_spatial,null_sd,n_transforms,mass_variant,mass_baseline,ring1_share_variant,ring1_share_baseline,rel_se_variant,noisy_variant,excess_entropy_bits_variant,excess_entropy_normalized_variant,excess_gini_variant,excess_top5_share_variant,excess_top20_share_variant,excess_entropy_bits_baseline,excess_entropy_normalized_baseline,excess_gini_baseline,excess_top5_share_baseline,excess_top20_share_baseline
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,vit_base|mixup,vit_base,mixup,legacy-nomixdir,saga,legacy_e2_vit_base_nomixdir_baseline,legacy_e2_vit_base_nomixdir_saga,native,hist,fixed_cal,2000,196,0.8231057521,0.001275510204,0.2195373122,1568,4.9085,5.5855,0.5070795559,0.5320025065,0.1395183364,0,-0.6186418397,-0.08124299577,0.4263172539,0.09462900224,0.2264336404,-0.6831053333,-0.08970864909,0.4510470132,0.1175112066,0.2599733218
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,vit_base|mixup,vit_base,mixup,legacy-nomixdir,saga,legacy_e2_vit_base_nomixdir_baseline,legacy_e2_vit_base_nomixdir_saga,native,hist,mad,2000,196,0.7852642629,0.001275510204,0.2207015923,1568,15.182,10.433,0.3402384403,0.4181922745,0.07716872757,0,-0.1053043057,-0.01382906347,0.1686700945,0.03240431399,0.08031654809,-0.2812822025,-0.03693931985,0.2858456061,0.0660181503,0.1542062042
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,vit_base|mixup,vit_base,mixup,legacy-nomixdir,saga,legacy_e2_vit_base_nomixdir_baseline,legacy_e2_vit_base_nomixdir_saga,term_0.25,hist,fixed_cal,2000,196,0.8236524164,0.001275510204,0.2194547114,1568,4.8945,5.5855,0.5073041169,0.5320025065,0.1397228478,0,-0.6187814729,-0.08126133308,0.4262163583,0.09458899098,0.2263945023,-0.6831053333,-0.08970864909,0.4510470132,0.1175112066,0.2599733218
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,vit_base|mixup,vit_base,mixup,legacy-nomixdir,saga,legacy_e2_vit_base_nomixdir_baseline,legacy_e2_vit_base_nomixdir_saga,term_0.25,hist,mad,2000,196,0.7798554494,0.001275510204,0.2187025183,1568,15.6435,10.433,0.3387988621,0.4181922745,0.07592484925,0,-0.09988535182,-0.01311742061,0.1642796684,0.03153262954,0.0779353281,-0.2812822025,-0.03693931985,0.2858456061,0.0660181503,0.1542062042
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,vit_base|mixup,vit_base,mixup,legacy-nomixdir,saga,legacy_e2_vit_base_nomixdir_baseline,legacy_e2_vit_base_nomixdir_saga,term_0.50,hist,fixed_cal,2000,196,0.8231057521,0.001275510204,0.2195373122,1568,4.9085,5.5855,0.5070795559,0.5320025065,0.1395183364,0,-0.6186418397,-0.08124299577,0.4263172539,0.09462900224,0.2264336404,-0.6831053333,-0.08970864909,0.4510470132,0.1175112066,0.2599733218
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,vit_base|mixup,vit_base,mixup,legacy-nomixdir,saga,legacy_e2_vit_base_nomixdir_baseline,legacy_e2_vit_base_nomixdir_saga,term_0.50,hist,mad,2000,196,0.7852642629,0.001275510204,0.2207015923,1568,15.182,10.433,0.3402384403,0.4181922745,0.07716872757,0,-0.1053043057,-0.01382906347,0.1686700945,0.03240431399,0.08031654809,-0.2812822025,-0.03693931985,0.2858456061,0.0660181503,0.1542062042
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,vit_base|mixup,vit_base,mixup,legacy-nomixdir,saga,legacy_e2_vit_base_nomixdir_baseline,legacy_e2_vit_base_nomixdir_saga,term_0.75,hist,fixed_cal,2000,196,0.8236551367,0.001275510204,0.2197434114,1568,4.932,5.5855,0.5067923763,0.5320025065,0.1391769923,0,-0.6167747882,-0.08099780567,0.4258381126,0.09416000813,0.2260025204,-0.6831053333,-0.08970864909,0.4510470132,0.1175112066,0.2599733218
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,vit_base|mixup,vit_base,mixup,legacy-nomixdir,saga,legacy_e2_vit_base_nomixdir_baseline,legacy_e2_vit_base_nomixdir_saga,term_0.75,hist,mad,2000,196,0.788830982,0.000637755102,0.2195197975,1568,14.0285,10.433,0.3471860855,0.4181922745,0.08053433398,0,-0.1185496209,-0.01556850141,0.1798751183,0.03433922443,0.08639132656,-0.2812822025,-0.03693931985,0.2858456061,0.0660181503,0.1542062042
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,vit_base|mixup,vit_base,mixup,legacy-nomixdir,saga,legacy_e2_vit_base_nomixdir_baseline,legacy_e2_vit_base_nomixdir_saga,term_1.00,hist,fixed_cal,2000,196,0.8237032428,0.001275510204,0.2197517933,1568,4.954,5.5855,0.5067622124,0.5320025065,0.138859621,0,-0.6154955976,-0.08082981626,0.4255868783,0.09400948061,0.2258271043,-0.6831053333,-0.08970864909,0.4510470132,0.1175112066,0.2599733218
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,vit_base|mixup,vit_base,mixup,legacy-nomixdir,saga,legacy_e2_vit_base_nomixdir_baseline,legacy_e2_vit_base_nomixdir_saga,term_1.00,hist,mad,2000,196,0.7864970363,0.000637755102,0.2195079329,1568,12.599,10.433,0.3569330899,0.4181922745,0.08531351072,0,-0.1393829316,-0.01830443108,0.1957618951,0.03826119824,0.09607705442,-0.2812822025,-0.03693931985,0.2858456061,0.0660181503,0.1542062042
