layer,epsilon,comparison,method,run_id,provenance_tag,scope,n,theta_primary,ci_lo,ci_hi,paired_with,paired_difference,note,bootstrap_resamples,bootstrap_seed,git_sha
7,10,per_checkpoint,baseline,e2r_vits_mixup_baseline_s1,s1,fresh,4,-0.0002320042928,-0.0003863811018,-7.748603974e-05,MISSING,MISSING,,10000,0,f1dcac340d8c474de6deead9c84f21c4ac581fba
7,10,per_checkpoint,baseline,e2r_vits_mixup_baseline_s2,s2,fresh,4,9.416453759e-05,-5.47297931e-05,0.0002421645028,MISSING,MISSING,,10000,0,f1dcac340d8c474de6deead9c84f21c4ac581fba
7,10,per_checkpoint,baseline,legacy_e2_vit_small_mixupdir_baseline,legacy-mixupdir,legacy,4,-0.0001797997796,-0.0003267215253,-3.313564954e-05,MISSING,MISSING,,10000,0,f1dcac340d8c474de6deead9c84f21c4ac581fba
7,10,per_checkpoint,baseline,legacy_e2_vit_small_nomixdir_baseline,legacy-nomixdir,legacy,4,-2.634662949e-05,-0.0001857727103,0.0001322409877,MISSING,MISSING,,10000,0,f1dcac340d8c474de6deead9c84f21c4ac581fba
7,10,per_checkpoint,registers,legacy_e2_vit_small_mixupdir_registers,legacy-mixupdir,registers,2,-8.58969233e-05,-0.0002716492533,9.483339938e-05,MISSING,MISSING,"registers: n = 2, labelled, never pooled",10000,0,f1dcac340d8c474de6deead9c84f21c4ac581fba
7,10,per_checkpoint,registers,legacy_e2_vit_small_nomixdir_registers,legacy-nomixdir,registers,2,0.0001313643273,-1.722186057e-05,0.0002815017466,MISSING,MISSING,"registers: n = 2, labelled, never pooled",10000,0,f1dcac340d8c474de6deead9c84f21c4ac581fba
7,10,per_checkpoint,saga,e2r_vits_mixup_saga_s1,s1,fresh,4,-0.0001443913952,-0.0002965472111,8.37904295e-06,MISSING,MISSING,,10000,0,f1dcac340d8c474de6deead9c84f21c4ac581fba
7,10,per_checkpoint,saga,e2r_vits_mixup_saga_s2,s2,fresh,4,0.0001131651169,-6.329589961e-05,0.0002869338894,MISSING,MISSING,,10000,0,f1dcac340d8c474de6deead9c84f21c4ac581fba
7,10,per_checkpoint,saga,legacy_e2_vit_small_mixupdir_saga,legacy-mixupdir,legacy,4,0.0001229656443,-2.508897937e-05,0.0002695549421,MISSING,MISSING,,10000,0,f1dcac340d8c474de6deead9c84f21c4ac581fba
7,10,per_checkpoint,saga,legacy_e2_vit_small_nomixdir_saga,legacy-nomixdir,legacy,4,6.492652837e-05,-8.99426201e-05,0.0002179698814,MISSING,MISSING,,10000,0,f1dcac340d8c474de6deead9c84f21c4ac581fba
7,10,baseline_minus_saga,paired,legacy_e2_vit_small_mixupdir_baseline,legacy-mixupdir,legacy,1,-0.0001797997796,MISSING,MISSING,legacy_e2_vit_small_mixupdir_saga,-0.0003027654239,"same provenance tag, same images, same coordinates",10000,0,f1dcac340d8c474de6deead9c84f21c4ac581fba
7,10,baseline_minus_saga,paired,legacy_e2_vit_small_nomixdir_baseline,legacy-nomixdir,legacy,1,-2.634662949e-05,MISSING,MISSING,legacy_e2_vit_small_nomixdir_saga,-9.127315786e-05,"same provenance tag, same images, same coordinates",10000,0,f1dcac340d8c474de6deead9c84f21c4ac581fba
7,10,baseline_minus_saga,paired,e2r_vits_mixup_baseline_s1,s1,fresh,1,-0.0002320042928,MISSING,MISSING,e2r_vits_mixup_saga_s1,-8.761289762e-05,"same provenance tag, same images, same coordinates",10000,0,f1dcac340d8c474de6deead9c84f21c4ac581fba
7,10,baseline_minus_saga,paired,e2r_vits_mixup_baseline_s2,s2,fresh,1,9.416453759e-05,MISSING,MISSING,e2r_vits_mixup_saga_s2,-1.900057928e-05,"same provenance tag, same images, same coordinates",10000,0,f1dcac340d8c474de6deead9c84f21c4ac581fba
8,10,per_checkpoint,baseline,e2r_vits_mixup_baseline_s1,s1,fresh,4,-0.0001559571379,-0.0002720340301,-3.989260538e-05,MISSING,MISSING,,10000,0,f1dcac340d8c474de6deead9c84f21c4ac581fba
8,10,per_checkpoint,baseline,e2r_vits_mixup_baseline_s2,s2,fresh,4,-0.0003726115003,-0.0004902164351,-0.0002593355482,MISSING,MISSING,,10000,0,f1dcac340d8c474de6deead9c84f21c4ac581fba
