run_id,arch,recipe_actual,variant,provenance_tag,condition_id,stage,transform,descriptor,n_images,n_shared,grid,chance_exact,chance_1,acc_exact_mean,acc_exact_ci_lo,acc_exact_ci_hi,acc_1_mean,acc_1_ci_lo,acc_1_ci_hi,mean_nn_sim,acc_exact_over_chance,endpoint_class
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,native,s11_out,T0,l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.9999999948,196,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,native,s11_out,T0,centred_l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.9999999959,196,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,native,hist,T0,l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.9999999963,196,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,native,hist,T0,centred_l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.9999999965,196,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,native,s12_post_norm,T0,l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.9999999906,196,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,native,s12_post_norm,T0,centred_l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.9999999864,196,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,native,s11_out,T1,l2,2000,196,14,0.005102040816,0.04164931279,0.848994898,0.8465330995,0.8514260842,0.8941403061,0.8920892219,0.8961072066,0.9440184086,166.403,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,native,s11_out,T1,centred_l2,2000,196,14,0.005102040816,0.04164931279,0.8469591837,0.8445330995,0.849375,0.8936505102,0.891594324,0.8956479592,0.9197469814,166.004,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,native,hist,T1,l2,2000,196,14,0.005102040816,0.04164931279,0.8240459184,0.8213111607,0.8268010204,0.8752678571,0.8729591199,0.8775510204,0.942848597,161.513,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,native,hist,T1,centred_l2,2000,196,14,0.005102040816,0.04164931279,0.8241607143,0.8214183673,0.8268903061,0.8745204082,0.872221875,0.8768239796,0.9179453293,161.5355,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,native,s12_post_norm,T1,l2,2000,196,14,0.005102040816,0.04164931279,0.8468647959,0.844348852,0.8493826531,0.8948520408,0.8927422832,0.896898023,0.9237602168,165.9855,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,native,s12_post_norm,T1,centred_l2,2000,196,14,0.005102040816,0.04164931279,0.8470357143,0.8445254464,0.8495688776,0.894244898,0.8921604592,0.8962806122,0.9029462215,166.019,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,native,s11_out,T2,l2,2000,182,14,0.005102040816,0.04261045077,0.8695851648,0.8661400412,0.8729588599,0.9168269231,0.9149037775,0.9187500687,0.9730757456,170.4386923,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,native,s11_out,T2,centred_l2,2000,182,14,0.005102040816,0.04261045077,0.8678241758,0.8644120879,0.871206044,0.9160686813,0.914148283,0.9179972527,0.9583795575,170.0935385,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,native,hist,T2,l2,2000,182,14,0.005102040816,0.04261045077,0.855043956,0.851420261,0.8585934066,0.9040576923,0.9018983516,0.9062116758,0.9687962464,167.5886154,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,native,hist,T2,centred_l2,2000,182,14,0.005102040816,0.04261045077,0.8550824176,0.8515274725,0.8586457418,0.9033791209,0.9012417582,0.9055440247,0.95622001,167.5961538,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,native,s12_post_norm,T2,l2,2000,182,14,0.005102040816,0.04261045077,0.8705741758,0.8670659341,0.8740275412,0.9185631868,0.9165796016,0.9205605769,0.9572148401,170.6325385,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,native,s12_post_norm,T2,centred_l2,2000,182,14,0.005102040816,0.04261045077,0.8699725275,0.8664641484,0.8734258242,0.917543956,0.9155905907,0.919503022,0.9488066764,170.5146154,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,native,s11_out,T3,l2,2000,168,14,0.005102040816,0.0425170068,0.8478125,0.8441844494,0.8512680804,0.8873333333,0.8843778274,0.8901429315,0.9589849695,166.17125,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,native,s11_out,T3,centred_l2,2000,168,14,0.005102040816,0.0425170068,0.8458720238,0.8423005208,0.8493363095,0.8866339286,0.8836813988,0.8894672619,0.9393152752,165.7909167,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,native,hist,T3,l2,2000,168,14,0.005102040816,0.0425170068,0.8280982143,0.8243422619,0.8317650298,0.8710357143,0.8679017113,0.8740834077,0.9532330333,162.30725,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,native,hist,T3,centred_l2,2000,168,14,0.005102040816,0.0425170068,0.8282529762,0.8245357143,0.831889881,0.8707321429,0.8676488095,0.8737321429,0.9358861529,162.3375833,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,native,s12_post_norm,T3,l2,2000,168,14,0.005102040816,0.0425170068,0.8470714286,0.8434017857,0.850628125,0.8881160714,0.885125,0.8910091518,0.9368507569,166.026,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,native,s12_post_norm,T3,centred_l2,2000,168,14,0.005102040816,0.0425170068,0.8468125,0.8431665923,0.8503513393,0.887297619,0.8842915923,0.8901875744,0.9237557991,165.97525,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,native,s11_out,T0,l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.9999999892,196,secondary
