cell,arch,recipe_actual,contrast,pair_label,pair_kind,stage,transform,descriptor,n_pairs,n_images_paired,n_images_dropped,delta_acc_exact,ci_lo,ci_hi,delta_acc_1,a_acc_exact,b_acc_exact,chance_exact,endpoint_class
vit_base|mixup,vit_base,mixup,saga_minus_baseline,legacy_e2_vit_base_nomixdir_saga - legacy_e2_vit_base_nomixdir_baseline,legacy,hist,T1,centred_l2,1,2000,0,0.009987244898,0.008515306122,0.01145669643,0.006951530612,0.8341479592,0.8241607143,0.005102040816,secondary
vit_base|mixup,vit_base,mixup,saga_minus_baseline,e2r_vitb_mixup_saga_s1 - e2r_vitb_mixup_baseline_s1,seed,hist,T1,centred_l2,1,2000,0,0.04078571429,0.03916568878,0.04235204082,0.03800765306,0.8374387755,0.7966530612,0.005102040816,secondary
vit_base|mixup,vit_base,mixup,saga_minus_baseline,legacy_e2_vit_base_nomixdir_saga - legacy_e2_vit_base_nomixdir_baseline,legacy,hist,T1,l2,1,2000,0,0.01288265306,0.01143616071,0.01435459184,0.009625,0.8369285714,0.8240459184,0.005102040816,secondary
vit_base|mixup,vit_base,mixup,saga_minus_baseline,e2r_vitb_mixup_saga_s1 - e2r_vitb_mixup_baseline_s1,seed,hist,T1,l2,1,2000,0,0.04408928571,0.04246683673,0.04566326531,0.0413494898,0.8395714286,0.7954821429,0.005102040816,secondary
vit_base|mixup,vit_base,mixup,saga_minus_baseline,legacy_e2_vit_base_nomixdir_saga - legacy_e2_vit_base_nomixdir_baseline,legacy,hist,T2,centred_l2,1,2000,0,0.01741208791,0.01592300824,0.01890934066,0.01090934066,0.8724945055,0.8550824176,0.005102040816,secondary
vit_base|mixup,vit_base,mixup,saga_minus_baseline,e2r_vitb_mixup_saga_s1 - e2r_vitb_mixup_baseline_s1,seed,hist,T2,centred_l2,1,2000,0,0.03751373626,0.03603839286,0.03900824176,0.03421703297,0.8716346154,0.8341208791,0.005102040816,secondary
vit_base|mixup,vit_base,mixup,saga_minus_baseline,legacy_e2_vit_base_nomixdir_saga - legacy_e2_vit_base_nomixdir_baseline,legacy,hist,T2,l2,1,2000,0,0.02001923077,0.01850267857,0.02153571429,0.01385989011,0.8750631868,0.855043956,0.005102040816,secondary
vit_base|mixup,vit_base,mixup,saga_minus_baseline,e2r_vitb_mixup_saga_s1 - e2r_vitb_mixup_baseline_s1,seed,hist,T2,l2,1,2000,0,0.04023351648,0.03873076923,0.04176648352,0.03699725275,0.8733296703,0.8330961538,0.005102040816,secondary
vit_base|mixup,vit_base,mixup,saga_minus_baseline,legacy_e2_vit_base_nomixdir_saga - legacy_e2_vit_base_nomixdir_baseline,legacy,hist,T3,centred_l2,1,2000,0,0.02563690476,0.02395238095,0.02736309524,0.02100595238,0.853889881,0.8282529762,0.005102040816,secondary
vit_base|mixup,vit_base,mixup,saga_minus_baseline,e2r_vitb_mixup_saga_s1 - e2r_vitb_mixup_baseline_s1,seed,hist,T3,centred_l2,1,2000,0,0.05120535714,0.04950892857,0.05293452381,0.04799107143,0.8561369048,0.8049315476,0.005102040816,secondary
vit_base|mixup,vit_base,mixup,saga_minus_baseline,legacy_e2_vit_base_nomixdir_saga - legacy_e2_vit_base_nomixdir_baseline,legacy,hist,T3,l2,1,2000,0,0.02857142857,0.02688980655,0.03033035714,0.02382440476,0.8566696429,0.8280982143,0.005102040816,secondary
vit_base|mixup,vit_base,mixup,saga_minus_baseline,e2r_vitb_mixup_saga_s1 - e2r_vitb_mixup_baseline_s1,seed,hist,T3,l2,1,2000,0,0.05526785714,0.05347008929,0.05704174107,0.05116964286,0.8579285714,0.8026607143,0.005102040816,secondary
vit_base|mixup,vit_base,mixup,saga_minus_baseline,legacy_e2_vit_base_nomixdir_saga - legacy_e2_vit_base_nomixdir_baseline,legacy,s11_out,T1,centred_l2,1,2000,0,-0.002234693878,-0.003599553571,-0.0008392857143,-0.001,0.8447244898,0.8469591837,0.005102040816,secondary
vit_base|mixup,vit_base,mixup,saga_minus_baseline,e2r_vitb_mixup_saga_s1 - e2r_vitb_mixup_baseline_s1,seed,s11_out,T1,centred_l2,1,2000,0,0.04877295918,0.04716581633,0.0503494898,0.04594387755,0.8487397959,0.7999668367,0.005102040816,secondary
vit_base|mixup,vit_base,mixup,saga_minus_baseline,legacy_e2_vit_base_nomixdir_saga - legacy_e2_vit_base_nomixdir_baseline,legacy,s11_out,T1,l2,1,2000,0,-0.002150510204,-0.003538329082,-0.0007653061224,0.0005051020408,0.8468443878,0.848994898,0.005102040816,secondary
vit_base|mixup,vit_base,mixup,saga_minus_baseline,e2r_vitb_mixup_saga_s1 - e2r_vitb_mixup_baseline_s1,seed,s11_out,T1,l2,1,2000,0,0.0470127551,0.04539540816,0.04856887755,0.04463265306,0.8495867347,0.8025739796,0.005102040816,secondary
