run_id,arch,recipe_actual,variant,stage,transform,descriptor,n_images_paired,acc_native,acc_term_1.00,delta,ci_lo,ci_hi,max_abs_s11_diff_vs_native,chance_exact,endpoint_class
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,hist,T0,centred_l2,2000,1,1,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,hist,T0,l2,2000,1,1,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,hist,T1,centred_l2,2000,0.8341479592,0.8239719388,-0.01017602041,-0.01056887755,-0.009775510204,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,hist,T1,l2,2000,0.8369285714,0.8257193878,-0.01120918367,-0.01162755102,-0.01078571429,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,hist,T2,centred_l2,2000,0.8724945055,0.865532967,-0.006961538462,-0.007296703297,-0.006618063187,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,hist,T2,l2,2000,0.8750631868,0.8673653846,-0.007697802198,-0.008038461538,-0.007354395604,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,hist,T3,centred_l2,2000,0.853889881,0.8453065476,-0.008583333333,-0.008970238095,-0.00819047619,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,hist,T3,l2,2000,0.8566696429,0.8469761905,-0.009693452381,-0.01011309524,-0.009285714286,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,s11_out,T0,centred_l2,2000,1,1,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,s11_out,T0,l2,2000,1,1,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,s11_out,T1,centred_l2,2000,0.8447244898,0.8447244898,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,s11_out,T1,l2,2000,0.8468443878,0.8468443878,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,s11_out,T2,centred_l2,2000,0.8809038462,0.8809038462,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,s11_out,T2,l2,2000,0.8831620879,0.8831620879,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,s11_out,T3,centred_l2,2000,0.8641845238,0.8641845238,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,s11_out,T3,l2,2000,0.8660863095,0.8660863095,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,s12_post_norm,T0,centred_l2,2000,1,1,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,s12_post_norm,T0,l2,2000,1,1,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,s12_post_norm,T1,centred_l2,2000,0.8499132653,0.8437882653,-0.006125,-0.006441326531,-0.005808673469,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,s12_post_norm,T1,l2,2000,0.8511556122,0.8454107143,-0.005744897959,-0.006053571429,-0.005436160714,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,s12_post_norm,T2,centred_l2,2000,0.8855824176,0.8810604396,-0.004521978022,-0.004804945055,-0.004239010989,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,s12_post_norm,T2,l2,2000,0.8869642857,0.8824697802,-0.004494505495,-0.004766552198,-0.004225274725,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,s12_post_norm,T3,centred_l2,2000,0.8689196429,0.8634940476,-0.005425595238,-0.00574702381,-0.005107142857,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,s12_post_norm,T3,l2,2000,0.8705029762,0.8650238095,-0.005479166667,-0.005785714286,-0.005175595238,0,0.005102040816,secondary
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,hist,T0,centred_l2,2000,1,1,0,0,0,0,0.005102040816,secondary
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,hist,T0,l2,2000,1,1,0,0,0,0,0.005102040816,secondary
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,hist,T1,centred_l2,2000,0.8374387755,0.8272193878,-0.01021938776,-0.01068622449,-0.009739795918,0,0.005102040816,secondary
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,hist,T1,l2,2000,0.8395714286,0.829630102,-0.009941326531,-0.01044132653,-0.009448979592,0,0.005102040816,secondary
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,hist,T2,centred_l2,2000,0.8716346154,0.8663021978,-0.005332417582,-0.00568956044,-0.004978021978,0,0.005102040816,secondary
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,hist,T2,l2,2000,0.8733296703,0.8676758242,-0.005653846154,-0.006027472527,-0.005271978022,0,0.005102040816,secondary
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,hist,T3,centred_l2,2000,0.8561369048,0.8480744048,-0.0080625,-0.008547693452,-0.007604166667,0,0.005102040816,secondary
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,hist,T3,l2,2000,0.8579285714,0.8499791667,-0.007949404762,-0.008476190476,-0.007443452381,0,0.005102040816,secondary
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s11_out,T0,centred_l2,2000,1,1,0,0,0,0,0.005102040816,secondary
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s11_out,T0,l2,2000,1,1,0,0,0,0,0.005102040816,secondary
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s11_out,T1,centred_l2,2000,0.8487397959,0.8487397959,0,0,0,0,0.005102040816,secondary
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s11_out,T1,l2,2000,0.8495867347,0.8495867347,0,0,0,0,0.005102040816,secondary
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s11_out,T2,centred_l2,2000,0.8788983516,0.8788983516,0,0,0,0,0.005102040816,secondary
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s11_out,T2,l2,2000,0.8794752747,0.8794752747,0,0,0,0,0.005102040816,secondary
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s11_out,T3,centred_l2,2000,0.8654583333,0.8654583333,0,0,0,0,0.005102040816,secondary
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s11_out,T3,l2,2000,0.8663482143,0.8663482143,0,0,0,0,0.005102040816,secondary
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s12_post_norm,T0,centred_l2,2000,1,1,0,0,0,0,0.005102040816,secondary
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s12_post_norm,T0,l2,2000,1,1,0,0,0,0,0.005102040816,secondary
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s12_post_norm,T1,centred_l2,2000,0.8527346939,0.8473316327,-0.005403061224,-0.005739795918,-0.005071428571,0,0.005102040816,secondary
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s12_post_norm,T1,l2,2000,0.8541913265,0.8496096939,-0.004581632653,-0.004892857143,-0.004267857143,0,0.005102040816,secondary
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s12_post_norm,T2,centred_l2,2000,0.8828736264,0.8797335165,-0.00314010989,-0.003390178571,-0.002898351648,0,0.005102040816,secondary
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s12_post_norm,T2,l2,2000,0.8843791209,0.8817032967,-0.002675824176,-0.002909340659,-0.002447802198,0,0.005102040816,secondary
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s12_post_norm,T3,centred_l2,2000,0.8698511905,0.8655029762,-0.004348214286,-0.004654761905,-0.004053571429,0,0.005102040816,secondary
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s12_post_norm,T3,l2,2000,0.871202381,0.867610119,-0.003592261905,-0.003883928571,-0.00330952381,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,hist,T0,centred_l2,2000,1,1,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,hist,T0,l2,2000,1,1,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,hist,T1,centred_l2,2000,0.9102040816,0.9064489796,-0.003755102041,-0.004035714286,-0.003484693878,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,hist,T1,l2,2000,0.9090153061,0.9054464286,-0.003568877551,-0.003854591837,-0.003288265306,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,hist,T2,centred_l2,2000,0.916739011,0.9142692308,-0.00246978022,-0.00268956044,-0.00225,0,0.005102040816,secondary
