run_id,arch,recipe_actual,variant,condition_id,stage,transform,descriptor,n_images,n_images_with_exceedance,mean_n_shared_exc,mean_n_shared_nonexc,acc_exc,acc_exc_ci_lo,acc_exc_ci_hi,acc_nonexc,acc_nonexc_ci_lo,acc_nonexc_ci_hi,delta_exc_minus_nonexc,delta_ci_lo,delta_ci_hi,chance_exact,endpoint_class
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,native,s11_out,T0,l2,2000,2000,24.9685,171.0315,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,native,s11_out,T0,centred_l2,2000,2000,24.9685,171.0315,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,native,hist,T0,l2,2000,2000,10.3505,185.6495,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,native,hist,T0,centred_l2,2000,2000,10.3505,185.6495,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,native,s12_post_norm,T0,l2,2000,2,0.0015,195.9985,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,native,s12_post_norm,T0,centred_l2,2000,2,0.0015,195.9985,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,native,s11_out,T1,l2,2000,2000,24.9685,171.0315,0.5309094113,0.5238699953,0.5379567173,0.8935451363,0.8912619976,0.8958227108,-0.362635725,-0.3694084359,-0.3560002129,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,native,s11_out,T1,centred_l2,2000,2000,24.9685,171.0315,0.5293074,0.5223576989,0.536341639,0.8915224936,0.8892306165,0.8937952526,-0.3622150936,-0.3689369815,-0.3555467929,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,native,hist,T1,l2,2000,2000,10.3505,185.6495,0.3380458561,0.3290155532,0.3473253986,0.8482763262,0.845591036,0.8509942242,-0.5102304701,-0.5187750845,-0.5014595064,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,native,hist,T1,centred_l2,2000,2000,10.3505,185.6495,0.3434186396,0.3344616795,0.3525815136,0.8481694829,0.8454496104,0.8509033362,-0.5047508433,-0.5131644619,-0.4960443304,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,native,s12_post_norm,T1,l2,2000,2,0.0015,195.9985,1,1,1,0.8468636406,0.8443473044,0.8493811421,0.1491144594,0.1435897436,0.1546391753,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,native,s12_post_norm,T1,centred_l2,2000,2,0.0015,195.9985,1,1,1,0.8470345852,0.8445246772,0.8495688314,0.1439862543,0.1333333333,0.1546391753,0.005102040816,secondary
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,native,s11_out,T2,l2,2000,2000,23.71,158.29,0.5987543812,0.5896681958,0.6077743713,0.9089057673,0.9061038642,0.9116714129,-0.3101513861,-0.3178966536,-0.3025162958,0.005102040816,secondary
