scope,run_id,arch,recipe_actual,variant,stage,transform,descriptor,diagnostic,n,spearman_rho,mean_acc_exact,mean_diagnostic,endpoint_class
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s11_out,T0,l2,count_mad_s11,2000,MISSING,1,24.9685,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s11_out,T0,l2,count_mad_stage,2000,MISSING,1,24.9685,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s11_out,T0,centred_l2,count_mad_s11,2000,MISSING,1,24.9685,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s11_out,T0,centred_l2,count_mad_stage,2000,MISSING,1,24.9685,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,hist,T0,l2,count_mad_s11,2000,MISSING,1,24.9685,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,hist,T0,l2,count_mad_stage,2000,MISSING,1,10.3505,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,hist,T0,centred_l2,count_mad_s11,2000,MISSING,1,24.9685,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,hist,T0,centred_l2,count_mad_stage,2000,MISSING,1,10.3505,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s12_post_norm,T0,l2,count_mad_s11,2000,MISSING,1,24.9685,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s12_post_norm,T0,l2,count_mad_stage,2000,MISSING,1,0.0015,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s12_post_norm,T0,centred_l2,count_mad_s11,2000,MISSING,1,24.9685,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s12_post_norm,T0,centred_l2,count_mad_stage,2000,MISSING,1,0.0015,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s11_out,T1,l2,count_mad_s11,2000,-0.2892902861,0.848994898,24.9685,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s11_out,T1,l2,count_mad_stage,2000,-0.2892902861,0.848994898,24.9685,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s11_out,T1,centred_l2,count_mad_s11,2000,-0.2856398642,0.8469591837,24.9685,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s11_out,T1,centred_l2,count_mad_stage,2000,-0.2856398642,0.8469591837,24.9685,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,hist,T1,l2,count_mad_s11,2000,-0.2869072178,0.8240459184,24.9685,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,hist,T1,l2,count_mad_stage,2000,-0.0003328256628,0.8240459184,10.3505,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,hist,T1,centred_l2,count_mad_s11,2000,-0.2901396473,0.8241607143,24.9685,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,hist,T1,centred_l2,count_mad_stage,2000,4.566535643e-05,0.8241607143,10.3505,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s12_post_norm,T1,l2,count_mad_s11,2000,-0.2763913353,0.8468647959,24.9685,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s12_post_norm,T1,l2,count_mad_stage,2000,-0.003799344732,0.8468647959,0.0015,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s12_post_norm,T1,centred_l2,count_mad_s11,2000,-0.2782781395,0.8470357143,24.9685,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s12_post_norm,T1,centred_l2,count_mad_stage,2000,0.0005298807207,0.8470357143,0.0015,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s11_out,T2,l2,count_mad_s11,2000,-0.2434327826,0.8695851648,25.291,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s11_out,T2,l2,count_mad_stage,2000,-0.2434327826,0.8695851648,25.291,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s11_out,T2,centred_l2,count_mad_s11,2000,-0.2431123125,0.8678241758,25.291,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s11_out,T2,centred_l2,count_mad_stage,2000,-0.2431123125,0.8678241758,25.291,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,hist,T2,l2,count_mad_s11,2000,-0.2327776744,0.855043956,25.291,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,hist,T2,l2,count_mad_stage,2000,-0.09177053883,0.855043956,10.511,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,hist,T2,centred_l2,count_mad_s11,2000,-0.2309552629,0.8550824176,25.291,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,hist,T2,centred_l2,count_mad_stage,2000,-0.09468670228,0.8550824176,10.511,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s12_post_norm,T2,l2,count_mad_s11,2000,-0.2255320465,0.8705741758,25.291,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s12_post_norm,T2,l2,count_mad_stage,2000,-0.02510163631,0.8705741758,0.0025,secondary
