contrast,a_run_id,b_run_id,condition_id,class_index,iou_a,iou_b,iou_delta,gt_pixels_a,gt_pixels_b,endpoint_class
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,0,0.7291158331,0.7271498657,0.00196596745,81041037,81041037,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,1,0.7867771422,0.7949880437,-0.008210901537,53170509,53170509,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,2,0.9428160777,0.9416718821,0.001144195623,47676526,47676526,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,3,0.7661380977,0.7606898162,0.005448281525,32842524,32842524,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,4,0.7303015878,0.7233080599,0.006993527922,25595703,25595703,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,5,0.8110016733,0.8097886972,0.001212976136,20996774,20996774,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,6,0.7991497885,0.8028302072,-0.003680418668,19972693,19972693,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,7,0.8045774075,0.8086758881,-0.00409848058,10099567,10099567,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,8,0.5939310456,0.6015465056,-0.007615460006,9001453,9001453,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,9,0.6348947458,0.6506734523,-0.0157787065,10409458,10409458,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,10,0.5307649294,0.5446237515,-0.01385882206,8761118,8761118,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,11,0.5553785331,0.5578884685,-0.002509935312,6685315,6685315,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,12,0.744770855,0.7498838512,-0.005112996239,9341046,9341046,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,13,0.3436738279,0.3825498618,-0.03887603394,9032502,9032502,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,14,0.3603106984,0.3742033141,-0.01389261576,5566448,5566448,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,15,0.4790667926,0.4903858575,-0.01131906487,5323516,5323516,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,16,0.6013242677,0.6072100698,-0.005885802119,8368726,8368726,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,17,0.4663038552,0.4185583227,0.04774553245,7191545,7191545,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,18,0.6726340131,0.7031139694,-0.03047995633,4947969,4947969,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,19,0.4594708506,0.4711411927,-0.01167034208,4896151,4896151,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,20,0.8075936744,0.8080935645,-0.0004998900689,4047591,4047591,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,21,0.5237513267,0.5083123757,0.01543895098,4335987,4335987,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,22,0.6437094831,0.6251894644,0.01852001875,2790615,2790615,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,23,0.521796514,0.5462842873,-0.02448777335,2638434,2638434,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,24,0.3900619835,0.4001342405,-0.01007225703,3335280,3335280,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,25,0.3373764787,0.4029271568,-0.06555067804,3518102,3518102,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,26,0.7289308052,0.6977218338,0.03120897142,3382044,3382044,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,27,0.5178419147,0.5462612254,-0.02841931075,2160334,2160334,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,28,0.5032497724,0.5227981244,-0.01954835192,2132221,2132221,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,29,0.4143803452,0.3968648981,0.01751544709,3259690,3259690,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,30,0.3055363905,0.3522831769,-0.04674678644,1652382,1652382,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,31,0.5053365401,0.5456905451,-0.04035400496,2102846,2102846,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,32,0.4084136849,0.3320424124,0.07637127253,1669450,1669450,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,33,0.374435846,0.4165070199,-0.04207117395,1323196,1323196,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,34,0.4497299696,0.4289875833,0.02074238625,2091399,2091399,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,35,0.462443157,0.4716970607,-0.009253903704,1852969,1852969,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,36,0.5125308849,0.5061086944,0.006422190567,1074190,1074190,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,37,0.6627991113,0.7264687281,-0.06366961681,1220716,1220716,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,38,0.2635389705,0.2498337129,0.0137052576,1370847,1370847,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,39,0.4799476652,0.4872233969,-0.007275731701,1054033,1054033,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,40,0.1596238184,0.1923067511,-0.03268293263,1332490,1332490,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,41,0.1967985705,0.1897446291,0.007053941367,1277442,1277442,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,42,0.3424015753,0.3755123464,-0.0331107711,1314930,1314930,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,43,0.3427373872,0.3228192761,0.01991811108,1021529,1021529,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,44,0.4049422831,0.3871388998,0.01780338328,792513,792513,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,45,0.3245172939,0.2712098308,0.05330746301,987802,987802,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,46,0.523269822,0.5268674237,-0.00359760166,1745553,1745553,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,47,0.6107357978,0.6185929262,-0.007857128429,814011,814011,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,48,0.6185000711,0.6108273278,0.0076727433,2260867,2260867,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,49,0.629686269,0.6079080556,0.0217782134,688848,688848,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,50,0.619015091,0.6701487464,-0.0511336554,909343,909343,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,51,0.4261458598,0.4762290598,-0.05008319999,729145,729145,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,52,0.1496899456,0.1465339444,0.003156001241,1002069,1002069,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,53,0.2991048756,0.2569888838,0.04211599181,984808,984808,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,54,0.7051224493,0.6197589625,0.08536348684,1040193,1040193,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,55,0.4403173968,0.4757386453,-0.03542124859,1111345,1111345,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,56,0.8952910706,0.9005680619,-0.005276991318,692276,692276,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,57,0.4280488799,0.4585243151,-0.03047543525,779502,779502,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,58,0.6160265522,0.6061398497,0.009886702576,651880,651880,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,59,0.36722894,0.4191665563,-0.05193761629,714887,714887,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,60,0.2592988723,0.2004967654,0.05880210686,1125683,1125683,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,61,0.5282934633,0.5083683197,0.01992514362,760820,760820,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,62,0.4197177891,0.3576413083,0.06207648083,825270,825270,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,63,0.3746129797,0.3388621333,0.03575084645,937234,937234,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,64,0.4640924646,0.4768718269,-0.01277936237,640359,640359,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,65,0.7370170198,0.7287293017,0.008287718125,675572,675572,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,66,0.2812507716,0.3982752504,-0.1170244789,726622,726622,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,67,0.4059544172,0.4420898561,-0.03613543894,837154,837154,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,68,0.1164846517,0.1415441362,-0.02505948446,683459,683459,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,69,0.3002357294,0.4110658487,-0.1108301193,749265,749265,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,70,0.4490125754,0.4670961075,-0.01808353209,411632,411632,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,71,0.5673826256,0.6050210016,-0.03763837605,711779,711779,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,72,0.5409975968,0.5491133817,-0.008115784889,435091,435091,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,73,0.4143526371,0.391891338,0.02246129917,260963,260963,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,74,0.5737817281,0.535450869,0.0383308591,635721,635721,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,75,0.3844172436,0.3788061187,0.005611124886,526118,526118,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,76,0.375997779,0.4042710189,-0.0282732399,302428,302428,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,77,0.4082440162,0.3174305917,0.09081342452,896486,896486,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,78,0.4698711371,0.4755844688,-0.005713331722,356865,356865,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,79,0.2961434164,0.2143565408,0.08178687563,528510,528510,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,80,0.6718378159,0.7504074095,-0.0785695936,323662,323662,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,81,0.5012898331,0.5091634457,-0.007873612602,378553,378553,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,82,0.4733341035,0.4874020614,-0.01406795791,445624,445624,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,83,0.231421395,0.2608639891,-0.02944259419,205489,205489,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,84,0.309412831,0.3174828641,-0.008070033137,326035,326035,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,85,0.5262523986,0.5666457095,-0.04039331093,395707,395707,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,86,0.258873712,0.2838313986,-0.02495768653,331037,331037,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,87,0.1742544785,0.1912253469,-0.01697086838,339069,339069,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,88,0.3748520058,0.3027018505,0.07215015533,409536,409536,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,89,0.5811696917,0.5393757696,0.04179392209,335396,335396,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,90,0.5252963284,0.5851784386,-0.05988211015,191337,191337,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,91,0.03375993308,0.1424777205,-0.1087177874,103796,103796,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,92,0.2698123903,0.2865236607,-0.01671127038,167764,167764,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,93,0.1598797412,0.1715418609,-0.01166211976,308290,308290,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,94,0.06047927733,0.0471019212,0.01337735613,318743,318743,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,95,0.08645438501,0.02477944612,0.06167493889,290947,290947,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,96,0.40803647,0.3844177082,0.02361876178,405344,405344,secondary
saga_minus_baseline,seg_vitb_saga_s1,seg_vitb_baseline_s1,native,97,0.1016319069,0.2948333567,-0.1932014498,247159,247159,secondary
