work_package,generated_by,git_sha,model_id,timm_name,group,mixing,arch_note,weight_sha256,timm_version,input_size,native_input_size,resolution_deviation,patch_size,grid_side,n_patches,n_prefix,depth,norm_mean,norm_std,crop_pct,split_name,split_sha256,threshold_split_name,threshold_split_sha256,stage,stage_resolved,basis,tau,n_images,count_per_image,p_any,entropy_normalized,entropy_normalized_excess,gini,gini_null,gini_excess,top5_share,top5_share_uniform,top5_share_excess,position_rel_se,eta2_pos,ring0_freq,ring1_freq,ring2_freq,ring3_freq,ring4_freq,ring5_freq,ring6_freq,ring7_freq,ring0_freq_ci_lo,ring0_freq_ci_hi,ring1_freq_ci_lo,ring1_freq_ci_hi,centre_freq,centre_freq_ci_lo,centre_freq_ci_hi,ring1_share,peak_ring,ring_1_peak,ring1_minus_ring0,ring1_minus_ring0_ci_lo,ring1_minus_ring0_ci_hi,prediction_group,prediction_outcome,split_half_rho,split_half_p,split_half_n_transforms,bootstrap_seed,bootstrap_resamples,source,note
I6_external,analysis/frozen_I6_external.py,202a712d9392527cbf2fe99525a42a1d45d01aca,deit_small_patch16_224,deit_small_patch16_224.fb_in1k,supervised_mixing,yes,DeiT-S/16,1e747b4a8d0df2cfbd3c450e8c97685d867448ab0c2ddbfb34b6885f5cb23e5b,1.0.26,224,224,0,16,14,196,1,12,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",0.9,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,ext_hist,s12_pre_norm,fixed_cal,52.32806,10000,16.6535,1.0,0.981984,-0.017915,0.227037,0.018396,0.208641,0.078446,0.02551,0.051006,0.032817,0.022245,0.069162,0.124436,0.091308,0.069914,0.06535,0.06215,0.0711,MISSING,0.067946,0.070358,0.12287,0.126002,0.0711,0.067874,0.074425,0.328772,1,1,0.055275,0.053611,0.056925,supervised_mixing,met,0.972569,0.000638,1568,0,10000,results\frozen\I6_external\deit_small_patch16_224\maps_ext_hist.npz,outcome computed by saga.frozen.external.prediction_outcome from the rule registered in configs/frozen/I6_models.yaml; nothing pooled across models or groups
I6_external,analysis/frozen_I6_external.py,202a712d9392527cbf2fe99525a42a1d45d01aca,deit_small_patch16_224,deit_small_patch16_224.fb_in1k,supervised_mixing,yes,DeiT-S/16,1e747b4a8d0df2cfbd3c450e8c97685d867448ab0c2ddbfb34b6885f5cb23e5b,1.0.26,224,224,0,16,14,196,1,12,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",0.9,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,ext_hist,s12_pre_norm,mad,MISSING,10000,13.6824,1.0,0.974822,-0.025053,0.269014,0.020462,0.248551,0.091804,0.02551,0.064145,0.036503,0.026584,0.058965,0.109527,0.074725,0.052511,0.04619,0.042133,0.0518,MISSING,0.058025,0.059904,0.108254,0.110809,0.0518,0.049225,0.054425,0.352219,1,1,0.050562,0.049071,0.052059,supervised_mixing,met,0.974605,0.000638,1568,0,10000,results\frozen\I6_external\deit_small_patch16_224\maps_ext_hist.npz,outcome computed by saga.frozen.external.prediction_outcome from the rule registered in configs/frozen/I6_models.yaml; nothing pooled across models or groups
I6_external,analysis/frozen_I6_external.py,202a712d9392527cbf2fe99525a42a1d45d01aca,deit_small_patch16_224,deit_small_patch16_224.fb_in1k,supervised_mixing,yes,DeiT-S/16,1e747b4a8d0df2cfbd3c450e8c97685d867448ab0c2ddbfb34b6885f5cb23e5b,1.0.26,224,224,0,16,14,196,1,12,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",0.9,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,ext_s11_out,s11_out,fixed_cal,52.646572,10000,17.8387,1.0,0.984281,-0.015625,0.210511,0.017724,0.192786,0.074198,0.02551,0.046833,0.031603,0.02046,0.071625,0.129211,0.097933,0.078468,0.075135,0.0731,0.081575,MISSING,0.07036,0.072885,0.127557,0.130866,0.081575,0.078025,0.0852,0.318706,1,1,0.057586,0.055933,0.059229,supervised_mixing,met,0.967168,0.000638,1568,0,10000,results\frozen\I6_external\deit_small_patch16_224\maps_ext_s11_out.npz,outcome computed by saga.frozen.external.prediction_outcome from the rule registered in configs/frozen/I6_models.yaml; nothing pooled across models or groups
I6_external,analysis/frozen_I6_external.py,202a712d9392527cbf2fe99525a42a1d45d01aca,deit_small_patch16_224,deit_small_patch16_224.fb_in1k,supervised_mixing,yes,DeiT-S/16,1e747b4a8d0df2cfbd3c450e8c97685d867448ab0c2ddbfb34b6885f5cb23e5b,1.0.26,224,224,0,16,14,196,1,12,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",0.9,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,ext_s11_out,s11_out,mad,MISSING,10000,14.0626,0.9998,0.976342,-0.023536,0.259711,0.020165,0.239547,0.08955,0.02551,0.061921,0.035969,0.025536,0.059288,0.111168,0.076731,0.055161,0.04973,0.046658,0.056725,MISSING,0.058344,0.060227,0.1099,0.112471,0.056725,0.053975,0.0595,0.34783,1,1,0.05188,0.050383,0.053409,supervised_mixing,met,0.973225,0.000638,1568,0,10000,results\frozen\I6_external\deit_small_patch16_224\maps_ext_s11_out.npz,outcome computed by saga.frozen.external.prediction_outcome from the rule registered in configs/frozen/I6_models.yaml; nothing pooled across models or groups
I6_external,analysis/frozen_I6_external.py,202a712d9392527cbf2fe99525a42a1d45d01aca,deit3_small_patch16_224,deit3_small_patch16_224.fb_in1k,supervised_mixing,yes,DeiT III-S/16,bd92e16e57f6c81452ab795c9578bbdd2bd31b6df601964d7df697d5dd8fe974,1.0.26,224,224,0,16,14,196,1,12,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",0.9,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,ext_hist,s12_pre_norm,fixed_cal,579.559113,10000,10.742,0.954,0.997236,-0.002602,0.091253,0.023274,0.067979,0.036604,0.02551,0.008648,0.041528,0.001639,0.044923,0.06515,0.0587,0.054386,0.053875,0.051033,0.053375,MISSING,0.043854,0.046021,0.063916,0.06645,0.053375,0.05095,0.05585,0.266859,1,1,0.020227,0.019193,0.021293,supervised_mixing,met,0.841663,0.000638,1568,0,10000,results\frozen\I6_external\deit3_small_patch16_224\maps_ext_hist.npz,outcome computed by saga.frozen.external.prediction_outcome from the rule registered in configs/frozen/I6_models.yaml; nothing pooled across models or groups
I6_external,analysis/frozen_I6_external.py,202a712d9392527cbf2fe99525a42a1d45d01aca,deit3_small_patch16_224,deit3_small_patch16_224.fb_in1k,supervised_mixing,yes,DeiT III-S/16,bd92e16e57f6c81452ab795c9578bbdd2bd31b6df601964d7df697d5dd8fe974,1.0.26,224,224,0,16,14,196,1,12,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",0.9,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,ext_hist,s12_pre_norm,mad,MISSING,10000,13.4138,0.737,0.997793,-0.002079,0.08012,0.020684,0.059436,0.036462,0.02551,0.008778,0.036894,0.001711,0.061265,0.080011,0.069519,0.065239,0.066345,0.065175,0.067275,MISSING,0.059748,0.062756,0.078107,0.081809,0.067275,0.0644,0.0702,0.262454,1,1,0.018746,0.017529,0.019986,supervised_mixing,met,0.775412,0.000638,1568,0,10000,results\frozen\I6_external\deit3_small_patch16_224\maps_ext_hist.npz,outcome computed by saga.frozen.external.prediction_outcome from the rule registered in configs/frozen/I6_models.yaml; nothing pooled across models or groups
I6_external,analysis/frozen_I6_external.py,202a712d9392527cbf2fe99525a42a1d45d01aca,deit3_small_patch16_224,deit3_small_patch16_224.fb_in1k,supervised_mixing,yes,DeiT III-S/16,bd92e16e57f6c81452ab795c9578bbdd2bd31b6df601964d7df697d5dd8fe974,1.0.26,224,224,0,16,14,196,1,12,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",0.9,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,ext_s11_out,s11_out,fixed_cal,440.257599,10000,24.4645,0.9982,0.996985,-0.002949,0.090134,0.014875,0.07526,0.035039,0.02551,0.007975,0.026479,0.004169,0.099377,0.141214,0.127131,0.126779,0.135385,0.139017,0.145275,MISSING,0.098185,0.100562,0.139741,0.142736,0.145275,0.14125,0.149275,0.253976,6,0,0.041837,0.040248,0.043457,supervised_mixing,not met,0.899701,0.000638,1568,0,10000,results\frozen\I6_external\deit3_small_patch16_224\maps_ext_s11_out.npz,outcome computed by saga.frozen.external.prediction_outcome from the rule registered in configs/frozen/I6_models.yaml; nothing pooled across models or groups
I6_external,analysis/frozen_I6_external.py,202a712d9392527cbf2fe99525a42a1d45d01aca,deit3_small_patch16_224,deit3_small_patch16_224.fb_in1k,supervised_mixing,yes,DeiT III-S/16,bd92e16e57f6c81452ab795c9578bbdd2bd31b6df601964d7df697d5dd8fe974,1.0.26,224,224,0,16,14,196,1,12,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",0.9,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,ext_s11_out,s11_out,mad,MISSING,10000,19.4648,0.8868,0.997597,-0.002318,0.081105,0.016919,0.064186,0.035628,0.02551,0.008346,0.030116,0.002674,0.085369,0.1155,0.10095,0.096489,0.09898,0.100375,0.1059,MISSING,0.083933,0.086831,0.113757,0.117246,0.1059,0.102575,0.109325,0.261087,1,1,0.030131,0.028703,0.031603,supervised_mixing,met,0.834452,0.000638,1568,0,10000,results\frozen\I6_external\deit3_small_patch16_224\maps_ext_s11_out.npz,outcome computed by saga.frozen.external.prediction_outcome from the rule registered in configs/frozen/I6_models.yaml; nothing pooled across models or groups
I6_external,analysis/frozen_I6_external.py,202a712d9392527cbf2fe99525a42a1d45d01aca,deit3_base_patch16_224,deit3_base_patch16_224.fb_in1k,supervised_mixing,yes,DeiT III-B/16,9a6f0f93c19c3f6b05836231b9de6b07cc9eca1b002b30c3b5b0b77411687650,1.0.26,224,224,0,16,14,196,1,12,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",0.9,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,ext_hist,s12_pre_norm,fixed_cal,519.465088,10000,26.6747,1.0,0.992007,-0.007933,0.159336,0.01414,0.145196,0.047314,0.02551,0.020326,0.025195,0.0134,0.112954,0.184941,0.150542,0.117089,0.108885,0.109925,0.117225,MISSING,0.111717,0.11419,0.183193,0.186657,0.117225,0.11345,0.121075,0.305061,1,1,0.071987,0.06992,0.073996,supervised_mixing,met,0.980327,0.000638,1568,0,10000,results\frozen\I6_external\deit3_base_patch16_224\maps_ext_hist.npz,outcome computed by saga.frozen.external.prediction_outcome from the rule registered in configs/frozen/I6_models.yaml; nothing pooled across models or groups
I6_external,analysis/frozen_I6_external.py,202a712d9392527cbf2fe99525a42a1d45d01aca,deit3_base_patch16_224,deit3_base_patch16_224.fb_in1k,supervised_mixing,yes,DeiT III-B/16,9a6f0f93c19c3f6b05836231b9de6b07cc9eca1b002b30c3b5b0b77411687650,1.0.26,224,224,0,16,14,196,1,12,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",0.9,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,ext_hist,s12_pre_norm,mad,MISSING,10000,19.9281,0.8786,0.991516,-0.008401,0.166385,0.016691,0.149694,0.048309,0.02551,0.02105,0.029724,0.010437,0.089173,0.139343,0.111517,0.084896,0.07634,0.076,0.082375,MISSING,0.087696,0.090648,0.137316,0.141393,0.082375,0.0792,0.0856,0.307661,1,1,0.05017,0.048401,0.051943,supervised_mixing,met,0.972853,0.000638,1568,0,10000,results\frozen\I6_external\deit3_base_patch16_224\maps_ext_hist.npz,outcome computed by saga.frozen.external.prediction_outcome from the rule registered in configs/frozen/I6_models.yaml; nothing pooled across models or groups
