run_id,arch,recipe_actual,variant,provenance_tag,block,aligned_stage,query_group,basis,n_images,n_images_with_exceedance,mean_n_exceedance_positions,mass_per_exceedance_token,mass_per_other_token,ratio,ratio_ci_lo,ratio_ci_hi,mass_share_exceedance,position_share_exceedance,share_over_position_share,auc,auc_ci_lo,auc_ci_hi,tau_cal_s11_out,endpoint_class
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,10,in_b10,patch,mad,1000,1000,14.684,0.02857612288,0.003237374613,8.826943528,8.617989623,9.042858113,0.3876738941,0.07491836735,5.174617491,0.9297667801,0.9254524252,0.9339822412,18.69854832,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,10,in_b10,patch,tau_cal,1000,1000,17.164,0.02556995295,0.003177851892,8.046301028,7.869659081,8.232838074,0.4064285217,0.08757142857,4.641108731,0.922952204,0.9192033292,0.9266230023,18.69854832,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,10,in_b10,cls,mad,1000,1000,14.684,0.02304616483,0.00279749156,8.238153479,7.905489531,8.577303573,0.371945196,0.07491836735,4.964673006,0.869837874,0.8626006318,0.8768631537,18.69854832,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,10,in_b10,cls,tau_cal,1000,1000,17.164,0.01966955288,0.002764038925,7.116235848,6.880956071,7.35546749,0.3861533253,0.08757142857,4.409581203,0.856698402,0.8505874227,0.8625837704,18.69854832,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,11,s11_out,patch,mad,1000,1000,14.514,0.02524050941,0.002099650737,12.02128952,11.56408841,12.4840853,0.4843400057,0.07405102041,6.540625679,0.9743503422,0.9721407701,0.976440324,18.69854832,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,11,s11_out,patch,tau_cal,1000,1000,17.663,0.02515655764,0.001857094066,13.54619462,13.04652084,14.04125735,0.5521131195,0.09011734694,6.126602017,0.9750863245,0.9724950348,0.9776107158,18.69854832,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,11,s11_out,cls,mad,1000,1000,14.514,0.04534367666,0.001519777023,29.83574298,28.63532073,31.08287242,0.6829873273,0.07405102041,9.223199405,0.9878451576,0.9862173725,0.9892861957,18.69854832,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,11,s11_out,cls,tau_cal,1000,1000,17.663,0.04076969992,0.001328044061,30.6990567,29.34147797,32.12591708,0.7285408508,0.09011734694,8.084357513,0.9804845365,0.9780782635,0.9827772813,18.69854832,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,10,in_b10,patch,mad,1000,1000,17.627,0.02372324434,0.003255461372,7.287214198,7.127916906,7.451978692,0.3935941734,0.08993367347,4.3764939,0.8772973607,0.8714781013,0.8830128734,18.69854832,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,10,in_b10,patch,tau_cal,1000,1000,17.972,0.02372560666,0.003236436026,7.330781908,7.175753937,7.493246663,0.3978531836,0.09169387755,4.338928555,0.8852588757,0.8805660126,0.8900360333,18.69854832,secondary
