layer_range_label,layer_range,base_run_id,arch,recipe_actual,n_neurons,n_images,top1,top1_drop,outlier_count_canon,outlier_count_mad,outlier_reduction_frac,oversmooth_pairwise,layers_touched,passes,is_chosen_operating_point,canon_tau,ckpt_sha256,source_file,git_sha_at_run,endpoint_class
all,"0,12",e2r_vits_mixup_baseline_s1,vit_small,mixup,0,5000,79.14,0,19.7064,18.2568,MISSING,0.4727887954,MISSING,MISSING,0,20.8515625,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,results\ttr\e2r_vits_mixup_baseline_s1\sweep.csv,a6355799dfa0c0e8b8468c60658bd575eb952d6b,descriptive
all,"0,12",e2r_vits_mixup_baseline_s1,vit_small,mixup,9,5000,76.14,3,10.5908,8.665,0.4625705355,0.4546300873,"0,4,5,6,8",False,0,20.8515625,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,results\ttr\e2r_vits_mixup_baseline_s1\sweep.csv,a6355799dfa0c0e8b8468c60658bd575eb952d6b,descriptive
all,"0,12",e2r_vits_mixup_baseline_s1,vit_small,mixup,10,5000,76.2,2.94,5.7316,6.2604,0.7091503268,0.4392173438,"0,4,5,6,8",False,0,20.8515625,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,results\ttr\e2r_vits_mixup_baseline_s1\sweep.csv,a6355799dfa0c0e8b8468c60658bd575eb952d6b,descriptive
all,"0,12",e2r_vits_mixup_baseline_s1,vit_small,mixup,11,5000,76.26,2.88,4.9622,5.8452,0.7481934803,0.4369450183,"0,4,5,6,7,8",False,0,20.8515625,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,results\ttr\e2r_vits_mixup_baseline_s1\sweep.csv,a6355799dfa0c0e8b8468c60658bd575eb952d6b,descriptive
all,"0,12",e2r_vits_mixup_baseline_s1,vit_small,mixup,12,5000,76.24,2.9,4.7218,5.5822,0.7603925628,0.4362911304,"0,4,5,6,7,8,10",False,0,20.8515625,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,results\ttr\e2r_vits_mixup_baseline_s1\sweep.csv,a6355799dfa0c0e8b8468c60658bd575eb952d6b,descriptive
all,"0,12",e2r_vits_mixup_baseline_s1,vit_small,mixup,13,5000,76.22,2.92,5.3926,5.767,0.72635286,0.4400907389,"0,4,5,6,7,8,10",False,0,20.8515625,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,results\ttr\e2r_vits_mixup_baseline_s1\sweep.csv,a6355799dfa0c0e8b8468c60658bd575eb952d6b,descriptive
all,"0,12",e2r_vits_mixup_baseline_s1,vit_small,mixup,14,5000,76.3,2.84,5.1552,5.7162,0.7383997077,0.4384820453,"0,4,5,6,7,8,10",False,0,20.8515625,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,results\ttr\e2r_vits_mixup_baseline_s1\sweep.csv,a6355799dfa0c0e8b8468c60658bd575eb952d6b,descriptive
all,"0,12",e2r_vits_mixup_baseline_s1,vit_small,mixup,15,5000,76.32,2.82,4.62,5.2314,0.7655583973,0.43921895,"0,4,5,6,7,8,10",False,0,20.8515625,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,results\ttr\e2r_vits_mixup_baseline_s1\sweep.csv,a6355799dfa0c0e8b8468c60658bd575eb952d6b,descriptive
midlayer,"3,12",e2r_vitb_mixup_baseline_s1,vit_base,mixup,0,5000,77.1,0,11.4364,9.538,MISSING,0.7334030468,MISSING,MISSING,0,127.3125,316211c719c41113c1f9bffa7f500e158d727c0f0998e41869796209a3fd1339,results\ttr_midlayer\e2r_vitb_mixup_baseline_s1\sweep.csv,fa5601e395925f4ff859af50a0a92deb0b5c7a95,descriptive
midlayer,"3,12",e2r_vitb_mixup_baseline_s1,vit_base,mixup,8,5000,76.56,0.54,7.9914,6.5918,0.3012311567,0.7285342735,"5,6",False,0,127.3125,316211c719c41113c1f9bffa7f500e158d727c0f0998e41869796209a3fd1339,results\ttr_midlayer\e2r_vitb_mixup_baseline_s1\sweep.csv,fa5601e395925f4ff859af50a0a92deb0b5c7a95,descriptive
