stem,path,filename,exp,arch,recipe,variant,seed,sha256_manifest,top_level_keys,epoch,top1,best_top1,last_lr,optimizer_step_count,n_optimizer_state_entries,has_scaler,has_ema,n_model_tensors,model_params_m
e2_vit_base_mixup_saga_rlast_best,/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-B_SAGA/best.pth,best.pth,e2,vit_base,mixup,saga,rlast,bbfbc1d843e819910d68f660bcdb038510b4bf2e4ae8f6428c6a705e7c0e165e,best_top1;epoch;model;optimizer;scaler;top1,89,74.808,74.808,0.000794102116217297,112590,164,True,False,164,86.596
e2_vit_base_mixup_saga_rlast_last,/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-B_SAGA/last.pth,last.pth,e2,vit_base,mixup,saga,rlast,c10af1fd55c4c39b44a0be7adc6527e3b0619c9db6a2dc7072d98d9adc9246f5,best_top1;epoch;model;optimizer;scaler;top1,74,73.888,73.888,0.000853702793785067,93825,164,True,False,164,86.596
e2_vit_base_nomix_saga_rlast_best,/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-B_SAGA_nomix/best.pth,best.pth,e2,vit_base,nomix,saga,rlast,82456589c91ec3757509bd1d48aa6cf1e8dd51235a1138df6b7e1951181c2ba0,best_top1;epoch;model;optimizer;scaler;top1,275,77.968,77.968,1.6693750869384052e-05,345223,164,True,False,164,86.596
e2_vit_base_nomix_saga_rlast_last,/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-B_SAGA_nomix/last.pth,last.pth,e2,vit_base,nomix,saga,rlast,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2,best_top1;epoch;model;optimizer;scaler;top1,299,77.624,77.968,1.0000000175004136e-06,375235,164,True,False,164,86.596
e2_vit_base_mixup_baseline_rlast_best,/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-B_baseline/best.pth,best.pth,e2,vit_base,mixup,baseline,rlast,0abb6e9641925532a35dd912bead44ff8e16ea4f6a3df100de559b8b5430b1ce,best_top1;epoch;model;optimizer;scaler;top1,181,77.008,77.008,0.00033623505863958407,227676,152,True,False,152,86.568
e2_vit_base_mixup_baseline_rlast_last,/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-B_baseline/last.pth,last.pth,e2,vit_base,mixup,baseline,rlast,467daf9dfcfd712534737cf727ff05155b31e4905cd3597da766224526ba70a5,best_top1;epoch;model;optimizer;scaler;top1,199,76.584,77.008,0.0002507536210830206,250186,152,True,False,152,86.568
e2_vit_base_nomix_baseline_rlast_best,/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-B_baseline_nomix/best.pth,best.pth,e2,vit_base,nomix,baseline,rlast,df97d3215d477450fdc5c747eb8ee85a963e939f7c424ce24eca431a1e4fc3e6,best_top1;epoch;model;optimizer;scaler;top1,279,77.384,77.384,1.1916142782671873e-05,350226,152,True,False,152,86.568
e2_vit_base_nomix_baseline_rlast_last,/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-B_baseline_nomix/last.pth,last.pth,e2,vit_base,nomix,baseline,rlast,2a7f8c84dc32571e95dc3745422b4960f9dd602433cd42f1e16891b6c491cac5,best_top1;epoch;model;optimizer;scaler;top1,299,77.384,77.384,1.0000000175004136e-06,375236,152,True,False,152,86.568
e2_vit_base_mixup_registers_rlast_best,/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-B_registers/best.pth,best.pth,e2,vit_base,mixup,registers,rlast,c30f813dcb23c20b7182af0d9493ee71250e91098624e815caf6046098f2e698,best_top1;epoch;model;optimizer;scaler;top1,246,76.576,76.576,7.598080320523239e-05,308962,153,True,False,153,86.574
e2_vit_base_mixup_registers_rlast_last,/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-B_registers/last.pth,last.pth,e2,vit_base,mixup,registers,rlast,3e13c788fff6812a17ec0c04a2f1505a2e3af2a9c2db9d6afe9319084cdc1e53,best_top1;epoch;model;optimizer;scaler;top1,249,76.272,76.576,6.792240145303353e-05,312713,153,True,False,153,86.574
