epoch,lr,train_loss,val_top1_full,val_top5_full,val_loss,img_per_sec,wall_time
0,5.091e-05,6.7898,2.78,9.1,6.2607,5103.7,251.0
1,0.00010086,6.5007,5.958,16.842,5.7342,5387.7,237.8
2,0.00015081,6.341,9.014,22.858,5.3506,5339.9,239.9
3,0.00020076,6.211,12.23,28.532,5.0314,5386.5,237.8
4,0.00025071,6.0774,16.226,35.486,4.632,5429.9,235.9
5,0.00030066,5.894,20.986,42.614,4.238,5354.6,239.2
6,0.00035061,5.7158,26.136,49.366,3.8765,5394.8,237.5
7,0.00040056,5.5485,31.402,55.844,3.5018,5445.4,235.2
8,0.00045051,5.414,34.9,59.776,3.2703,5392.5,237.6
9,0.00050046,5.2765,37.546,62.928,3.0738,5418.4,236.4
10,0.00055041,5.1866,39.854,65.262,2.9572,5429.2,235.9
11,0.00060036,5.1066,42.292,67.55,2.8032,5408.0,236.9
12,0.00065031,5.0102,44.066,69.286,2.6874,5414.4,236.6
13,0.00070026,4.9139,45.948,71.318,2.5723,5451.2,235.0
14,0.00075021,4.8567,47.58,72.502,2.5123,5357.5,239.1
15,0.00080016,4.7994,49.038,74.294,2.3992,5316.3,241.0
16,0.00085011,4.7491,50.586,75.314,2.3238,5395.1,237.4
17,0.00090006,4.6925,51.51,76.356,2.2553,5366.8,238.7
18,0.00095001,4.6252,52.176,76.99,2.2373,5397.3,237.3
19,0.00099996,4.6079,53.574,77.99,2.1441,5380.2,238.1
20,0.00089519,4.4775,55.468,79.27,2.0588,5371.9,238.5
21,0.00088538,4.4656,55.944,80.01,2.033,5350.2,239.4
22,0.00087519,4.3998,57.704,80.792,1.9546,5062.3,253.1
23,0.00086463,4.354,58.448,81.746,1.9055,5321.3,240.7
24,0.00085371,4.3383,59.25,82.082,1.8748,5436.8,235.6
25,0.00084244,4.2933,59.764,82.654,1.8526,5427.4,236.0
26,0.00083083,4.2529,60.308,83.16,1.8144,5393.6,237.5
27,0.0008189,4.2007,60.832,83.648,1.7742,5394.9,237.4
28,0.00080666,4.1619,61.89,84.13,1.7285,5371.9,238.5
29,0.00079411,4.1298,62.364,84.43,1.7403,5341.9,239.8
30,0.00078127,4.098,62.69,84.81,1.7293,5325.3,240.6
31,0.00076816,4.0864,63.466,85.266,1.6438,5379.6,238.1
32,0.00075478,4.0618,63.918,85.612,1.6392,5327.0,240.5
33,0.00074115,4.0182,64.178,85.85,1.6164,5424.2,236.2
34,0.00072728,3.995,64.512,86.044,1.5971,5284.8,242.4
35,0.00071319,3.9915,65.212,86.436,1.5571,4908.2,261.0
36,0.00069889,3.9544,65.18,86.512,1.5703,5464.4,234.4
37,0.00068439,3.9459,65.938,86.926,1.5424,5380.4,238.1
38,0.00066971,3.9309,66.604,87.48,1.4888,5331.4,240.3
39,0.00065487,3.9065,66.464,87.418,1.5122,5335.2,240.1
40,0.00063987,3.8835,67.23,87.938,1.4694,5298.7,241.8
41,0.00062473,3.8725,67.49,87.972,1.4695,5441.0,235.4
42,0.00060947,3.8098,67.86,88.252,1.435,5423.8,236.2
43,0.00059411,3.7934,67.706,88.316,1.4499,5433.2,235.8
44,0.00057865,3.7865,68.526,88.682,1.3988,5327.0,240.5
45,0.00056312,3.7653,68.684,88.654,1.4253,5164.4,248.1
46,0.00054752,3.7473,68.708,88.804,1.3922,5358.7,239.1
47,0.00053188,3.7296,69.158,88.932,1.3935,5284.0,242.4
48,0.0005162,3.7219,69.34,89.274,1.3617,5003.4,256.0
49,0.00050051,3.6785,69.756,89.508,1.3482,5108.2,250.8
50,0.00048482,3.6976,69.75,89.4,1.355,5331.1,240.3
51,0.00046915,3.6556,70.516,89.658,1.3192,5267.0,243.2
52,0.00045351,3.676,70.316,89.804,1.3274,5365.1,238.8
53,0.00043791,3.6102,70.69,90.118,1.2908,5329.1,240.4
54,0.00042237,3.6366,71.012,90.102,1.2855,5399.6,237.2
55,0.00040692,3.5778,71.12,90.212,1.2934,5388.7,237.7
56,0.00039155,3.5887,71.406,90.576,1.2762,5427.5,236.0
57,0.00037629,3.5402,71.772,90.656,1.2766,5311.6,241.2
58,0.00036116,3.5549,71.914,90.634,1.2594,5256.5,243.7
59,0.00034616,3.5467,71.872,90.688,1.2458,5271.9,243.0
60,0.00033131,3.5326,72.418,90.916,1.2312,5240.2,244.5
61,0.00031663,3.5147,72.33,90.91,1.2522,5341.8,239.8
62,0.00030214,3.4739,72.59,91.044,1.2332,5252.2,243.9
63,0.00028783,3.4612,72.672,91.14,1.2037,5459.8,234.6
64,0.00027374,3.463,73.1,91.364,1.2021,5320.4,240.8
65,0.00025988,3.4561,73.106,91.402,1.1875,5489.4,233.4
66,0.00024624,3.4479,73.22,91.392,1.1994,5425.0,236.1
67,0.00023287,3.4271,73.588,91.618,1.1737,5380.6,238.1
68,0.00021975,3.3923,73.638,91.556,1.1751,5402.9,237.1
69,0.00020691,3.3741,73.844,91.706,1.1715,5473.2,234.1
70,0.00019436,3.3749,74.116,91.76,1.1495,5454.2,234.9
71,0.00018212,3.3381,74.3,91.878,1.1471,5446.9,235.2
72,0.00017018,3.3352,74.134,91.992,1.1617,5478.2,233.8
73,0.00015858,3.2833,74.546,91.966,1.1394,5366.3,238.7
74,0.00014731,3.3113,74.944,92.264,1.1244,5365.0,238.8
75,0.00013639,3.3147,74.624,92.408,1.1196,5307.6,241.4
76,0.00012583,3.2728,75.032,92.374,1.1198,5328.4,240.4
77,0.00011564,3.2948,75.064,92.406,1.13,5325.6,240.5
78,0.00010583,3.2583,75.372,92.57,1.0903,5352.2,239.3
79,9.64e-05,3.2543,75.382,92.45,1.1073,5436.8,235.6
80,8.738e-05,3.2257,75.59,92.578,1.0926,5400.1,237.2
81,7.876e-05,3.2177,75.61,92.676,1.0879,5347.3,239.6
82,7.057e-05,3.2133,75.722,92.812,1.0833,5335.8,240.1
83,6.279e-05,3.1869,76.006,92.828,1.084,5401.0,237.2
84,5.545e-05,3.2068,75.872,92.742,1.084,5407.7,236.9
85,4.854e-05,3.1741,76.128,92.94,1.0658,5341.4,239.8
86,4.209e-05,3.1824,75.97,92.87,1.0797,5418.2,236.4
87,3.608e-05,3.1544,76.12,92.992,1.065,5490.6,233.3
88,3.053e-05,3.1608,76.282,92.986,1.0685,5488.8,233.4
89,2.545e-05,3.1459,76.266,93.024,1.0684,5472.9,234.1
90,2.084e-05,3.1331,76.208,93.082,1.0651,5509.8,232.5
91,1.67e-05,3.1727,76.378,93.104,1.0511,5431.3,235.9
92,1.303e-05,3.1453,76.44,93.098,1.0554,5507.9,232.6
93,9.85e-06,3.1608,76.506,93.178,1.0525,5527.8,231.7
94,7.15e-06,3.1295,76.55,93.176,1.0523,5522.7,232.0
95,4.94e-06,3.1309,76.542,93.198,1.0513,5514.6,232.3
96,3.22e-06,3.1448,76.554,93.192,1.0514,5277.5,242.7
97,1.99e-06,3.1214,76.55,93.224,1.0512,5411.6,236.7
98,1.25e-06,3.1206,76.514,93.224,1.0517,5543.5,231.1
99,1e-06,3.128,76.546,93.214,1.0513,5502.3,232.8
