epoch,lr,train_loss,val_top1_full,val_top5_full,val_loss,img_per_sec,wall_time
0,5.091e-05,6.7879,2.838,9.218,6.2548,5141.1,249.2
1,0.00010086,6.4953,6.092,16.824,5.7184,5151.4,248.7
2,0.00015081,6.334,9.012,22.904,5.3471,5217.9,245.5
3,0.00020076,6.1975,12.502,29.154,5.0046,5182.4,247.2
4,0.00025071,6.0606,16.972,36.394,4.5822,5215.2,245.6
5,0.00030066,5.8825,20.954,42.734,4.229,5218.5,245.5
6,0.00035061,5.7159,26.182,49.418,3.8781,5281.3,242.6
7,0.00040056,5.5562,31.198,55.46,3.5224,5287.3,242.3
8,0.00045051,5.4292,34.174,59.038,3.3054,5343.1,239.8
9,0.00050046,5.2939,37.448,62.67,3.0941,5353.9,239.3
10,0.00055041,5.2062,38.952,64.476,2.9993,5435.4,235.7
11,0.00060036,5.1303,41.896,67.112,2.8339,5399.8,237.2
12,0.00065031,5.0363,43.506,68.508,2.7275,5256.3,243.7
13,0.00070026,4.9426,45.734,70.994,2.5959,5247.6,244.1
14,0.00075021,4.8861,47.632,72.62,2.5175,5240.6,244.4
15,0.00080016,4.8323,48.214,73.338,2.4606,5254.7,243.8
16,0.00085011,4.784,49.702,74.426,2.3682,5261.9,243.5
17,0.00090006,4.7294,50.566,75.306,2.308,5354.1,239.3
18,0.00095001,4.6659,51.326,76.074,2.2807,5359.6,239.0
19,0.00099996,4.6523,52.684,77.198,2.1904,5364.1,238.8
20,0.00089519,4.5254,54.196,78.266,2.1277,5401.6,237.2
21,0.00088538,4.5161,55.264,79.148,2.0672,5235.8,244.7
22,0.00087519,4.4493,56.502,80.13,2.014,5402.9,237.1
23,0.00086463,4.4037,57.432,81.16,1.9564,5358.3,239.1
24,0.00085371,4.3886,58.296,81.738,1.9121,5416.2,236.5
25,0.00084244,4.3428,58.83,82.016,1.8995,5383.3,238.0
26,0.00083083,4.2995,59.48,82.66,1.8596,5322.7,240.7
27,0.0008189,4.2506,59.634,82.454,1.864,5342.0,239.8
28,0.00080666,4.206,61.082,83.418,1.7624,5365.4,238.8
29,0.00079411,4.1751,61.318,83.846,1.7764,5364.9,238.8
30,0.00078127,4.1413,62.072,84.41,1.7507,5359.4,239.0
31,0.00076816,4.1319,62.27,84.512,1.7063,5437.5,235.6
32,0.00075478,4.1047,62.808,84.924,1.6957,5436.0,235.7
33,0.00074115,4.0632,63.372,85.468,1.6408,5389.3,237.7
34,0.00072728,4.043,63.656,85.52,1.6462,5427.9,236.0
35,0.00071319,4.0412,64.318,85.944,1.6227,5437.4,235.6
36,0.00069889,4.0052,64.336,85.854,1.6165,5408.5,236.9
37,0.00068439,3.9933,65.202,86.514,1.5614,5375.8,238.3
38,0.00066971,3.9765,65.508,86.776,1.5521,5285.0,242.4
39,0.00065487,3.9484,66.016,87.036,1.5398,5220.3,245.4
40,0.00063987,3.9228,66.472,87.32,1.5033,5291.1,242.1
41,0.00062473,3.9116,66.622,87.466,1.5192,5262.9,243.4
42,0.00060947,3.8469,66.768,87.582,1.4997,5364.5,238.8
43,0.00059411,3.8296,67.244,88.054,1.465,5252.0,243.9
44,0.00057865,3.8228,67.77,88.338,1.448,5390.6,237.6
45,0.00056312,3.8002,68.124,88.304,1.4318,5450.3,235.0
46,0.00054752,3.7815,68.088,88.506,1.4205,5458.7,234.7
47,0.00053188,3.7625,68.678,88.74,1.4143,5445.0,235.3
48,0.0005162,3.7526,68.848,88.808,1.392,5431.0,235.9
49,0.00050051,3.7108,69.312,89.322,1.3615,5461.6,234.6
50,0.00048482,3.7262,69.572,89.278,1.3602,5471.7,234.1
51,0.00046915,3.6856,69.8,89.362,1.3497,5443.3,235.3
52,0.00045351,3.7056,69.77,89.494,1.3671,5454.4,234.9
53,0.00043791,3.6383,70.202,89.754,1.3215,5424.2,236.2
54,0.00042237,3.6636,70.426,89.78,1.3213,5439.0,235.5
55,0.00040692,3.6044,70.684,89.986,1.3182,5407.9,236.9
56,0.00039155,3.614,70.818,90.162,1.2981,5354.2,239.3
57,0.00037629,3.5661,71.128,90.172,1.3085,5398.3,237.3
58,0.00036116,3.5782,71.184,90.32,1.2855,5432.0,235.8
59,0.00034616,3.5701,71.4,90.446,1.2674,5476.1,233.9
60,0.00033131,3.5561,71.792,90.662,1.2566,5445.9,235.2
61,0.00031663,3.5399,71.946,90.764,1.2596,5453.5,234.9
62,0.00030214,3.4985,71.966,90.8,1.2535,5463.1,234.5
63,0.00028783,3.4844,72.368,91.008,1.2205,5484.3,233.6
64,0.00027374,3.4831,72.478,91.164,1.2267,5405.8,237.0
65,0.00025988,3.4788,72.786,91.174,1.2081,5426.2,236.1
66,0.00024624,3.4707,72.878,91.216,1.2079,5451.6,235.0
67,0.00023287,3.4505,73.038,91.392,1.197,5473.7,234.0
68,0.00021975,3.4137,72.898,91.344,1.2003,5460.4,234.6
69,0.00020691,3.397,73.248,91.59,1.2,5471.2,234.1
70,0.00019436,3.3951,73.594,91.62,1.1789,5466.6,234.3
71,0.00018212,3.3593,74.032,91.876,1.1505,5460.7,234.6
72,0.00017018,3.3549,73.982,91.81,1.1827,5486.2,233.5
73,0.00015858,3.3041,73.996,92.024,1.1513,5474.8,234.0
