epoch,lr,train_loss,val_top1_full,val_top5_full,val_loss,img_per_sec,wall_time
0,5.091e-05,6.7879,2.85,9.194,6.2547,5187.6,246.9
1,0.00010086,6.4954,6.104,16.818,5.7184,5531.0,231.6
2,0.00015081,6.3345,8.982,22.73,5.3468,5566.5,230.1
3,0.00020076,6.1976,12.63,29.26,5.0057,5497.0,233.0
4,0.00025071,6.0611,16.888,36.376,4.581,5507.5,232.6
5,0.00030066,5.881,20.902,42.808,4.2245,5524.2,231.9
6,0.00035061,5.7152,26.152,49.288,3.895,5523.0,231.9
7,0.00040056,5.5517,31.188,55.122,3.533,5532.6,231.5
8,0.00045051,5.424,34.322,59.364,3.2911,5519.9,232.1
9,0.00050046,5.29,37.366,62.65,3.0915,5518.3,232.1
10,0.00055041,5.2027,39.538,64.894,2.9732,5509.3,232.5
11,0.00060036,5.1273,42.026,67.29,2.8195,5511.8,232.4
12,0.00065031,5.0313,43.57,68.74,2.7234,5517.1,232.2
13,0.00070026,4.9401,45.392,70.812,2.6184,5516.4,232.2
14,0.00075021,4.8848,47.21,72.17,2.5464,5514.9,232.3
15,0.00080016,4.8327,48.314,73.416,2.4635,5522.4,232.0
16,0.00085011,4.7819,49.528,74.528,2.3645,5509.4,232.5
17,0.00090006,4.7291,50.288,75.26,2.3255,5542.9,231.1
18,0.00095001,4.6639,51.362,76.354,2.2563,5528.2,231.7
19,0.00099996,4.6496,52.228,77.06,2.2171,5515.4,232.3
20,0.00089519,4.5219,54.772,78.722,2.1,5501.8,232.8
21,0.00088538,4.5121,55.466,79.326,2.0599,5482.2,233.7
22,0.00087519,4.445,56.456,79.986,2.029,5514.1,232.3
23,0.00086463,4.3974,57.472,81.116,1.9658,5511.4,232.4
24,0.00085371,4.382,58.352,81.716,1.9215,5496.3,233.1
25,0.00084244,4.3368,59.108,82.162,1.8868,5463.3,234.5
26,0.00083083,4.2931,59.498,82.474,1.8482,5448.8,235.1
27,0.0008189,4.2413,60.044,82.926,1.8278,5510.6,232.5
28,0.00080666,4.198,61.142,83.502,1.7691,5463.6,234.5
29,0.00079411,4.1658,61.404,83.834,1.777,5498.5,233.0
30,0.00078127,4.1297,61.88,84.142,1.7516,5504.1,232.7
31,0.00076816,4.1208,62.54,84.744,1.6823,5533.7,231.5
