epoch,lr,train_loss,val_top1_full,val_top5_full,val_loss,img_per_sec,wall_time
0,5.091e-05,6.8564,1.144,4.498,6.5053,5113.0,250.5
1,0.00010086,6.6068,4.358,12.912,5.9395,5526.5,231.8
2,0.00015081,6.4288,7.152,19.128,5.5688,5514.0,232.3
3,0.00020076,6.2963,10.266,25.168,5.1942,5454.8,234.8
4,0.00025071,6.1711,14.202,31.714,4.837,5517.3,232.2
5,0.00030066,6.0151,18.094,37.654,4.5047,5499.7,232.9
6,0.00035061,5.8672,21.154,42.552,4.2193,5521.8,232.0
7,0.00040056,5.7106,26.008,49.334,3.8536,5515.5,232.3
8,0.00045051,5.5801,29.456,53.676,3.5949,5516.5,232.2
9,0.00050046,5.4464,32.648,57.612,3.3691,5508.6,232.6
10,0.00055041,5.3524,34.758,60.012,3.253,5473.1,234.1
11,0.00060036,5.2718,37.734,62.78,3.0737,5473.9,234.0
12,0.00065031,5.1754,39.536,64.81,2.9546,5513.4,232.3
13,0.00070026,5.0762,41.658,66.856,2.8271,5542.6,231.1
14,0.00075021,5.0138,43.392,68.938,2.744,5519.7,232.1
15,0.00080016,4.956,44.972,70.278,2.6419,5550.5,230.8
16,0.00085011,4.9026,46.324,71.594,2.5327,5512.2,232.4
17,0.00090006,4.8431,47.946,72.92,2.4637,5523.6,231.9
18,0.00095001,4.7709,48.47,73.86,2.4116,5501.6,232.8
19,0.00099996,4.749,49.492,74.526,2.3672,5504.9,232.7
20,0.00089519,4.617,51.912,76.788,2.2275,5481.8,233.7
21,0.00088538,4.6037,52.748,77.576,2.1875,5497.5,233.0
22,0.00087519,4.5329,54.632,78.45,2.1373,5524.8,231.9
23,0.00086463,4.4819,55.418,79.69,2.0587,5517.2,232.2
24,0.00085371,4.4606,56.212,80.11,2.0226,5541.0,231.2
25,0.00084244,4.4107,57.04,80.584,1.9916,5529.4,231.7
26,0.00083083,4.3639,57.93,81.408,1.9438,5540.9,231.2
27,0.0008189,4.309,58.544,82.014,1.8924,5412.4,236.7
28,0.00080666,4.2641,59.646,82.738,1.8289,5507.4,232.6
29,0.00079411,4.2278,59.824,82.824,1.8527,5463.3,234.5
30,0.00078127,4.1908,60.738,83.574,1.8033,5457.2,234.7
31,0.00076816,4.1792,61.254,83.83,1.7589,5526.3,231.8
32,0.00075478,4.1504,61.938,84.496,1.7288,5515.0,232.3
33,0.00074115,4.1068,62.478,84.57,1.6974,5473.6,234.0
34,0.00072728,4.0847,62.264,84.774,1.7032,5508.6,232.5
35,0.00071319,4.0779,63.142,85.34,1.6687,5484.5,233.6
36,0.00069889,4.0384,63.432,85.424,1.658,5493.7,233.2
37,0.00068439,4.026,64.272,85.894,1.605,5396.6,237.4
38,0.00066971,4.0075,64.758,86.314,1.5897,5483.0,233.6
39,0.00065487,3.9814,65.042,86.414,1.5869,5466.6,234.3
40,0.00063987,3.953,65.504,86.758,1.5548,5485.2,233.5
41,0.00062473,3.9431,65.7,86.966,1.5435,5482.3,233.7
42,0.00060947,3.8774,66.108,87.226,1.5145,5542.4,231.1
43,0.00059411,3.8602,66.762,87.61,1.4898,5487.2,233.5
44,0.00057865,3.8517,66.816,87.75,1.4845,5507.4,232.6
45,0.00056312,3.8284,67.226,87.904,1.4694,5501.9,232.8
46,0.00054752,3.8109,67.428,88.144,1.4348,5504.7,232.7
47,0.00053188,3.789,67.852,88.408,1.4524,5453.6,234.9
48,0.0005162,3.7804,68.218,88.56,1.4033,5484.7,233.6
49,0.00050051,3.7367,68.47,88.792,1.3915,5501.1,232.9
50,0.00048482,3.7535,68.764,88.914,1.3808,5503.9,232.7
51,0.00046915,3.71,69.404,89.112,1.3812,5475.1,234.0
52,0.00045351,3.7289,69.358,89.152,1.3836,5507.6,232.6
53,0.00043791,3.665,69.586,89.518,1.3464,5452.7,234.9
54,0.00042237,3.6864,69.806,89.734,1.3317,5491.4,233.3
55,0.00040692,3.6285,69.908,89.718,1.3263,5481.2,233.7
56,0.00039155,3.6371,70.352,89.836,1.3282,5477.7,233.9
57,0.00037629,3.5902,70.622,89.958,1.3221,5530.6,231.6
58,0.00036116,3.6,71.03,89.99,1.3109,5502.9,232.8
59,0.00034616,3.5909,70.914,90.198,1.2935,5447.5,235.2
60,0.00033131,3.5772,71.36,90.41,1.2733,5503.0,232.8
61,0.00031663,3.5611,71.346,90.4,1.2892,5482.4,233.7
62,0.00030214,3.5202,71.682,90.602,1.2667,5499.3,232.9
63,0.00028783,3.5012,72.046,90.924,1.2321,5487.1,233.5
64,0.00027374,3.5037,72.17,90.836,1.2365,5514.6,232.3
65,0.00025988,3.4979,72.372,91.05,1.2269,5520.7,232.0
66,0.00024624,3.4873,72.566,91.104,1.2294,5501.0,232.9
67,0.00023287,3.467,72.658,91.066,1.2266,5516.2,232.2
68,0.00021975,3.4318,72.924,91.204,1.2285,5537.8,231.3
69,0.00020691,3.415,73.154,91.28,1.2165,5511.6,232.4
70,0.00019436,3.413,73.22,91.416,1.1852,5535.0,231.4
71,0.00018212,3.3761,73.588,91.514,1.1779,5509.6,232.5
72,0.00017018,3.3723,73.47,91.518,1.2028,5489.9,233.3
73,0.00015858,3.3211,73.852,91.9,1.1578,5513.0,232.4
74,0.00014731,3.3489,74.084,91.842,1.1524,5514.8,232.3
