epoch,lr,train_loss,val_top1_full,val_top5_full,val_loss,img_per_sec,wall_time
0,5.091e-05,6.7879,2.856,9.206,6.2548,5200.7,246.3
1,0.00010086,6.4954,6.104,16.822,5.7187,5365.4,238.8
2,0.00015081,6.3348,8.946,22.742,5.3475,5387.1,237.8
3,0.00020076,6.198,12.718,29.466,5.0011,5356.2,239.2
4,0.00025071,6.0623,16.962,36.26,4.5937,5323.2,240.7
5,0.00030066,5.8822,21.166,42.858,4.2175,5360.4,239.0
6,0.00035061,5.7149,26.054,49.458,3.8734,5273.6,242.9
7,0.00040056,5.5537,31.132,55.302,3.5321,5374.1,238.4
8,0.00045051,5.4269,34.306,59.146,3.2993,5362.5,238.9
9,0.00050046,5.2936,37.332,62.49,3.1069,5488.0,233.4
10,0.00055041,5.2069,39.588,64.644,2.9864,5474.4,234.0
11,0.00060036,5.1282,41.896,67.0,2.8433,5490.8,233.3
12,0.00065031,5.0339,43.804,68.782,2.7127,5463.1,234.5
13,0.00070026,4.9408,45.754,70.988,2.5917,5438.8,235.5
14,0.00075021,4.885,46.876,72.144,2.548,5398.5,237.3
15,0.00080016,4.8307,48.274,73.29,2.461,5440.8,235.4
16,0.00085011,4.7814,49.508,74.618,2.3474,5430.5,235.9
17,0.00090006,4.7284,50.542,75.52,2.2964,5402.8,237.1
18,0.00095001,4.6608,51.428,76.248,2.2642,5416.7,236.5
19,0.00099996,4.647,52.276,76.932,2.2158,5379.4,238.1
20,0.00089519,4.5198,54.506,78.728,2.104,5409.1,236.8
21,0.00088538,4.5075,55.114,79.304,2.0694,5371.6,238.5
22,0.00087519,4.442,56.396,80.104,2.0335,5397.3,237.3
23,0.00086463,4.3967,57.802,81.104,1.9689,5419.0,236.4
24,0.00085371,4.3808,58.542,81.912,1.8986,5412.8,236.7
25,0.00084244,4.3338,59.03,82.174,1.8793,5400.5,237.2
26,0.00083083,4.2901,59.784,82.656,1.8336,5411.0,236.7
27,0.0008189,4.2392,60.194,82.958,1.8218,5415.8,236.5
28,0.00080666,4.1975,61.668,83.982,1.7335,5384.7,237.9
29,0.00079411,4.1662,61.326,83.774,1.7707,5422.5,236.2
30,0.00078127,4.129,62.45,84.604,1.723,5405.4,237.0
