epoch,iter,layer,grad_phi_norm
0,0,0,2.4568494154664222e-06
0,0,1,1.3133353604644071e-06
0,0,2,1.664873366280517e-06
0,0,3,7.538803288298368e-07
0,0,4,7.850489396332705e-07
0,0,5,6.443442543968558e-07
0,0,6,8.904281685317983e-07
0,0,7,5.770581310571288e-07
0,0,8,6.177857585498714e-07
0,0,9,2.692084990485455e-07
0,0,10,1.893990031476278e-07
0,0,11,0.0
0,100,0,2.3805603177606827e-06
0,100,1,1.4453956964644021e-06
0,100,2,1.1166724789291038e-06
0,100,3,9.158865736935695e-07
0,100,4,7.367118541878881e-07
0,100,5,5.031967589275155e-07
0,100,6,4.4143843069832656e-07
0,100,7,7.544269919890212e-07
0,100,8,4.906049753117259e-07
0,100,9,5.046651381235279e-07
0,100,10,2.616579308778455e-07
0,100,11,0.0
0,200,0,2.560491793701658e-06
0,200,1,1.4271156487666303e-06
0,200,2,1.2408320344547974e-06
0,200,3,5.272299858916085e-07
0,200,4,4.861631737185235e-07
0,200,5,7.432278721353214e-07
0,200,6,5.005508114663826e-07
0,200,7,6.608001967833843e-07
0,200,8,5.453754852169368e-07
0,200,9,3.705423807787156e-07
0,200,10,1.831528493312362e-07
0,200,11,0.0
0,300,0,3.7002616863901494e-06
0,300,1,1.2561173434733064e-06
0,300,2,1.2358567573755863e-06
0,300,3,7.346460506596486e-07
0,300,4,3.8493689658025687e-07
0,300,5,6.092761850595707e-07
0,300,6,8.17105842543242e-07
0,300,7,7.548838993898244e-07
0,300,8,3.7590194779113517e-07
0,300,9,2.1717734455251048e-07
0,300,10,2.361036308684561e-07
0,300,11,0.0
0,400,0,1.7079794361052336e-06
0,400,1,6.851114449091256e-07
0,400,2,8.392913741772645e-07
0,400,3,8.174880008482432e-07
0,400,4,7.576186931146367e-07
0,400,5,6.31916748261574e-07
0,400,6,7.698677677581145e-07
0,400,7,6.733942541359283e-07
0,400,8,4.4963709910916805e-07
0,400,9,1.5339422532179015e-07
0,400,10,1.2320872144755413e-07
0,400,11,0.0
0,500,0,2.8081205982743995e-06
0,500,1,1.4095852520767949e-06
0,500,2,7.443650247296318e-07
0,500,3,6.066262017156987e-07
0,500,4,6.710952789035218e-07
0,500,5,5.501717623701552e-07
0,500,6,3.888840183208231e-07
0,500,7,2.1587149490187585e-07
0,500,8,2.3003460114523477e-07
0,500,9,2.2386004161489836e-07
0,500,10,2.3214136035676347e-07
0,500,11,0.0
0,600,0,1.8896927258538199e-06
0,600,1,1.0073081284645014e-06
0,600,2,1.1944782727368874e-06
0,600,3,5.765767241427966e-07
0,600,4,4.674394062931242e-07
0,600,5,5.119950401422102e-07
0,600,6,3.8041289940338174e-07
0,600,7,4.193067582036747e-07
0,600,8,5.165372840565396e-07
0,600,9,2.6363107963334187e-07
0,600,10,2.6306793188268784e-07
0,600,11,0.0
0,700,0,2.010168373089982e-06
0,700,1,1.8125921315004234e-06
0,700,2,7.400166737170366e-07
0,700,3,8.4449845871859e-07
0,700,4,5.246916430223791e-07
0,700,5,4.65108030311967e-07
0,700,6,3.991029018379777e-07
0,700,7,6.078026899558608e-07
0,700,8,3.886882780079759e-07
0,700,9,2.5362072619827813e-07
0,700,10,1.589304474691744e-07
0,700,11,0.0
0,800,0,3.3820667795225745e-06
0,800,1,1.2410116596583975e-06
0,800,2,1.2433274605427869e-06
0,800,3,8.538053180018323e-07
0,800,4,5.60877538191562e-07
0,800,5,5.356430392566836e-07
0,800,6,6.829703238508955e-07
0,800,7,2.8342344648990547e-07
0,800,8,4.165904385899921e-07
0,800,9,1.4390636238204024e-07
0,800,10,1.608289323939971e-07
0,800,11,0.0
0,900,0,3.971071691921679e-06
0,900,1,2.8244717213965487e-06
0,900,2,1.535959654574981e-06
0,900,3,8.493719860780402e-07
0,900,4,1.1049529575757333e-06
0,900,5,5.033953698330151e-07
0,900,6,4.4973944568482693e-07
0,900,7,3.022002772468113e-07
0,900,8,3.4034871987387305e-07
0,900,9,1.7618532410779153e-07
0,900,10,8.533617545936067e-08
0,900,11,0.0
0,1000,0,3.303464609416551e-06
0,1000,1,2.50394077738747e-06
0,1000,2,2.111320100084413e-06
0,1000,3,1.0077684464704362e-06
0,1000,4,6.923289674887201e-07
0,1000,5,4.2265500610483286e-07
0,1000,6,2.9503766540983634e-07
0,1000,7,2.4860040070961986e-07
0,1000,8,7.873256890889024e-08
0,1000,9,1.549430663772e-07
0,1000,10,5.7089369676077695e-08
0,1000,11,0.0
0,1100,0,2.7172377485840116e-06
0,1100,1,1.125374183175154e-06
0,1100,2,8.003881362128595e-07
0,1100,3,6.608409535147075e-07
0,1100,4,5.933149509473878e-07
0,1100,5,2.9454477612489427e-07
0,1100,6,2.594611316908413e-07
0,1100,7,2.37560158211636e-07
0,1100,8,1.631179884498124e-07
0,1100,9,1.7317816514150763e-07
0,1100,10,8.969364984068307e-08
0,1100,11,0.0
0,1200,0,3.838076736428775e-06
0,1200,1,1.7481332861279952e-06
0,1200,2,1.2017740118608344e-06
0,1200,3,6.048431373528729e-07
0,1200,4,2.6005318431998603e-07
0,1200,5,4.1485901647320134e-07
0,1200,6,1.9743907841984765e-07
0,1200,7,2.561395149314194e-07
0,1200,8,2.2661106413579546e-07
0,1200,9,1.5160182442741643e-07
0,1200,10,6.955058040603035e-08
0,1200,11,0.0
1,0,0,3.23178915095923e-06
1,0,1,3.607800181271159e-06
1,0,2,1.955662582986406e-06
1,0,3,1.137862113864685e-06
1,0,4,7.487309403586551e-07
1,0,5,4.664181290081615e-07
1,0,6,3.4498540912863973e-07
1,0,7,2.418310600660334e-07
1,0,8,1.9801699124855077e-07
1,0,9,1.293101519195261e-07
1,0,10,5.5630607675993815e-08
1,0,11,0.0
1,100,0,2.7584287636273075e-06
1,100,1,3.10955897475651e-06
1,100,2,1.8831086663340102e-06
1,100,3,7.315921379813517e-07
1,100,4,6.693112482025754e-07
1,100,5,4.471053216548171e-07
1,100,6,1.7368958538099832e-07
1,100,7,1.7225340798177058e-07
1,100,8,9.753834007142359e-08
1,100,9,9.127601430236609e-08
1,100,10,7.624633013847415e-08
1,100,11,0.0
1,200,0,3.213322543160757e-06
1,200,1,1.8596048221297679e-06
1,200,2,1.0391662499387166e-06
1,200,3,3.666977477223554e-07
1,200,4,3.112693320872495e-07
1,200,5,1.9934878991989535e-07
1,200,6,2.4841884282977844e-07
1,200,7,1.9044580312765902e-07
1,200,8,7.02753766290698e-08
1,200,9,3.390673697367674e-08
1,200,10,6.222280291012794e-08
1,200,11,0.0
1,300,0,6.398883670044597e-06
1,300,1,2.2750186872144695e-06
1,300,2,6.672191830148222e-07
1,300,3,1.0336391369492048e-06
1,300,4,4.0891077901505923e-07
1,300,5,2.4194832803914323e-07
1,300,6,2.2168393343235948e-07
1,300,7,2.804870575801033e-07
1,300,8,2.526408309222461e-07
1,300,9,1.243285794316762e-07
1,300,10,1.204967503554144e-07
1,300,11,0.0
1,400,0,4.635554887499893e-06
1,400,1,3.7846957638976164e-06
1,400,2,1.3844208979207906e-06
1,400,3,7.59799320348975e-07
1,400,4,6.149144837763743e-07
1,400,5,3.4157199024775764e-07
1,400,6,2.0297206049235683e-07
