epoch,lr,train_loss,val_top1_full,val_top5_full,val_loss,img_per_sec,wall_time
0,5.091e-05,6.7301,4.556,13.064,5.964,4213.5,304.0
1,0.00010086,6.3925,8.628,21.938,5.3704,4223.0,303.3
2,0.00015081,6.2212,12.636,29.722,4.9432,4225.8,303.1
3,0.00020076,6.031,18.512,38.9,4.4272,4218.0,303.7
4,0.00025071,5.8156,24.382,46.802,3.9972,4220.3,303.5
5,0.00030066,5.6089,29.966,53.956,3.5889,4218.5,303.7
6,0.00035061,5.3993,34.568,59.334,3.2727,4217.1,303.8
7,0.00040056,5.2335,39.22,64.42,2.971,4218.1,303.7
8,0.00045051,5.0974,42.784,68.254,2.7537,4217.3,303.8
9,0.00050046,4.9913,44.976,70.276,2.616,4218.2,303.7
10,0.00055041,4.877,47.568,72.928,2.4688,4228.7,302.9
11,0.00060036,4.7567,49.89,74.718,2.3517,4219.7,303.6
12,0.00065031,4.6962,52.018,76.806,2.2476,4217.3,303.8
13,0.00070026,4.5575,52.794,77.174,2.1924,4215.4,303.9
14,0.00075021,4.491,54.654,78.866,2.1311,4214.4,304.0
15,0.00080016,4.4284,55.63,79.828,2.0556,4215.0,303.9
16,0.00085011,4.3935,57.182,81.1,1.927,4217.5,303.7
17,0.00090006,4.3516,57.564,81.094,1.9293,4215.8,303.9
18,0.00095001,4.2948,58.362,81.684,1.9106,4213.3,304.0
19,0.00099996,4.2615,59.536,82.724,1.8394,4212.4,304.1
20,0.00098797,4.2189,60.734,83.606,1.7654,4223.0,303.3
21,0.0009868,4.1599,61.142,83.822,1.7509,4214.9,303.9
22,0.00098558,4.0931,62.234,84.53,1.7474,4213.2,304.1
23,0.00098431,4.0461,63.394,85.138,1.6789,4213.2,304.0
24,0.00098298,4.0342,63.606,85.786,1.6262,4220.1,303.6
25,0.0009816,3.9861,64.538,86.09,1.6054,4215.3,303.9
26,0.00098017,3.9512,64.876,86.296,1.5827,4218.0,303.7
27,0.00097868,3.863,65.812,86.822,1.549,4218.8,303.6
28,0.00097714,3.8662,66.18,87.196,1.5135,4216.8,303.8
29,0.00097555,3.8428,66.332,87.424,1.5662,4218.2,303.7
30,0.00097391,3.8065,66.932,87.514,1.5133,4223.5,303.3
31,0.00097222,3.8047,67.446,87.98,1.4573,4214.2,304.0
32,0.00097047,3.7937,67.852,88.366,1.4344,4220.0,303.6
33,0.00096867,3.7474,68.248,88.456,1.4045,4220.0,303.6
34,0.00096682,3.7235,68.476,88.66,1.3978,4217.1,303.8
35,0.00096492,3.7163,68.414,88.9,1.3964,4218.7,303.7
36,0.00096297,3.697,68.926,89.174,1.385,4218.7,303.7
37,0.00096097,3.654,69.278,89.258,1.354,4220.0,303.6
38,0.00095892,3.6428,69.96,89.544,1.3355,4220.3,303.5
39,0.00095682,3.6174,69.784,89.398,1.3533,4220.1,303.6
40,0.00095467,3.6161,69.802,89.338,1.3623,4224.1,303.3
41,0.00095246,3.6113,70.082,89.684,1.3592,4219.4,303.6
42,0.00095021,3.5892,70.124,89.748,1.3356,4217.5,303.7
43,0.00094791,3.5666,70.452,90.04,1.3273,4217.1,303.8
44,0.00094556,3.5466,70.644,89.926,1.2906,4222.2,303.4
45,0.00094316,3.5533,70.754,89.87,1.3354,4220.0,303.6
46,0.00094071,3.5179,70.878,90.474,1.2739,4217.2,303.8
47,0.00093822,3.4951,71.0,90.52,1.2964,4218.1,303.7
48,0.00093567,3.5152,71.292,90.364,1.2798,4218.7,303.7
49,0.00093308,3.4838,71.582,90.702,1.2487,4218.2,303.7
50,0.00093044,3.4936,71.538,90.6,1.258,4221.6,303.4
51,0.00092776,3.4551,71.56,90.654,1.2736,4222.6,303.4
52,0.00092502,3.4631,71.85,90.618,1.2586,4221.3,303.5
53,0.00092224,3.4439,71.732,90.668,1.2437,4217.6,303.7
54,0.00091942,3.4422,72.148,90.956,1.2393,4220.4,303.5
55,0.00091655,3.4399,72.318,90.926,1.2492,4218.6,303.7
56,0.00091363,3.4479,72.064,90.97,1.244,4218.5,303.7
57,0.00091067,3.4047,72.078,90.854,1.2573,4217.7,303.7
58,0.00090766,3.4185,72.278,90.798,1.2324,4218.3,303.7
59,0.00090461,3.4113,72.49,91.18,1.2267,4217.9,303.7
60,0.00090151,3.3704,72.756,91.166,1.2205,4225.4,303.2
61,0.00089837,3.3778,72.366,90.998,1.2155,4216.5,303.8
