epoch,lr,train_loss,val_top1_full,val_top5_full,val_loss,img_per_sec,wall_time
0,5.091e-05,6.7241,4.642,13.356,5.9421,3697.0,346.5
1,0.00010086,6.374,9.2,23.352,5.3194,3745.0,342.1
2,0.00015081,6.1848,13.524,31.052,4.8614,3744.4,342.1
3,0.00020076,5.9939,19.348,40.208,4.3481,3744.3,342.1
4,0.00025071,5.7855,25.416,48.192,3.9312,3741.6,342.4
5,0.00030066,5.5796,31.294,55.536,3.5231,3743.3,342.2
6,0.00035061,5.3832,35.386,60.412,3.2093,3745.4,342.0
7,0.00040056,5.2223,39.812,64.908,2.9362,3743.8,342.2
8,0.00045051,5.0924,43.466,68.684,2.7317,3745.4,342.0
9,0.00050046,4.9916,45.99,71.162,2.5672,3745.0,342.1
10,0.00055041,4.8801,48.062,73.206,2.4505,3744.8,342.1
11,0.00060036,4.7595,50.156,75.098,2.3342,3742.8,342.3
12,0.00065031,4.7003,52.17,76.836,2.2368,3740.8,342.5
13,0.00070026,4.5639,53.084,77.638,2.1674,3740.4,342.5
14,0.00075021,4.4984,55.056,79.012,2.1003,3740.2,342.5
15,0.00080016,4.4361,55.998,80.058,2.0564,3739.7,342.5
16,0.00085011,4.4022,57.626,81.018,1.9335,3739.8,342.5
17,0.00090006,4.3591,57.798,81.142,1.9294,3737.3,342.8
18,0.00095001,4.3007,58.458,81.696,1.9238,3740.7,342.5
19,0.00099996,4.2683,59.892,82.726,1.8429,3740.3,342.5
20,0.00098797,4.2229,61.406,83.842,1.7651,3745.2,342.0
21,0.0009868,4.1661,61.678,84.248,1.7435,3742.0,342.3
22,0.00098558,4.0955,62.414,84.836,1.7091,3739.4,342.6
23,0.00098431,4.0488,63.924,85.378,1.6477,3741.0,342.4
24,0.00098298,4.0383,64.35,85.94,1.6221,3740.0,342.5
25,0.0009816,3.9856,65.232,86.546,1.573,3741.1,342.4
26,0.00098017,3.9491,65.714,86.68,1.5534,3741.4,342.4
27,0.00097868,3.8565,66.508,87.22,1.5051,3743.0,342.2
28,0.00097714,3.856,66.59,87.61,1.4984,3738.4,342.7
29,0.00097555,3.8356,66.992,87.942,1.5113,3740.7,342.5
30,0.00097391,3.7984,67.8,88.078,1.4807,3747.2,341.9
31,0.00097222,3.7975,67.866,88.336,1.4558,3741.0,342.4
32,0.00097047,3.7906,68.454,88.982,1.4105,3740.9,342.4
33,0.00096867,3.7456,68.554,88.658,1.3951,3742.6,342.3
34,0.00096682,3.7289,68.878,89.012,1.3815,3742.7,342.3
35,0.00096492,3.7202,69.254,89.312,1.372,3743.7,342.2
36,0.00096297,3.7059,69.63,89.352,1.3624,3746.3,341.9
37,0.00096097,3.6618,69.916,89.624,1.34,3744.5,342.1
38,0.00095892,3.6535,69.916,89.588,1.3369,3743.3,342.2
39,0.00095682,3.6311,70.444,89.788,1.325,3742.8,342.3
40,0.00095467,3.6299,70.268,89.872,1.3352,3747.9,341.8
41,0.00095246,3.6272,70.314,89.85,1.3357,3743.2,342.2
42,0.00095021,3.6044,70.8,90.102,1.3113,3742.9,342.3
43,0.00094791,3.5835,70.748,90.09,1.3307,3743.7,342.2
44,0.00094556,3.5606,71.09,90.222,1.274,3740.8,342.4
45,0.00094316,3.5746,71.174,90.222,1.3042,3743.1,342.2
46,0.00094071,3.5385,71.036,90.452,1.2812,3745.3,342.0
47,0.00093822,3.5144,71.642,90.52,1.2888,3745.1,342.1
48,0.00093567,3.535,71.588,90.602,1.2577,3745.3,342.0
49,0.00093308,3.5043,71.982,90.614,1.2486,3744.1,342.1
50,0.00093044,3.5189,71.938,90.784,1.2443,3748.0,341.8
51,0.00092776,3.4815,72.076,90.846,1.2593,3740.5,342.5
52,0.00092502,3.4866,72.13,90.842,1.2492,3745.2,342.0
53,0.00092224,3.4694,71.982,90.816,1.2182,3742.9,342.3
54,0.00091942,3.4679,72.406,91.102,1.2198,3746.3,341.9
55,0.00091655,3.4698,72.216,91.114,1.2354,3743.5,342.2
56,0.00091363,3.4758,72.416,91.142,1.2404,3741.8,342.4
57,0.00091067,3.4316,72.532,91.078,1.2345,3742.0,342.3
58,0.00090766,3.4472,72.69,91.328,1.2018,3740.4,342.5
59,0.00090461,3.4399,72.888,91.47,1.2065,3741.2,342.4
60,0.00090151,3.401,73.016,91.382,1.2047,3748.9,341.7
61,0.00089837,3.4073,72.542,90.946,1.225,3739.5,342.6
62,0.00089518,3.4269,73.014,91.434,1.2029,3737.3,342.8
63,0.00089196,3.3821,72.918,91.284,1.209,3743.0,342.2
64,0.00088869,3.3936,73.108,91.314,1.2034,3741.5,342.4
65,0.00088537,3.4133,73.062,91.44,1.1969,3741.0,342.4
66,0.00088202,3.4138,73.164,91.49,1.2155,3743.2,342.2
67,0.00087862,3.4049,73.408,91.698,1.1738,3741.8,342.4
68,0.00087518,3.3649,73.5,91.564,1.1733,3741.9,342.3
69,0.0008717,3.3742,73.364,91.684,1.196,3742.7,342.3
70,0.00086818,3.3724,73.396,91.656,1.1712,3747.8,341.8
71,0.00086462,3.3583,73.752,91.804,1.1821,3739.6,342.6
72,0.00086102,3.3646,73.64,91.786,1.2049,3741.7,342.4
73,0.00085738,3.3422,73.378,91.594,1.2023,3743.0,342.2
74,0.0008537,3.346,73.78,91.772,1.1724,3744.9,342.1
75,0.00084998,3.3248,73.356,91.73,1.1912,3741.2,342.4
76,0.00084623,3.3262,73.776,91.798,1.1592,3742.7,342.3
77,0.00084243,3.3193,73.976,91.976,1.1549,3744.7,342.1
78,0.0008386,3.313,73.836,91.848,1.1433,3747.4,341.8
79,0.00083473,3.3058,74.098,91.968,1.1535,3743.4,342.2
80,0.00083083,3.2849,73.99,91.858,1.1588,3748.2,341.8
81,0.00082689,3.2745,74.41,92.066,1.1513,3744.6,342.1
82,0.00082291,3.3135,74.068,92.052,1.1677,3746.6,341.9
83,0.0008189,3.2842,74.312,92.1,1.1633,3740.0,342.5
84,0.00081485,3.2953,74.202,92.078,1.1597,3742.8,342.3
85,0.00081077,3.2877,74.422,92.124,1.135,3741.6,342.4
86,0.00080665,3.2672,74.52,92.22,1.1301,3744.4,342.1
87,0.0008025,3.2625,74.496,92.214,1.1369,3742.9,342.3
88,0.00079832,3.2631,74.866,92.148,1.1325,3741.1,342.4
89,0.0007941,3.2392,74.586,92.246,1.1427,3740.2,342.5
90,0.00078985,3.2373,74.738,92.436,1.1131,3750.3,341.6
91,0.00078557,3.2683,74.532,92.224,1.135,3742.7,342.3
92,0.00078126,3.2435,74.798,92.356,1.1246,3744.8,342.1
93,0.00077692,3.2581,74.484,92.248,1.1225,3741.9,342.3
94,0.00077255,3.2138,74.674,92.286,1.1261,3742.6,342.3
95,0.00076815,3.2155,74.746,92.406,1.1386,3743.2,342.2
96,0.00076372,3.2265,74.93,92.45,1.1074,3739.3,342.6
97,0.00075926,3.2211,74.918,92.48,1.1241,3744.0,342.2
98,0.00075477,3.2182,74.812,92.364,1.1432,3738.1,342.7
99,0.00075025,3.2031,75.244,92.534,1.104,3747.3,341.9
100,0.00074571,3.2051,74.67,92.26,1.1243,3750.0,341.6
101,0.00074114,3.2052,75.114,92.568,1.1101,3742.2,342.3
102,0.00073654,3.1903,75.158,92.694,1.1006,3743.0,342.2
103,0.00073192,3.2111,75.31,92.554,1.1089,3743.0,342.2
104,0.00072727,3.1712,75.214,92.648,1.1191,3743.7,342.2
105,0.0007226,3.1734,75.314,92.566,1.1095,3743.0,342.2
106,0.0007179,3.1677,75.304,92.686,1.1182,3743.0,342.2
107,0.00071318,3.1772,75.286,92.52,1.1173,3743.4,342.2
108,0.00070844,3.1662,75.3,92.572,1.0981,3745.8,342.0
109,0.00070367,3.1927,75.444,92.752,1.0906,3742.6,342.3
110,0.00069888,3.1591,75.346,92.68,1.0923,3747.8,341.8
111,0.00069407,3.1527,75.758,92.766,1.0731,3743.6,342.2
112,0.00068924,3.141,75.622,92.792,1.1012,3743.6,342.2
113,0.00068438,3.1481,75.628,92.792,1.0853,3743.0,342.2
114,0.00067951,3.1524,75.346,92.688,1.1178,3742.1,342.3
115,0.00067462,3.1315,75.514,92.528,1.0924,3743.3,342.2
116,0.0006697,3.145,75.7,92.716,1.0819,3742.1,342.3
117,0.00066477,3.1334,75.644,92.786,1.1181,3741.8,342.4
118,0.00065982,3.1168,75.418,92.806,1.1137,3736.1,342.9
119,0.00065486,3.1351,75.648,92.686,1.0907,3740.9,342.4
120,0.00064987,3.0977,75.894,92.868,1.0847,3745.7,342.0
121,0.00064488,3.0972,75.832,92.752,1.1124,3738.4,342.7
122,0.00063986,3.1059,76.168,92.948,1.0497,3742.9,342.3
123,0.00063483,3.103,76.01,92.924,1.0722,3739.9,342.5
124,0.00062978,3.0838,75.582,92.718,1.1042,3742.0,342.3
125,0.00062472,3.083,75.728,92.852,1.0698,3741.3,342.4
126,0.00061965,3.0482,75.71,92.852,1.0727,3744.4,342.1
127,0.00061457,3.0957,75.716,92.762,1.1021,3742.8,342.3
128,0.00060947,3.0757,75.984,92.964,1.0803,3740.2,342.5
129,0.00060436,3.0484,75.96,92.816,1.0669,3743.0,342.2
130,0.00059923,3.0648,76.2,93.08,1.065,3748.0,341.8
131,0.0005941,3.0353,75.796,92.632,1.0891,3746.1,342.0
132,0.00058896,3.0644,76.142,93.036,1.06,3747.0,341.9
133,0.00058381,3.0243,76.27,92.928,1.0664,3746.3,341.9
134,0.00057864,3.0297,76.188,93.03,1.062,3747.3,341.9
135,0.00057347,3.0134,76.432,93.098,1.0593,3745.1,342.1
136,0.00056829,3.0356,76.456,93.08,1.0711,3742.1,342.3
137,0.00056311,3.0125,76.266,93.016,1.0836,3743.3,342.2
138,0.00055792,3.018,76.362,93.144,1.0563,3742.6,342.3
139,0.00055272,3.0053,76.192,93.038,1.0617,3740.9,342.4
140,0.00054751,2.9848,76.594,93.252,1.0613,3751.7,341.4
141,0.0005423,3.0117,76.452,93.128,1.0543,3744.5,342.1
142,0.00053709,3.0015,76.29,93.03,1.072,3745.4,342.0
143,0.00053187,3.0115,76.47,93.178,1.0575,3746.1,342.0
144,0.00052665,2.9616,76.63,93.056,1.0569,3743.0,342.2
145,0.00052142,2.9696,76.192,93.054,1.0509,3745.7,342.0
146,0.00051619,2.9846,76.446,93.122,1.0745,3747.4,341.8
147,0.00051096,2.9632,76.43,93.028,1.077,3747.8,341.8
148,0.00050573,2.9743,76.658,93.26,1.0546,3745.7,342.0
149,0.0005005,2.9083,76.618,93.202,1.034,3747.0,341.9
150,0.00049527,2.9261,76.846,93.158,1.0558,3749.0,341.7
151,0.00049004,2.9509,76.496,93.142,1.0455,3745.5,342.0
152,0.00048481,2.9438,76.52,93.15,1.0619,3747.5,341.8
153,0.00047959,2.9406,76.576,93.198,1.0539,3744.1,342.1
154,0.00047436,2.9166,76.694,93.326,1.0566,3743.6,342.2
