epoch,lr,train_loss,val_top1_full,val_top5_full,val_loss,img_per_sec,wall_time
0,5.091e-05,6.7917,2.672,8.77,6.272,7403.4,173.0
1,0.00010086,6.507,6.106,16.864,5.7235,7072.1,181.1
2,0.00015081,6.3338,9.012,22.924,5.3331,7912.8,161.9
3,0.00020076,6.1982,12.332,29.128,4.9796,7964.6,160.8
4,0.00025071,6.0497,16.642,36.134,4.6034,8000.8,160.1
5,0.00030066,5.8928,21.78,43.6,4.1866,7988.4,160.4
6,0.00035061,5.7047,26.288,49.606,3.848,8007.8,160.0
7,0.00040056,5.5368,30.304,54.824,3.5433,8041.5,159.3
8,0.00045051,5.4244,34.234,58.778,3.3024,8005.6,160.0
9,0.00050046,5.3158,36.874,61.892,3.1131,8041.0,159.3
10,0.00055041,5.1932,39.236,64.476,2.9754,7981.8,160.5
11,0.00060036,5.096,42.068,67.228,2.8235,8004.7,160.0
12,0.00065031,5.0291,43.762,68.952,2.7197,8023.8,159.7
13,0.00070026,4.9458,45.256,70.724,2.604,7995.6,160.2
14,0.00075021,4.9053,46.99,72.41,2.528,7999.7,160.1
15,0.00080016,4.819,48.228,73.338,2.4536,7982.6,160.5
16,0.00085011,4.7425,50.022,75.12,2.3371,7990.6,160.3
17,0.00090006,4.7296,50.868,75.612,2.2856,8009.0,159.9
18,0.00095001,4.6444,51.644,76.41,2.2676,8001.3,160.1
19,0.00099996,4.6089,52.688,77.52,2.1764,8021.8,159.7
20,0.00098797,4.5622,53.984,78.146,2.1372,8034.9,159.4
21,0.0009868,4.469,54.686,78.674,2.1009,8017.4,159.8
22,0.00098558,4.4442,55.934,79.93,2.0315,8021.7,159.7
23,0.00098431,4.4038,57.028,80.814,1.9837,8017.1,159.8
24,0.00098298,4.3896,57.452,81.178,1.9491,8006.3,160.0
25,0.0009816,4.3256,57.99,81.37,1.9226,8000.2,160.1
26,0.00098017,4.3066,58.862,82.142,1.8629,8009.2,159.9
27,0.00097868,4.2841,59.55,82.538,1.8567,8031.9,159.5
28,0.00097714,4.2294,59.66,83.008,1.8234,7985.8,160.4
29,0.00097555,4.1974,60.104,82.916,1.8506,8007.3,160.0
30,0.00097391,4.1761,60.65,83.686,1.8201,8018.8,159.8
31,0.00097222,4.1772,61.468,84.016,1.7451,7970.7,160.7
32,0.00097047,4.1511,61.554,84.298,1.7584,8006.4,160.0
33,0.00096867,4.1019,61.92,84.262,1.6936,7978.3,160.6
34,0.00096682,4.1047,62.2,84.692,1.6961,7932.2,161.5
35,0.00096492,4.0779,62.58,84.942,1.6898,7985.9,160.4
36,0.00096297,4.0663,62.95,85.228,1.6659,7991.6,160.3
37,0.00096097,4.0552,63.306,85.344,1.6398,8025.0,159.6
38,0.00095892,4.055,63.562,85.35,1.6271,8019.2,159.7
39,0.00095682,4.0245,63.922,85.864,1.6266,8008.3,160.0
40,0.00095467,4.0041,63.872,85.746,1.6208,8040.2,159.3
41,0.00095246,3.9911,64.092,85.834,1.6359,7991.3,160.3
42,0.00095021,3.9855,64.258,86.068,1.6208,8023.7,159.7
43,0.00094791,4.0044,64.498,86.262,1.6122,8072.3,158.7
44,0.00094556,3.9467,65.026,86.538,1.5568,8031.0,159.5
45,0.00094316,3.9332,65.312,86.494,1.5866,8011.6,159.9
46,0.00094071,3.9763,64.86,86.592,1.5437,8033.2,159.5
47,0.00093822,3.919,65.514,86.682,1.5775,8077.1,158.6
48,0.00093567,3.9357,65.332,86.702,1.5618,8025.3,159.6
49,0.00093308,3.913,65.882,87.078,1.5364,8008.2,160.0
50,0.00093044,3.9093,65.95,87.21,1.5259,8040.8,159.3
51,0.00092776,3.8757,65.872,87.356,1.5215,8050.9,159.1
52,0.00092502,3.8948,66.54,87.586,1.5066,8005.5,160.0
53,0.00092224,3.8685,66.108,87.546,1.4985,8043.5,159.3
54,0.00091942,3.8595,66.44,87.58,1.4682,8043.5,159.3
55,0.00091655,3.8757,66.486,87.642,1.4968,8060.4,158.9
56,0.00091363,3.8269,66.67,87.53,1.4961,8055.1,159.0
57,0.00091067,3.8191,67.036,87.886,1.4771,8059.0,159.0
58,0.00090766,3.8092,67.54,88.048,1.4548,8034.2,159.4
59,0.00090461,3.8133,67.546,88.252,1.4502,8030.1,159.5
60,0.00090151,3.7976,67.634,88.172,1.4476,8003.7,160.1
61,0.00089837,3.7937,67.734,88.29,1.4293,8049.0,159.2
62,0.00089518,3.795,67.708,88.464,1.4132,8043.5,159.3
63,0.00089196,3.77,67.218,88.202,1.4926,8054.3,159.0
64,0.00088869,3.7855,68.048,88.618,1.4055,8035.8,159.4
65,0.00088537,3.7329,67.88,88.44,1.419,8071.6,158.7
66,0.00088202,3.7484,68.25,88.558,1.4172,8038.1,159.4
67,0.00087862,3.7678,68.192,88.594,1.4108,8032.7,159.5
68,0.00087518,3.7755,68.574,88.802,1.394,8090.3,158.3
69,0.0008717,3.7585,68.468,88.88,1.416,8062.9,158.9
70,0.00086818,3.7422,68.486,88.766,1.4191,8087.7,158.4
71,0.00086462,3.7294,68.618,88.728,1.4095,8070.7,158.7
72,0.00086102,3.7111,68.402,88.636,1.4714,8080.4,158.5
73,0.00085738,3.6867,68.682,88.76,1.4269,8100.1,158.1
74,0.0008537,3.7095,69.39,89.38,1.3642,8061.8,158.9
75,0.00084998,3.6836,68.974,89.4,1.38,8074.8,158.6
76,0.00084623,3.7203,69.048,89.164,1.3792,8061.1,158.9
77,0.00084243,3.7048,69.356,89.396,1.3974,8067.5,158.8
78,0.0008386,3.6566,69.218,89.232,1.3615,8090.1,158.3
79,0.00083473,3.6494,69.44,89.33,1.3655,8076.9,158.6
80,0.00083083,3.624,69.124,89.126,1.3863,8053.4,159.1
81,0.00082689,3.6414,69.644,89.456,1.3578,8074.8,158.6
82,0.00082291,3.6662,69.52,89.284,1.3748,8090.5,158.3
83,0.0008189,3.6315,69.94,89.676,1.366,8102.4,158.1
84,0.00081485,3.6362,69.862,89.64,1.3466,8112.3,157.9
85,0.00081077,3.637,69.658,89.492,1.3617,8086.4,158.4
86,0.00080665,3.6132,69.942,89.81,1.3513,8064.7,158.8
87,0.0008025,3.6426,69.94,89.882,1.343,8050.1,159.1
88,0.00079832,3.6112,69.97,89.696,1.3613,8086.2,158.4
89,0.0007941,3.5991,70.146,89.736,1.3662,8080.9,158.5
90,0.00078985,3.609,70.444,90.044,1.3181,8091.1,158.3
91,0.00078557,3.6361,70.406,90.028,1.3167,8082.7,158.5
92,0.00078126,3.5856,70.374,90.072,1.3206,8108.4,158.0
93,0.00077692,3.584,70.892,90.008,1.2836,8093.6,158.3
94,0.00077255,3.5945,70.628,90.032,1.3214,8098.3,158.2
95,0.00076815,3.6025,70.57,90.21,1.2958,8114.3,157.9
96,0.00076372,3.5649,70.974,90.204,1.2949,8088.5,158.4
97,0.00075926,3.6141,70.898,90.218,1.2888,8078.5,158.6
98,0.00075477,3.586,70.722,90.38,1.3043,8101.9,158.1
99,0.00075025,3.5572,70.952,90.288,1.3009,8057.3,159.0
100,0.00074571,3.5536,70.886,90.402,1.2989,8112.2,157.9
101,0.00074114,3.5551,70.87,90.418,1.282,8088.9,158.4
102,0.00073654,3.5408,71.364,90.496,1.2809,8112.5,157.9
103,0.00073192,3.5614,71.094,90.242,1.2965,8070.8,158.7
104,0.00072727,3.5772,71.13,90.434,1.2942,8131.1,157.5
