epoch,lr,train_loss,val_top1_full,val_top5_full,val_loss,img_per_sec,wall_time
0,5.091e-05,6.7895,2.706,9.028,6.2625,7498.3,170.8
1,0.00010086,6.4996,6.142,16.896,5.7035,7867.8,162.8
2,0.00015081,6.3233,9.272,23.372,5.3137,7875.6,162.7
3,0.00020076,6.1843,12.938,30.24,4.9458,7896.3,162.2
4,0.00025071,6.0321,17.128,36.914,4.5578,7879.3,162.6
5,0.00030066,5.8799,21.838,43.712,4.1675,7850.4,163.2
6,0.00035061,5.7049,25.922,49.282,3.8567,7842.7,163.3
7,0.00040056,5.5479,30.398,54.642,3.5527,7840.6,163.4
8,0.00045051,5.4426,34.094,58.624,3.3137,7875.7,162.7
9,0.00050046,5.3364,36.496,61.578,3.129,7904.8,162.1
10,0.00055041,5.2185,39.046,64.11,3.001,7896.4,162.2
11,0.00060036,5.1234,41.538,67.02,2.8399,7851.1,163.2
12,0.00065031,5.0598,42.936,68.13,2.7616,7856.6,163.1
13,0.00070026,4.9787,44.67,70.056,2.6484,7904.6,162.1
14,0.00075021,4.9407,46.356,71.678,2.5736,7881.1,162.5
15,0.00080016,4.8541,47.748,73.098,2.4814,7901.4,162.1
16,0.00085011,4.7869,49.314,74.156,2.3864,7892.6,162.3
17,0.00090006,4.7743,49.56,74.4,2.368,7887.3,162.4
18,0.00095001,4.6911,50.636,75.33,2.3194,7896.2,162.2
19,0.00099996,4.6602,52.08,76.796,2.2228,7903.1,162.1
20,0.00098797,4.6138,53.118,77.634,2.1835,7892.0,162.3
21,0.0009868,4.5225,53.892,78.018,2.1455,7864.1,162.9
22,0.00098558,4.4996,54.812,79.06,2.0805,7889.1,162.4
23,0.00098431,4.4572,56.176,80.026,2.0361,7898.7,162.2
24,0.00098298,4.4427,56.71,80.452,1.9843,7897.6,162.2
25,0.0009816,4.3791,57.062,80.92,1.959,7883.9,162.5
26,0.00098017,4.3592,57.854,81.55,1.9265,7864.6,162.9
27,0.00097868,4.3329,58.868,82.15,1.8925,7870.1,162.8
28,0.00097714,4.2736,59.826,82.862,1.8285,7899.1,162.2
29,0.00097555,4.2413,59.25,82.45,1.8873,7917.4,161.8
30,0.00097391,4.219,60.376,83.208,1.8156,7861.2,163.0
31,0.00097222,4.2178,61.032,83.866,1.7626,7893.7,162.3
32,0.00097047,4.1895,61.194,83.8,1.7801,7889.1,162.4
33,0.00096867,4.1375,61.388,83.758,1.7241,7910.0,161.9
34,0.00096682,4.1381,61.576,84.252,1.7419,7893.2,162.3
35,0.00096492,4.1081,62.476,84.936,1.7058,7909.2,162.0
36,0.00096297,4.0962,62.848,84.83,1.683,7885.8,162.4
37,0.00096097,4.0763,63.438,85.3,1.6469,7920.4,161.7
38,0.00095892,4.0703,63.658,85.538,1.637,7893.6,162.3
39,0.00095682,4.0368,64.0,85.932,1.639,7880.1,162.6
40,0.00095467,4.0128,64.254,86.026,1.6205,7834.9,163.5
41,0.00095246,3.9942,64.324,86.044,1.6243,7845.4,163.3
42,0.00095021,3.9877,64.498,86.266,1.6107,7879.6,162.6
43,0.00094791,4.0018,64.64,86.372,1.6021,7932.2,161.5
44,0.00094556,3.9409,65.422,86.908,1.5426,7924.3,161.7
45,0.00094316,3.9252,65.488,86.864,1.5647,7883.7,162.5
46,0.00094071,3.9663,65.394,86.91,1.5368,7902.9,162.1
47,0.00093822,3.9073,66.12,87.186,1.544,7906.7,162.0
48,0.00093567,3.9228,65.81,87.124,1.5537,7902.3,162.1
49,0.00093308,3.8991,66.42,87.288,1.5159,7896.2,162.2
50,0.00093044,3.8948,66.456,87.542,1.4877,7895.8,162.2
51,0.00092776,3.8566,66.556,87.78,1.499,7831.0,163.6
52,0.00092502,3.8753,66.872,87.906,1.4809,7879.3,162.6
53,0.00092224,3.8461,66.776,87.784,1.482,7857.0,163.0
54,0.00091942,3.8403,67.056,87.936,1.4616,7895.8,162.2
55,0.00091655,3.8589,66.94,87.908,1.4825,7924.2,161.7
56,0.00091363,3.8111,67.346,88.186,1.4672,7917.4,161.8
57,0.00091067,3.808,67.746,88.284,1.4507,7927.0,161.6
58,0.00090766,3.7962,67.926,88.358,1.4181,7918.5,161.8
59,0.00090461,3.7989,67.938,88.588,1.4316,7895.8,162.2
60,0.00090151,3.7846,67.994,88.536,1.4263,7925.0,161.6
61,0.00089837,3.7836,67.894,88.53,1.432,7928.6,161.6
62,0.00089518,3.7843,68.22,88.72,1.3996,7866.5,162.8
63,0.00089196,3.7583,67.996,88.37,1.4684,7913.6,161.9
64,0.00088869,3.773,68.654,88.764,1.3956,7896.9,162.2
65,0.00088537,3.7244,68.256,88.576,1.408,7900.4,162.1
66,0.00088202,3.7361,68.692,88.75,1.4059,7899.2,162.2
67,0.00087862,3.755,68.692,89.074,1.3989,7906.8,162.0
68,0.00087518,3.7639,68.78,88.798,1.3998,7914.7,161.9
69,0.0008717,3.746,68.986,89.114,1.4011,7892.4,162.3
70,0.00086818,3.7257,68.89,88.994,1.3807,7916.1,161.8
71,0.00086462,3.7154,68.866,89.062,1.4111,7888.3,162.4
72,0.00086102,3.6977,69.168,89.04,1.4237,7941.9,161.3
73,0.00085738,3.6735,69.114,89.27,1.3928,7922.2,161.7
74,0.0008537,3.6958,69.598,89.366,1.3677,7935.8,161.4
75,0.00084998,3.6726,69.486,89.462,1.371,7910.5,161.9
76,0.00084623,3.7055,69.446,89.584,1.3612,7926.8,161.6
77,0.00084243,3.6918,69.836,89.594,1.3714,7943.3,161.3
78,0.0008386,3.6407,69.448,89.476,1.3338,7937.8,161.4
79,0.00083473,3.6346,69.844,89.62,1.3466,7930.2,161.5
80,0.00083083,3.6101,69.814,89.646,1.3551,7936.0,161.4
81,0.00082689,3.6263,70.01,89.836,1.332,7927.7,161.6
82,0.00082291,3.6502,69.856,89.58,1.3538,7946.2,161.2
83,0.0008189,3.6175,70.118,89.832,1.3547,7941.5,161.3
84,0.00081485,3.6206,70.03,89.786,1.3565,7939.6,161.3
85,0.00081077,3.6219,70.346,89.856,1.3308,7930.5,161.5
86,0.00080665,3.5969,70.456,90.038,1.3104,7926.2,161.6
87,0.0008025,3.6281,70.546,90.164,1.3022,7929.0,161.6
88,0.00079832,3.5969,70.724,89.998,1.3197,7938.0,161.4
89,0.0007941,3.5872,70.706,90.006,1.3313,7929.9,161.5
90,0.00078985,3.5948,70.71,90.176,1.2887,7942.9,161.3
91,0.00078557,3.6226,70.61,90.23,1.2828,7929.3,161.6
92,0.00078126,3.5729,70.598,90.258,1.3125,7939.6,161.3
93,0.00077692,3.5689,70.77,90.208,1.273,7949.5,161.1
94,0.00077255,3.5803,70.942,90.258,1.2961,7936.9,161.4
95,0.00076815,3.5851,71.18,90.374,1.2812,7914.8,161.9
96,0.00076372,3.5477,71.072,90.308,1.2855,7931.6,161.5
97,0.00075926,3.5988,71.266,90.43,1.2803,7928.1,161.6
98,0.00075477,3.57,71.274,90.504,1.299,7941.4,161.3
99,0.00075025,3.5419,71.118,90.34,1.3069,7931.1,161.5
100,0.00074571,3.5403,70.914,90.34,1.2851,7930.5,161.5
101,0.00074114,3.5399,71.406,90.534,1.2667,7924.3,161.7
102,0.00073654,3.5263,71.7,90.728,1.2633,7937.7,161.4
103,0.00073192,3.5487,71.178,90.47,1.2762,7929.9,161.5
104,0.00072727,3.5631,71.364,90.492,1.2986,7949.2,161.2
105,0.0007226,3.5218,71.52,90.788,1.2724,7936.6,161.4
106,0.0007179,3.5476,71.742,90.976,1.2815,7917.6,161.8
107,0.00071318,3.5143,71.608,90.784,1.2365,7928.8,161.6
108,0.00070844,3.5034,71.578,90.664,1.2545,7942.5,161.3
109,0.00070367,3.5185,72.062,91.02,1.2128,7925.6,161.6
110,0.00069888,3.4915,71.946,90.8,1.2376,7923.3,161.7
111,0.00069407,3.4779,71.798,90.774,1.2492,7927.2,161.6
112,0.00068924,3.4983,72.208,90.922,1.2617,7947.6,161.2
113,0.00068438,3.4819,71.64,90.968,1.2506,7947.6,161.2
114,0.00067951,3.4935,71.776,90.826,1.2571,7936.2,161.4
115,0.00067462,3.5069,72.382,91.084,1.2354,7922.1,161.7
116,0.0006697,3.4525,72.518,91.32,1.2006,7928.7,161.6
117,0.00066477,3.4921,72.532,91.266,1.2349,7923.8,161.7
118,0.00065982,3.4966,72.16,91.13,1.2461,7934.6,161.4
119,0.00065486,3.4772,72.432,91.236,1.2306,7931.9,161.5
120,0.00064987,3.4159,72.42,91.094,1.2192,7932.3,161.5
121,0.00064488,3.4729,72.754,91.322,1.2189,7935.8,161.4
122,0.00063986,3.4557,73.04,91.354,1.2002,7902.2,162.1
123,0.00063483,3.4904,72.732,91.288,1.2246,7869.7,162.8
124,0.00062978,3.4434,72.65,91.17,1.2149,7908.4,162.0
125,0.00062472,3.4481,72.78,91.396,1.2085,7922.2,161.7
126,0.00061965,3.4186,73.058,91.558,1.1663,7917.2,161.8
127,0.00061457,3.3766,73.054,91.532,1.1922,7925.5,161.6
128,0.00060947,3.4146,73.032,91.418,1.1895,7927.9,161.6
129,0.00060436,3.4303,73.08,91.49,1.1759,7891.3,162.3
130,0.00059923,3.4092,73.13,91.624,1.2157,7924.3,161.7
131,0.0005941,3.3964,73.002,91.52,1.1908,7902.6,162.1
132,0.00058896,3.4102,73.052,91.636,1.1679,7928.9,161.6
133,0.00058381,3.4309,73.536,91.666,1.1755,7905.5,162.0
134,0.00057864,3.3941,73.512,91.708,1.1645,7886.8,162.4
135,0.00057347,3.4179,73.648,91.802,1.1468,7926.3,161.6
136,0.00056829,3.3803,73.466,91.646,1.1753,7913.2,161.9
137,0.00056311,3.3684,73.872,92.05,1.1713,7927.1,161.6
138,0.00055792,3.3804,73.62,91.824,1.1611,7939.7,161.3
139,0.00055272,3.3807,73.658,91.818,1.1702,7932.8,161.5
140,0.00054751,3.3496,73.808,91.838,1.1533,7936.6,161.4
141,0.0005423,3.3559,73.59,91.94,1.1961,7916.0,161.8
142,0.00053709,3.3782,73.896,92.014,1.1558,7941.4,161.3
143,0.00053187,3.3656,73.848,92.068,1.1645,7918.1,161.8
144,0.00052665,3.3568,74.028,92.056,1.1509,7927.0,161.6
145,0.00052142,3.3383,74.322,92.23,1.1132,7938.1,161.4
146,0.00051619,3.3562,74.064,92.164,1.1667,7904.5,162.1
147,0.00051096,3.3483,74.338,92.206,1.1427,7929.0,161.6
148,0.00050573,3.3306,74.406,92.32,1.1168,7931.5,161.5
149,0.0005005,3.3278,74.316,91.994,1.1451,7950.0,161.1
150,0.00049527,3.3573,74.552,92.422,1.1254,7955.5,161.0
151,0.00049004,3.29,74.272,92.188,1.1496,7929.4,161.6
152,0.00048481,3.348,74.464,92.408,1.1178,7918.6,161.8
153,0.00047959,3.3008,74.342,92.186,1.1202,7925.6,161.6
