epoch,lr,train_loss,val_top1_full,val_top5_full,val_loss,img_per_sec,wall_time
0,5.091e-05,6.6635,3.686,11.278,6.0949,7687.6,166.6
1,0.00010086,6.0678,8.3,21.422,5.3414,7890.7,162.3
2,0.00015081,5.6586,12.848,29.968,4.7875,7932.3,161.5
3,0.00020076,5.3135,18.38,38.696,4.2943,7946.3,161.2
4,0.00025071,4.9669,24.764,47.542,3.8095,7916.6,161.8
5,0.00030066,4.6305,30.968,55.282,3.3748,7940.1,161.3
6,0.00035061,4.3477,35.414,60.44,3.1018,7910.6,161.9
7,0.00040056,4.1322,39.774,64.64,2.8475,7927.8,161.6
8,0.00045051,3.9652,42.568,67.748,2.6772,7945.2,161.2
9,0.00050046,3.8265,44.892,69.57,2.5765,7902.6,162.1
10,0.00055041,3.7195,46.612,71.732,2.4417,7877.6,162.6
11,0.00060036,3.6205,48.492,73.32,2.3468,7928.6,161.6
12,0.00065031,3.5385,50.0,74.536,2.2697,7892.4,162.3
13,0.00070026,3.4635,51.454,75.738,2.1996,7900.3,162.1
14,0.00075021,3.3987,52.608,77.1,2.1275,7959.7,160.9
15,0.00080016,3.337,53.748,77.738,2.0684,7888.0,162.4
16,0.00085011,3.2887,54.438,78.638,2.0281,7905.1,162.0
17,0.00090006,3.2392,55.316,79.044,2.0029,7938.4,161.4
18,0.00095001,3.1924,56.176,79.608,1.9644,7913.3,161.9
19,0.00099996,3.1533,56.41,79.866,1.9445,7921.6,161.7
20,0.00098797,3.1054,58.148,81.134,1.8651,7938.5,161.4
21,0.0009868,3.0475,58.656,81.598,1.8292,7853.2,163.1
22,0.00098558,3.0,59.888,82.294,1.7887,7911.5,161.9
23,0.00098431,2.9619,60.02,82.504,1.7601,7944.5,161.2
24,0.00098298,2.9273,59.982,82.816,1.7515,7898.5,162.2
25,0.0009816,2.8952,61.316,83.438,1.7118,7965.3,160.8
26,0.00098017,2.8645,61.954,84.212,1.6617,7940.9,161.3
27,0.00097868,2.8364,62.236,84.178,1.6556,7970.5,160.7
28,0.00097714,2.8089,62.524,84.276,1.6571,7908.6,162.0
29,0.00097555,2.7857,62.924,84.604,1.6311,7933.3,161.5
30,0.00097391,2.7658,62.982,84.45,1.6398,7927.6,161.6
31,0.00097222,2.7467,63.91,85.066,1.6032,7897.3,162.2
32,0.00097047,2.7269,64.08,85.5,1.5789,7933.4,161.5
33,0.00096867,2.7126,64.094,85.254,1.5864,7938.6,161.4
34,0.00096682,2.6934,64.57,85.768,1.5512,7929.8,161.5
35,0.00096492,2.6826,64.826,85.86,1.5411,7935.1,161.4
36,0.00096297,2.656,65.336,86.208,1.5341,7944.9,161.2
37,0.00096097,2.6434,65.246,86.106,1.5321,7926.7,161.6
38,0.00095892,2.6277,65.294,86.008,1.5223,7911.6,161.9
39,0.00095682,2.6146,65.316,86.126,1.523,7910.6,161.9
40,0.00095467,2.5975,66.044,86.55,1.4926,7939.9,161.3
41,0.00095246,2.5902,65.994,86.74,1.4903,7891.8,162.3
42,0.00095021,2.5786,66.026,86.906,1.4876,7920.1,161.7
43,0.00094791,2.5617,66.42,86.996,1.4722,7894.7,162.3
44,0.00094556,2.5533,66.398,86.94,1.4661,7938.9,161.4
45,0.00094316,2.5477,66.564,87.004,1.4698,7915.7,161.8
46,0.00094071,2.5394,66.382,87.076,1.4748,7945.9,161.2
47,0.00093822,2.5283,66.804,87.198,1.4692,7928.6,161.6
48,0.00093567,2.5139,66.904,87.322,1.4517,7926.3,161.6
49,0.00093308,2.5088,67.122,87.44,1.4456,7920.3,161.7
50,0.00093044,2.4975,67.27,87.442,1.4354,7357.1,174.1
51,0.00092776,2.4917,67.25,87.362,1.4386,7371.0,173.8
52,0.00092502,2.4838,67.392,87.49,1.439,7333.0,174.7
53,0.00092224,2.4785,67.398,87.72,1.4165,7333.7,174.7
54,0.00091942,2.4661,67.68,87.79,1.4066,7476.5,171.3
55,0.00091655,2.462,67.836,87.752,1.4178,7364.8,173.9
56,0.00091363,2.4598,67.474,87.566,1.4242,7923.3,161.7
57,0.00091067,2.4495,68.168,87.86,1.3938,7621.6,168.1
58,0.00090766,2.4499,68.096,87.83,1.3979,7924.5,161.7
59,0.00090461,2.4408,68.426,88.096,1.3901,7933.7,161.5
60,0.00090151,2.4299,68.3,87.996,1.394,7905.9,162.0
61,0.00089837,2.427,68.264,88.062,1.3891,7966.3,160.8
62,0.00089518,2.4273,68.174,88.026,1.3982,7895.4,162.2
63,0.00089196,2.4131,68.14,88.1,1.4072,7952.3,161.1
64,0.00088869,2.4049,68.35,87.944,1.3941,7940.5,161.3
65,0.00088537,2.4077,68.414,88.128,1.3872,7955.5,161.0
66,0.00088202,2.4046,68.628,88.176,1.3767,7922.3,161.7
67,0.00087862,2.3966,68.61,88.24,1.3753,7910.1,161.9
68,0.00087518,2.3881,68.35,88.062,1.3926,7963.8,160.9
69,0.0008717,2.3884,68.964,88.32,1.3667,7923.4,161.7
70,0.00086818,2.3776,68.674,88.102,1.3806,7948.1,161.2
71,0.00086462,2.3738,68.942,88.392,1.3632,7951.4,161.1
72,0.00086102,2.3721,69.01,88.474,1.3568,7940.8,161.3
73,0.00085738,2.3647,68.994,88.366,1.3682,7933.1,161.5
74,0.0008537,2.3563,68.97,88.642,1.3583,7939.4,161.3
75,0.00084998,2.3517,68.958,88.536,1.3565,7966.2,160.8
76,0.00084623,2.356,68.974,88.342,1.3679,7912.0,161.9
77,0.00084243,2.346,68.97,88.542,1.3595,7959.7,160.9
78,0.0008386,2.3418,69.13,88.654,1.3444,7954.8,161.0
79,0.00083473,2.3411,69.45,88.772,1.3428,7945.7,161.2
80,0.00083083,2.3315,69.168,88.542,1.3532,7952.8,161.1
81,0.00082689,2.3239,69.234,88.704,1.3417,7941.6,161.3
82,0.00082291,2.323,69.07,88.756,1.3505,7949.6,161.1
83,0.0008189,2.3201,69.512,88.746,1.3336,7958.7,161.0
84,0.00081485,2.3168,68.966,88.488,1.3475,7972.3,160.7
85,0.00081077,2.317,69.66,88.832,1.3224,7959.7,160.9
86,0.00080665,2.3089,69.682,88.68,1.345,7927.3,161.6
87,0.0008025,2.3147,69.682,88.824,1.3325,7934.8,161.4
88,0.00079832,2.3019,69.868,89.126,1.3224,7954.6,161.0
89,0.0007941,2.3014,69.652,88.95,1.3307,7938.1,161.4
90,0.00078985,2.2901,69.918,89.108,1.3224,7931.9,161.5
91,0.00078557,2.2897,69.71,88.872,1.335,7964.0,160.9
92,0.00078126,2.2868,69.722,88.91,1.3238,7917.8,161.8
93,0.00077692,2.2839,70.082,89.008,1.3197,7947.0,161.2
