epoch,iter,layer,grad_phi_norm
0,0,0,6.191387365106493e-05
0,0,1,2.172996937588323e-05
0,0,2,1.2020045687677339e-05
0,0,3,7.66038465371821e-06
0,0,4,1.0655065125320107e-05
0,0,5,7.883622856752481e-06
0,0,6,9.863259037956595e-06
0,0,7,5.497013717103982e-06
0,0,8,4.940111921314383e-06
0,0,9,5.636016339849448e-06
0,0,10,3.2697614642529516e-06
0,0,11,0.0
0,100,0,6.110999675001949e-05
0,100,1,1.9911087292712182e-05
0,100,2,1.8313898181077093e-05
0,100,3,1.0570398444542661e-05
0,100,4,1.1842071216960903e-05
0,100,5,1.0200436918239575e-05
0,100,6,7.315612947422778e-06
0,100,7,6.22299603492138e-06
0,100,8,7.676359928154852e-06
0,100,9,3.196307716279989e-06
0,100,10,3.573665708245244e-06
0,100,11,0.0
0,200,0,6.038512947270647e-05
0,200,1,3.156396996928379e-05
0,200,2,1.926083496073261e-05
0,200,3,1.2739993508148473e-05
0,200,4,1.4320799891720526e-05
0,200,5,9.370961379318032e-06
0,200,6,6.362062322295969e-06
0,200,7,6.761616987205343e-06
0,200,8,4.329352577769896e-06
0,200,9,4.059892035002122e-06
0,200,10,3.155389549647225e-06
0,200,11,0.0
0,300,0,6.9554997025989e-05
0,300,1,2.5347364498884417e-05
0,300,2,1.4084457689023111e-05
0,300,3,2.3012145902612247e-05
0,300,4,1.2745576896122657e-05
0,300,5,5.708379376301309e-06
0,300,6,6.295261755440151e-06
0,300,7,7.826022738299798e-06
0,300,8,5.9383669395174365e-06
0,300,9,3.6336259654490277e-06
0,300,10,3.047059863092727e-06
0,300,11,0.0
0,400,0,6.123377534095198e-05
0,400,1,2.46947802224895e-05
0,400,2,1.9705306840478443e-05
0,400,3,1.5566089132335037e-05
0,400,4,1.2119492566853296e-05
0,400,5,9.344056707050186e-06
0,400,6,7.000847745075589e-06
0,400,7,8.280602742161136e-06
0,400,8,3.800663307629293e-06
0,400,9,1.5852755268497276e-06
0,400,10,3.115557774435729e-06
0,400,11,0.0
0,500,0,8.40989378048107e-05
0,500,1,2.321882129763253e-05
0,500,2,2.283304274897091e-05
0,500,3,9.751985999173485e-06
0,500,4,1.1296665434201714e-05
0,500,5,6.1492869463108946e-06
0,500,6,8.879106644599233e-06
0,500,7,8.69884024723433e-06
0,500,8,5.935855369898491e-06
0,500,9,5.262651484372327e-06
0,500,10,2.185678567911964e-06
0,500,11,0.0
0,600,0,7.299389108084142e-05
0,600,1,2.5676557925180532e-05
0,600,2,1.3977588423585985e-05
0,600,3,1.565115417179186e-05
0,600,4,6.585458777408348e-06
0,600,5,1.4102435670793056e-05
0,600,6,9.192267498292495e-06
0,600,7,4.908730261377059e-06
0,600,8,3.2399095744040096e-06
0,600,9,3.445383299549576e-06
0,600,10,1.7883237433125032e-06
0,600,11,0.0
0,700,0,5.42636880709324e-05
0,700,1,2.25739258894464e-05
0,700,2,1.4703165106766392e-05
0,700,3,1.2689843060798012e-05
0,700,4,7.1752051553630736e-06
0,700,5,7.158334028645186e-06
0,700,6,7.238280886667781e-06
0,700,7,7.812962394382339e-06
0,700,8,3.6332173749542562e-06
0,700,9,1.931342694660998e-06
0,700,10,2.1346511402953183e-06
0,700,11,0.0
0,800,0,3.5211927752243355e-05
0,800,1,1.9159639123245142e-05
0,800,2,2.2834885385236703e-05
