epoch,lr,train_loss,val_top1_full,val_top5_full,val_loss,img_per_sec,wall_time
0,5.091e-05,6.6609,3.834,11.596,6.0684,7540.3,169.9
1,0.00010086,6.0518,8.384,21.48,5.3231,7841.5,163.4
2,0.00015081,5.6436,13.104,30.34,4.7511,7804.4,164.1
3,0.00020076,5.3123,18.676,39.1,4.2844,7813.8,163.9
4,0.00025071,4.9753,24.834,47.81,3.815,7756.2,165.2
5,0.00030066,4.6568,30.238,54.13,3.4397,7807.4,164.1
6,0.00035061,4.3901,34.84,59.768,3.1386,7765.5,165.0
7,0.00040056,4.1745,39.246,64.302,2.8705,7839.9,163.4
8,0.00045051,4.0017,41.484,66.774,2.7348,7831.0,163.6
9,0.00050046,3.8603,44.374,69.478,2.5839,7835.2,163.5
10,0.00055041,3.7444,46.188,71.366,2.4635,7872.0,162.7
11,0.00060036,3.6371,47.7,72.928,2.38,7872.6,162.7
12,0.00065031,3.5555,49.896,74.45,2.2765,7869.6,162.8
13,0.00070026,3.4855,51.152,75.324,2.215,7858.4,163.0
14,0.00075021,3.4198,52.38,76.83,2.1459,7841.5,163.4
15,0.00080016,3.3631,53.156,77.288,2.0963,7836.1,163.5
16,0.00085011,3.3145,54.09,78.244,2.0433,7873.2,162.7
17,0.00090006,3.2692,54.912,78.808,2.0179,7777.1,164.7
18,0.00095001,3.2207,55.608,79.108,2.0035,7886.9,162.4
19,0.00099996,3.1781,56.426,79.684,1.9458,7880.0,162.6
20,0.00098797,3.129,57.758,80.74,1.8864,7879.9,162.6
21,0.0009868,3.0742,58.422,81.624,1.8397,7877.6,162.6
22,0.00098558,3.0252,59.196,82.036,1.8081,7871.1,162.8
23,0.00098431,2.9862,59.858,82.458,1.7724,7875.4,162.7
24,0.00098298,2.9487,60.276,82.794,1.76,7885.7,162.4
25,0.0009816,2.917,61.004,83.254,1.7224,7899.5,162.2
26,0.00098017,2.8848,61.848,83.814,1.6877,7891.0,162.3
27,0.00097868,2.8579,62.288,84.032,1.6639,7450.4,171.9
28,0.00097714,2.8258,62.284,84.162,1.6565,7903.1,162.1
29,0.00097555,2.798,62.664,84.532,1.6294,7890.6,162.3
30,0.00097391,2.7755,63.354,84.928,1.6243,7892.7,162.3
31,0.00097222,2.752,64.038,85.306,1.5925,7895.7,162.2
32,0.00097047,2.729,64.022,85.322,1.574,7889.4,162.4
33,0.00096867,2.7141,64.048,85.446,1.5762,7890.3,162.4
34,0.00096682,2.6911,64.474,85.724,1.5621,7883.6,162.5
35,0.00096492,2.6794,64.886,86.02,1.5459,7898.0,162.2
36,0.00096297,2.659,65.206,86.22,1.5334,7896.0,162.2
37,0.00096097,2.6483,65.644,86.464,1.5126,7908.3,162.0
38,0.00095892,2.631,65.79,86.422,1.5042,7909.2,162.0
39,0.00095682,2.6157,66.016,86.664,1.4889,7904.8,162.1
40,0.00095467,2.6029,66.136,86.77,1.4774,7895.7,162.2
41,0.00095246,2.5949,65.94,86.876,1.4789,7898.9,162.2
42,0.00095021,2.5803,66.22,86.954,1.4798,7897.6,162.2
43,0.00094791,2.5607,66.506,87.024,1.4608,7902.8,162.1
44,0.00094556,2.5575,66.566,87.01,1.468,7910.0,162.0
45,0.00094316,2.5487,66.728,86.984,1.463,7912.4,161.9
46,0.00094071,2.5397,66.722,87.23,1.4699,7919.7,161.8
47,0.00093822,2.5312,67.09,87.286,1.4522,7918.7,161.8
48,0.00093567,2.5155,67.01,87.396,1.446,7913.0,161.9
49,0.00093308,2.51,67.426,87.522,1.4294,7915.6,161.8
50,0.00093044,2.499,67.45,87.596,1.4309,7913.3,161.9
51,0.00092776,2.4957,67.442,87.442,1.4168,7914.7,161.9
52,0.00092502,2.4848,67.524,87.626,1.4279,7913.6,161.9
53,0.00092224,2.479,67.868,88.072,1.402,7911.3,161.9
54,0.00091942,2.468,68.202,87.878,1.3974,7920.7,161.7
55,0.00091655,2.462,68.044,88.124,1.3956,7916.5,161.8
56,0.00091363,2.462,67.916,87.822,1.4045,7708.7,166.2
57,0.00091067,2.4503,68.114,88.006,1.3933,7777.6,164.7
58,0.00090766,2.4526,68.502,87.976,1.3895,7927.6,161.6
59,0.00090461,2.4428,68.358,88.162,1.3921,7921.0,161.7
60,0.00090151,2.4314,67.988,88.082,1.3941,7922.1,161.7
61,0.00089837,2.4276,68.216,88.072,1.3838,7926.7,161.6
62,0.00089518,2.4276,68.586,88.08,1.3831,7925.6,161.6
63,0.00089196,2.4132,68.678,88.244,1.3784,7923.8,161.7
64,0.00088869,2.4078,68.816,88.444,1.3614,7914.6,161.9
65,0.00088537,2.4111,68.828,88.33,1.3622,7928.2,161.6
66,0.00088202,2.4047,68.874,88.324,1.3632,7925.1,161.6
67,0.00087862,2.3975,68.86,88.434,1.3565,7923.4,161.7
68,0.00087518,2.3877,68.718,88.22,1.3716,7924.3,161.7
69,0.0008717,2.3911,69.128,88.602,1.3508,7916.4,161.8
70,0.00086818,2.3791,68.87,88.396,1.3651,7303.9,175.4
71,0.00086462,2.3745,69.152,88.664,1.3561,7130.9,179.6
72,0.00086102,2.3735,69.3,88.572,1.35,7300.4,175.5
73,0.00085738,2.3654,69.746,88.728,1.3367,7447.8,172.0
74,0.0008537,2.3579,69.382,88.662,1.3357,7540.8,169.9
75,0.00084998,2.3558,69.432,88.904,1.3343,7914.0,161.9
76,0.00084623,2.3565,69.296,88.73,1.3511,7927.8,161.6
77,0.00084243,2.3465,69.52,88.754,1.3461,7503.5,170.7
78,0.0008386,2.3396,69.488,88.912,1.3347,7943.9,161.3
79,0.00083473,2.3425,69.642,88.976,1.3257,7917.1,161.8
