epoch,lr,train_loss,val_top1
0,1e-05,4.159,18.571
1,9.997557473810373e-06,3.3328,40.857
2,9.990232305719946e-06,2.7971,47.143
3,9.978031724785247e-06,2.4306,54.571
4,9.960967771506668e-06,2.2289,59.286
5,9.939057285945934e-06,2.0526,61.286
6,9.912321891107011e-06,1.9214,63.143
7,9.8807879715968e-06,1.8261,65.571
8,9.844486647586724e-06,1.7539,65.714
9,9.80345374410087e-06,1.7029,65.571
10,9.757729755661012e-06,1.6482,67.857
11,9.707359806323418e-06,1.5893,68.857
12,9.652393605146846e-06,1.5508,67.571
13,9.592885397135709e-06,1.5197,69.286
14,9.5288939097068e-06,1.4958,69.286
15,9.460482294732423e-06,1.4424,69.429
16,9.387718066217127e-06,1.4221,70.143
17,9.310673033669524e-06,1.3932,70.429
18,9.229423231234978e-06,1.3958,70.857
19,9.144048842659085e-06,1.3717,69.0
20,9.054634122155994e-06,1.3576,71.714
21,8.961267311259671e-06,1.3417,70.714
22,8.864040551740162e-06,1.3185,71.571
23,8.76304979467078e-06,1.3015,72.571
24,8.658394705735992e-06,1.2817,70.571
25,8.550178566873415e-06,1.2737,70.286
26,8.438508174347015e-06,1.2567,71.714
27,8.323493733352083e-06,1.258,70.857
28,8.205248749256021e-06,1.2388,70.286
29,8.083889915582242e-06,1.2366,71.857
30,7.95953699884775e-06,1.2365,71.143
31,7.832312720368054e-06,1.2152,70.714
32,7.70234263514604e-06,1.1944,72.571
33,7.569755007964345e-06,1.1999,70.857
34,7.434680686803498e-06,1.1809,71.286
35,7.297252973710764e-06,1.1909,69.571
36,7.157607493247117e-06,1.1755,71.0
37,7.01588205864217e-06,1.1745,69.143
38,6.872216535789163e-06,1.1738,71.286
39,6.726752705214199e-06,1.1619,71.143
40,6.579634122155996e-06,1.1594,71.286
41,6.431005974894191e-06,1.1412,71.143
42,6.281014941466035e-06,1.1325,72.429
43,6.129809044912891e-06,1.1433,71.0
44,5.977537507199342e-06,1.1328,71.286
45,5.824350601949147e-06,1.1422,69.857
46,5.670399506143312e-06,1.122,72.0
47,5.5158361509266505e-06,1.1303,72.714
48,5.3608130716701065e-06,1.1232,70.857
49,5.20548325743674e-06,1.1196,72.429
50,5.050000000000004e-06,1.1043,70.714
51,4.894516742563269e-06,1.1115,73.0
52,4.739186928329903e-06,1.1163,72.857
53,4.584163849073358e-06,1.1172,71.857
54,4.4296004938566975e-06,1.0881,72.714
55,4.27564939805086e-06,1.0928,73.0
56,4.122462492800666e-06,1.0983,71.286
57,3.970190955087119e-06,1.0867,72.143
58,3.818985058533972e-06,1.1059,72.143
59,3.668994025105819e-06,1.0732,72.0
60,3.520365877844015e-06,1.0755,71.857
61,3.373247294785811e-06,1.0802,72.857
62,3.2277834642108485e-06,1.0924,72.714
63,3.084117941357838e-06,1.0741,72.429
64,2.9423925067528926e-06,1.0813,72.571
65,2.8027470262892456e-06,1.0701,72.714
66,2.6653193131965106e-06,1.0744,72.143
67,2.530244992035664e-06,1.07,71.571
68,2.3976573648539675e-06,1.075,73.429
69,2.2676872796319552e-06,1.0672,72.714
70,2.1404630011522605e-06,1.0651,72.143
71,2.016110084417768e-06,1.0504,72.857
72,1.8947512507439876e-06,1.06,72.714
73,1.776506266647926e-06,1.0627,72.571
74,1.6614918256529925e-06,1.0517,72.286
75,1.5498214331265917e-06,1.049,73.143
76,1.4416052942640153e-06,1.0595,72.714
77,1.3369502053292262e-06,1.0572,72.714
78,1.2359594482598451e-06,1.0397,72.286
79,1.1387326887403337e-06,1.056,72.714
80,1.045365877844012e-06,1.0473,72.286
81,9.559511573409206e-07,1.0516,73.143
82,8.705767687650274e-07,1.0583,72.857
83,7.893269663304793e-07,1.043,73.286
84,7.122819337828761e-07,1.0395,73.714
85,6.395177052675802e-07,1.0488,72.857
86,5.711060902932049e-07,1.045,72.429
87,5.071146028642951e-07,1.0434,72.857
88,4.476063948531563e-07,1.042,73.0
89,3.926401936765844e-07,1.0399,72.286
90,3.4227024433899036e-07,1.0441,72.857
91,2.9654625589913263e-07,1.0407,72.571
92,2.5551335241327693e-07,1.0492,72.286
93,2.192120284032009e-07,1.0481,73.286
94,1.8767810889299096e-07,1.0327,72.857
95,1.6094271405406866e-07,1.0515,73.0
96,1.390322284933351e-07,1.0405,73.286
97,1.2196827521475405e-07,1.0392,73.143
98,1.097676942800558e-07,1.0552,73.143
99,1.0244252618962858e-07,1.0389,72.857
