epoch,lr,train_loss,val_top1
0,1e-05,4.1183,19.857
1,9.997557473810373e-06,3.3233,38.857
2,9.990232305719946e-06,2.8099,47.286
3,9.978031724785247e-06,2.4453,53.714
4,9.960967771506668e-06,2.2475,58.714
5,9.939057285945934e-06,2.0852,60.571
6,9.912321891107011e-06,1.9447,64.429
7,9.8807879715968e-06,1.8602,63.286
8,9.844486647586724e-06,1.7764,65.857
9,9.80345374410087e-06,1.721,68.857
10,9.757729755661012e-06,1.6598,69.286
11,9.707359806323418e-06,1.6094,70.714
12,9.652393605146846e-06,1.5683,70.286
13,9.592885397135709e-06,1.5358,70.571
14,9.5288939097068e-06,1.5194,71.0
15,9.460482294732423e-06,1.4549,70.857
16,9.387718066217127e-06,1.4326,72.0
17,9.310673033669524e-06,1.4051,71.143
18,9.229423231234978e-06,1.3987,71.714
19,9.144048842659085e-06,1.3753,70.571
20,9.054634122155994e-06,1.3724,71.429
21,8.961267311259671e-06,1.3465,73.143
22,8.864040551740162e-06,1.3209,71.143
23,8.76304979467078e-06,1.3102,72.571
24,8.658394705735992e-06,1.2886,70.571
25,8.550178566873415e-06,1.2794,70.857
26,8.438508174347015e-06,1.2629,72.857
27,8.323493733352083e-06,1.2564,70.857
28,8.205248749256021e-06,1.2385,71.286
29,8.083889915582242e-06,1.2483,74.143
30,7.95953699884775e-06,1.2376,71.857
31,7.832312720368054e-06,1.2178,72.143
32,7.70234263514604e-06,1.1983,70.0
33,7.569755007964345e-06,1.206,72.0
34,7.434680686803498e-06,1.1835,71.857
35,7.297252973710764e-06,1.1855,72.0
36,7.157607493247117e-06,1.1862,72.857
37,7.01588205864217e-06,1.1697,73.143
38,6.872216535789163e-06,1.1661,72.0
39,6.726752705214199e-06,1.1618,72.429
40,6.579634122155996e-06,1.1619,72.143
41,6.431005974894191e-06,1.1371,71.286
42,6.281014941466035e-06,1.141,73.429
43,6.129809044912891e-06,1.1405,72.286
44,5.977537507199342e-06,1.1377,71.429
45,5.824350601949147e-06,1.1404,71.429
46,5.670399506143312e-06,1.1143,71.714
47,5.5158361509266505e-06,1.1276,71.714
48,5.3608130716701065e-06,1.1172,71.143
49,5.20548325743674e-06,1.1091,72.429
50,5.050000000000004e-06,1.1096,72.857
51,4.894516742563269e-06,1.1037,72.0
52,4.739186928329903e-06,1.1175,72.571
53,4.584163849073358e-06,1.1109,71.143
54,4.4296004938566975e-06,1.0774,72.714
55,4.27564939805086e-06,1.1025,74.286
56,4.122462492800666e-06,1.0904,73.429
57,3.970190955087119e-06,1.0828,72.857
58,3.818985058533972e-06,1.1016,72.714
59,3.668994025105819e-06,1.0769,73.286
60,3.520365877844015e-06,1.0784,72.857
61,3.373247294785811e-06,1.0721,72.571
62,3.2277834642108485e-06,1.0834,73.143
63,3.084117941357838e-06,1.074,74.0
64,2.9423925067528926e-06,1.0873,72.857
65,2.8027470262892456e-06,1.0733,72.857
66,2.6653193131965106e-06,1.0659,73.571
67,2.530244992035664e-06,1.0607,73.714
68,2.3976573648539675e-06,1.0642,73.571
69,2.2676872796319552e-06,1.0642,75.0
70,2.1404630011522605e-06,1.0644,73.857
71,2.016110084417768e-06,1.0475,73.429
72,1.8947512507439876e-06,1.0605,73.429
73,1.776506266647926e-06,1.0598,74.0
74,1.6614918256529925e-06,1.0461,73.429
75,1.5498214331265917e-06,1.0442,73.286
76,1.4416052942640153e-06,1.0557,73.429
77,1.3369502053292262e-06,1.057,74.143
78,1.2359594482598451e-06,1.0405,74.0
79,1.1387326887403337e-06,1.0494,73.571
80,1.045365877844012e-06,1.0448,73.857
81,9.559511573409206e-07,1.048,73.857
82,8.705767687650274e-07,1.0538,74.143
83,7.893269663304793e-07,1.0426,74.286
84,7.122819337828761e-07,1.0385,74.143
85,6.395177052675802e-07,1.0531,73.571
86,5.711060902932049e-07,1.038,73.0
87,5.071146028642951e-07,1.0387,73.857
88,4.476063948531563e-07,1.0415,73.286
89,3.926401936765844e-07,1.0339,73.0
90,3.4227024433899036e-07,1.0418,73.857
91,2.9654625589913263e-07,1.0366,73.429
92,2.5551335241327693e-07,1.0483,73.857
93,2.192120284032009e-07,1.0411,73.857
94,1.8767810889299096e-07,1.0296,73.714
95,1.6094271405406866e-07,1.0444,73.714
96,1.390322284933351e-07,1.0396,73.571
97,1.2196827521475405e-07,1.032,73.714
98,1.097676942800558e-07,1.0468,73.429
99,1.0244252618962858e-07,1.0354,73.429
