epoch,lr,train_loss,val_top1
0,1e-05,4.1615,19.571
1,9.997557473810373e-06,3.4426,32.286
2,9.990232305719946e-06,3.0281,39.286
3,9.978031724785247e-06,2.7515,47.571
4,9.960967771506668e-06,2.5416,50.571
5,9.939057285945934e-06,2.394,54.571
6,9.912321891107011e-06,2.276,57.143
7,9.8807879715968e-06,2.1789,58.0
8,9.844486647586724e-06,2.0996,61.0
9,9.80345374410087e-06,2.0352,61.429
10,9.757729755661012e-06,1.9628,62.571
11,9.707359806323418e-06,1.9208,64.714
12,9.652393605146846e-06,1.8622,65.714
13,9.592885397135709e-06,1.8298,65.0
14,9.5288939097068e-06,1.7875,65.571
15,9.460482294732423e-06,1.7572,66.714
16,9.387718066217127e-06,1.7239,67.857
17,9.310673033669524e-06,1.6982,67.143
18,9.229423231234978e-06,1.6646,67.143
19,9.144048842659085e-06,1.6428,68.286
20,9.054634122155994e-06,1.6192,67.714
21,8.961267311259671e-06,1.6121,69.857
22,8.864040551740162e-06,1.5752,69.571
23,8.76304979467078e-06,1.5566,68.286
24,8.658394705735992e-06,1.5605,69.571
25,8.550178566873415e-06,1.5151,70.0
26,8.438508174347015e-06,1.5025,69.571
27,8.323493733352083e-06,1.4998,70.143
28,8.205248749256021e-06,1.47,71.143
29,8.083889915582242e-06,1.4833,71.429
30,7.95953699884775e-06,1.4619,68.571
31,7.832312720368054e-06,1.4358,70.143
32,7.70234263514604e-06,1.4415,70.857
33,7.569755007964345e-06,1.437,71.286
34,7.434680686803498e-06,1.3904,71.714
35,7.297252973710764e-06,1.4065,71.714
36,7.157607493247117e-06,1.3927,71.286
37,7.01588205864217e-06,1.3824,72.286
38,6.872216535789163e-06,1.3811,72.429
39,6.726752705214199e-06,1.3779,70.714
40,6.579634122155996e-06,1.3779,71.714
41,6.431005974894191e-06,1.3523,71.571
42,6.281014941466035e-06,1.3661,72.429
43,6.129809044912891e-06,1.3333,71.714
44,5.977537507199342e-06,1.34,72.571
45,5.824350601949147e-06,1.3249,71.429
46,5.670399506143312e-06,1.3331,72.714
47,5.5158361509266505e-06,1.3238,71.429
48,5.3608130716701065e-06,1.3094,72.714
49,5.20548325743674e-06,1.3119,71.714
50,5.050000000000004e-06,1.2969,71.571
51,4.894516742563269e-06,1.2869,72.857
52,4.739186928329903e-06,1.2841,72.429
53,4.584163849073358e-06,1.2713,71.429
54,4.4296004938566975e-06,1.2682,73.857
55,4.27564939805086e-06,1.2665,71.429
56,4.122462492800666e-06,1.2788,72.571
57,3.970190955087119e-06,1.2716,71.429
58,3.818985058533972e-06,1.2663,72.714
59,3.668994025105819e-06,1.265,73.429
60,3.520365877844015e-06,1.2582,72.0
61,3.373247294785811e-06,1.2566,71.857
62,3.2277834642108485e-06,1.2498,72.429
63,3.084117941357838e-06,1.2345,72.0
64,2.9423925067528926e-06,1.2384,73.0
65,2.8027470262892456e-06,1.2341,72.143
66,2.6653193131965106e-06,1.2327,72.714
67,2.530244992035664e-06,1.2422,73.286
68,2.3976573648539675e-06,1.2209,73.429
69,2.2676872796319552e-06,1.2382,72.143
70,2.1404630011522605e-06,1.2219,72.714
71,2.016110084417768e-06,1.217,72.286
72,1.8947512507439876e-06,1.2202,72.857
73,1.776506266647926e-06,1.2317,73.0
74,1.6614918256529925e-06,1.2104,72.429
75,1.5498214331265917e-06,1.2247,73.143
76,1.4416052942640153e-06,1.2293,72.714
77,1.3369502053292262e-06,1.2057,72.429
78,1.2359594482598451e-06,1.19,72.143
79,1.1387326887403337e-06,1.2225,73.0
80,1.045365877844012e-06,1.2148,73.0
81,9.559511573409206e-07,1.2129,72.857
82,8.705767687650274e-07,1.2081,72.714
83,7.893269663304793e-07,1.2119,72.714
84,7.122819337828761e-07,1.208,73.0
85,6.395177052675802e-07,1.209,72.857
86,5.711060902932049e-07,1.1878,72.857
87,5.071146028642951e-07,1.2161,73.143
88,4.476063948531563e-07,1.2007,73.0
89,3.926401936765844e-07,1.2076,73.0
90,3.4227024433899036e-07,1.2019,72.714
91,2.9654625589913263e-07,1.2133,72.714
92,2.5551335241327693e-07,1.2073,73.143
93,2.192120284032009e-07,1.201,73.143
94,1.8767810889299096e-07,1.2018,72.714
95,1.6094271405406866e-07,1.1906,72.429
96,1.390322284933351e-07,1.2011,72.714
97,1.2196827521475405e-07,1.1888,72.429
98,1.097676942800558e-07,1.2079,72.571
99,1.0244252618962858e-07,1.2074,72.571
