epoch,lr,train_loss,val_top1
0,1e-05,4.154,18.857
1,9.997557473810373e-06,3.4617,32.286
2,9.990232305719946e-06,3.029,40.571
3,9.978031724785247e-06,2.7557,50.0
4,9.960967771506668e-06,2.5298,54.286
5,9.939057285945934e-06,2.3754,56.857
6,9.912321891107011e-06,2.2778,59.857
7,9.8807879715968e-06,2.181,58.714
8,9.844486647586724e-06,2.096,63.286
9,9.80345374410087e-06,2.0185,61.714
10,9.757729755661012e-06,1.9586,64.286
11,9.707359806323418e-06,1.9201,65.857
12,9.652393605146846e-06,1.8716,66.429
13,9.592885397135709e-06,1.8477,68.429
14,9.5288939097068e-06,1.7884,67.143
15,9.460482294732423e-06,1.7671,67.0
16,9.387718066217127e-06,1.7238,69.143
17,9.310673033669524e-06,1.7059,69.571
18,9.229423231234978e-06,1.6748,70.143
19,9.144048842659085e-06,1.6552,71.857
20,9.054634122155994e-06,1.6286,69.857
21,8.961267311259671e-06,1.6187,69.571
22,8.864040551740162e-06,1.5942,70.714
23,8.76304979467078e-06,1.5744,71.0
24,8.658394705735992e-06,1.562,70.571
25,8.550178566873415e-06,1.535,72.0
26,8.438508174347015e-06,1.5117,71.429
27,8.323493733352083e-06,1.4985,71.429
28,8.205248749256021e-06,1.4902,72.857
29,8.083889915582242e-06,1.4877,71.714
30,7.95953699884775e-06,1.4644,73.0
31,7.832312720368054e-06,1.4389,72.857
32,7.70234263514604e-06,1.4441,72.571
33,7.569755007964345e-06,1.4425,73.857
34,7.434680686803498e-06,1.408,72.571
35,7.297252973710764e-06,1.4154,71.857
36,7.157607493247117e-06,1.3986,74.0
37,7.01588205864217e-06,1.3942,73.571
38,6.872216535789163e-06,1.4027,72.857
39,6.726752705214199e-06,1.377,73.0
40,6.579634122155996e-06,1.3851,72.857
41,6.431005974894191e-06,1.3521,72.571
42,6.281014941466035e-06,1.3682,73.429
43,6.129809044912891e-06,1.3407,71.857
44,5.977537507199342e-06,1.3436,72.571
45,5.824350601949147e-06,1.3254,72.571
46,5.670399506143312e-06,1.3318,73.0
47,5.5158361509266505e-06,1.3287,72.857
48,5.3608130716701065e-06,1.3143,73.857
49,5.20548325743674e-06,1.3196,73.286
50,5.050000000000004e-06,1.3021,73.571
51,4.894516742563269e-06,1.2945,74.0
52,4.739186928329903e-06,1.3019,73.286
53,4.584163849073358e-06,1.2827,73.571
54,4.4296004938566975e-06,1.288,73.0
55,4.27564939805086e-06,1.275,74.0
56,4.122462492800666e-06,1.2835,74.0
57,3.970190955087119e-06,1.2809,73.143
58,3.818985058533972e-06,1.2754,73.571
59,3.668994025105819e-06,1.2647,76.0
60,3.520365877844015e-06,1.2688,73.714
61,3.373247294785811e-06,1.2621,74.286
62,3.2277834642108485e-06,1.2588,74.0
63,3.084117941357838e-06,1.2427,74.286
64,2.9423925067528926e-06,1.2403,73.429
65,2.8027470262892456e-06,1.2337,73.857
66,2.6653193131965106e-06,1.2447,74.143
67,2.530244992035664e-06,1.2404,74.286
68,2.3976573648539675e-06,1.224,73.571
69,2.2676872796319552e-06,1.2484,73.714
70,2.1404630011522605e-06,1.2263,74.143
71,2.016110084417768e-06,1.2297,74.0
72,1.8947512507439876e-06,1.2348,74.143
73,1.776506266647926e-06,1.2313,74.429
74,1.6614918256529925e-06,1.2242,74.429
75,1.5498214331265917e-06,1.2339,74.571
76,1.4416052942640153e-06,1.2237,75.286
77,1.3369502053292262e-06,1.2164,74.0
78,1.2359594482598451e-06,1.2026,73.857
79,1.1387326887403337e-06,1.2314,74.286
80,1.045365877844012e-06,1.2223,73.857
81,9.559511573409206e-07,1.2205,74.429
82,8.705767687650274e-07,1.211,74.286
83,7.893269663304793e-07,1.2197,74.714
84,7.122819337828761e-07,1.211,73.857
85,6.395177052675802e-07,1.2119,74.143
86,5.711060902932049e-07,1.1928,73.714
87,5.071146028642951e-07,1.2132,73.286
88,4.476063948531563e-07,1.2013,74.0
89,3.926401936765844e-07,1.2125,74.429
90,3.4227024433899036e-07,1.2069,74.143
91,2.9654625589913263e-07,1.2146,74.857
92,2.5551335241327693e-07,1.2108,74.286
93,2.192120284032009e-07,1.2075,74.429
94,1.8767810889299096e-07,1.2213,74.429
95,1.6094271405406866e-07,1.201,74.571
96,1.390322284933351e-07,1.21,73.857
97,1.2196827521475405e-07,1.2015,74.143
98,1.097676942800558e-07,1.2092,74.429
99,1.0244252618962858e-07,1.2029,74.429
