epoch,lr,train_loss,val_top1
0,1e-05,4.4448,38.833
1,9.997557473810373e-06,3.0033,62.833
2,9.990232305719946e-06,2.4315,68.5
3,9.978031724785247e-06,2.079,74.833
4,9.960967771506668e-06,1.8777,78.667
5,9.939057285945934e-06,1.7956,80.667
6,9.912321891107011e-06,1.681,82.667
7,9.8807879715968e-06,1.6144,82.667
8,9.844486647586724e-06,1.555,82.167
9,9.80345374410087e-06,1.4972,81.333
10,9.757729755661012e-06,1.4507,82.167
11,9.707359806323418e-06,1.4049,81.0
12,9.652393605146846e-06,1.3965,82.333
13,9.592885397135709e-06,1.356,81.833
14,9.5288939097068e-06,1.3425,83.0
15,9.460482294732423e-06,1.3161,82.333
16,9.387718066217127e-06,1.3134,82.0
17,9.310673033669524e-06,1.2972,82.5
18,9.229423231234978e-06,1.2818,82.5
19,9.144048842659085e-06,1.2634,82.667
20,9.054634122155994e-06,1.261,83.333
21,8.961267311259671e-06,1.2337,81.667
22,8.864040551740162e-06,1.24,81.5
