epoch,lr,train_loss,val_top1
0,1e-05,4.3747,37.5
1,9.997557473810373e-06,2.9808,58.0
2,9.990232305719946e-06,2.4551,67.833
3,9.978031724785247e-06,2.1234,73.833
4,9.960967771506668e-06,1.9338,77.167
5,9.939057285945934e-06,1.8409,79.5
6,9.912321891107011e-06,1.7209,79.5
7,9.8807879715968e-06,1.6584,81.667
8,9.844486647586724e-06,1.5997,82.5
9,9.80345374410087e-06,1.5394,81.333
10,9.757729755661012e-06,1.4876,81.5
11,9.707359806323418e-06,1.4485,79.333
12,9.652393605146846e-06,1.4395,80.167
13,9.592885397135709e-06,1.3909,80.667
14,9.5288939097068e-06,1.3801,82.167
15,9.460482294732423e-06,1.3457,82.167
16,9.387718066217127e-06,1.3445,81.833
17,9.310673033669524e-06,1.317,81.0
18,9.229423231234978e-06,1.2995,82.0
19,9.144048842659085e-06,1.2865,81.833
20,9.054634122155994e-06,1.2889,81.5
21,8.961267311259671e-06,1.2617,80.5
22,8.864040551740162e-06,1.2671,82.0
