epoch,lr,train_loss,val_top1
0,1e-05,4.4278,40.333
1,9.997557473810373e-06,3.0428,59.167
2,9.990232305719946e-06,2.5222,68.167
3,9.978031724785247e-06,2.2521,73.167
4,9.960967771506668e-06,2.0874,75.833
5,9.939057285945934e-06,1.9658,77.167
6,9.912321891107011e-06,1.8619,80.5
7,9.8807879715968e-06,1.8147,78.667
8,9.844486647586724e-06,1.7187,80.167
9,9.80345374410087e-06,1.7043,79.5
10,9.757729755661012e-06,1.6566,80.5
11,9.707359806323418e-06,1.625,79.5
12,9.652393605146846e-06,1.5929,80.0
13,9.592885397135709e-06,1.5504,80.833
14,9.5288939097068e-06,1.5473,81.667
15,9.460482294732423e-06,1.5168,82.667
16,9.387718066217127e-06,1.4972,82.333
17,9.310673033669524e-06,1.4637,82.0
18,9.229423231234978e-06,1.451,80.5
19,9.144048842659085e-06,1.4475,82.0
20,9.054634122155994e-06,1.4427,81.333
21,8.961267311259671e-06,1.4058,81.333
22,8.864040551740162e-06,1.4178,81.167
23,8.76304979467078e-06,1.3863,81.167
24,8.658394705735992e-06,1.3823,82.333
25,8.550178566873415e-06,1.3786,80.833
26,8.438508174347015e-06,1.3575,81.5
27,8.323493733352083e-06,1.3329,81.167
28,8.205248749256021e-06,1.358,81.0
29,8.083889915582242e-06,1.3257,81.833
30,7.95953699884775e-06,1.3359,80.5
31,7.832312720368054e-06,1.3306,81.167
32,7.70234263514604e-06,1.3112,82.167
33,7.569755007964345e-06,1.292,81.5
34,7.434680686803498e-06,1.2861,82.167
35,7.297252973710764e-06,1.2852,81.5
36,7.157607493247117e-06,1.2833,81.667
37,7.01588205864217e-06,1.2965,81.667
38,6.872216535789163e-06,1.2934,80.5
39,6.726752705214199e-06,1.2811,80.167
40,6.579634122155996e-06,1.2613,82.167
41,6.431005974894191e-06,1.2795,79.667
42,6.281014941466035e-06,1.2778,80.833
43,6.129809044912891e-06,1.2439,80.333
44,5.977537507199342e-06,1.2563,80.667
45,5.824350601949147e-06,1.2536,80.0
46,5.670399506143312e-06,1.2581,80.833
47,5.5158361509266505e-06,1.2301,80.333
48,5.3608130716701065e-06,1.2257,80.5
49,5.20548325743674e-06,1.2144,80.833
50,5.050000000000004e-06,1.2474,80.833
51,4.894516742563269e-06,1.2233,81.167
52,4.739186928329903e-06,1.2461,80.167
53,4.584163849073358e-06,1.2239,80.667
54,4.4296004938566975e-06,1.2401,80.667
55,4.27564939805086e-06,1.2318,80.667
56,4.122462492800666e-06,1.2132,80.5
57,3.970190955087119e-06,1.2082,80.333
58,3.818985058533972e-06,1.1964,80.667
59,3.668994025105819e-06,1.2041,80.333
60,3.520365877844015e-06,1.2229,80.0
61,3.373247294785811e-06,1.1978,81.0
62,3.2277834642108485e-06,1.2232,80.0
63,3.084117941357838e-06,1.1897,79.667
64,2.9423925067528926e-06,1.1997,79.833
65,2.8027470262892456e-06,1.2,81.0
66,2.6653193131965106e-06,1.192,79.833
67,2.530244992035664e-06,1.19,80.667
68,2.3976573648539675e-06,1.195,82.0
69,2.2676872796319552e-06,1.2057,81.5
70,2.1404630011522605e-06,1.1941,81.333
71,2.016110084417768e-06,1.198,81.333
72,1.8947512507439876e-06,1.1857,81.333
73,1.776506266647926e-06,1.1767,81.167
74,1.6614918256529925e-06,1.1697,81.0
75,1.5498214331265917e-06,1.1784,81.167
76,1.4416052942640153e-06,1.1914,81.167
77,1.3369502053292262e-06,1.1725,81.167
78,1.2359594482598451e-06,1.1979,81.333
79,1.1387326887403337e-06,1.1669,81.167
80,1.045365877844012e-06,1.1815,80.833
81,9.559511573409206e-07,1.1661,81.0
82,8.705767687650274e-07,1.1807,80.833
83,7.893269663304793e-07,1.1668,81.0
84,7.122819337828761e-07,1.1826,80.667
85,6.395177052675802e-07,1.178,81.167
86,5.711060902932049e-07,1.1611,81.333
87,5.071146028642951e-07,1.1592,81.0
88,4.476063948531563e-07,1.1705,81.167
89,3.926401936765844e-07,1.1752,80.5
90,3.4227024433899036e-07,1.1671,80.833
91,2.9654625589913263e-07,1.1765,80.667
92,2.5551335241327693e-07,1.1811,81.167
93,2.192120284032009e-07,1.1614,80.833
94,1.8767810889299096e-07,1.1717,80.833
95,1.6094271405406866e-07,1.1806,80.833
96,1.390322284933351e-07,1.1686,80.833
97,1.2196827521475405e-07,1.1663,81.0
98,1.097676942800558e-07,1.1705,81.0
99,1.0244252618962858e-07,1.1725,81.0
