epoch,lr,train_loss,val_top1
0,1e-05,4.4328,45.667
1,9.997557473810373e-06,3.0645,62.5
2,9.990232305719946e-06,2.5531,68.667
3,9.978031724785247e-06,2.2431,73.333
4,9.960967771506668e-06,2.08,75.167
5,9.939057285945934e-06,1.9992,76.0
6,9.912321891107011e-06,1.8852,79.333
7,9.8807879715968e-06,1.8176,81.167
8,9.844486647586724e-06,1.7668,79.5
9,9.80345374410087e-06,1.7087,81.0
10,9.757729755661012e-06,1.6658,81.0
11,9.707359806323418e-06,1.618,81.0
12,9.652393605146846e-06,1.6135,81.167
13,9.592885397135709e-06,1.5746,81.833
14,9.5288939097068e-06,1.5566,81.5
15,9.460482294732423e-06,1.5149,81.833
16,9.387718066217127e-06,1.5187,82.167
17,9.310673033669524e-06,1.4825,81.833
18,9.229423231234978e-06,1.4635,81.833
19,9.144048842659085e-06,1.4485,81.0
20,9.054634122155994e-06,1.4399,81.5
21,8.961267311259671e-06,1.4107,82.167
22,8.864040551740162e-06,1.4137,83.167
23,8.76304979467078e-06,1.3952,82.333
24,8.658394705735992e-06,1.3965,83.0
25,8.550178566873415e-06,1.3682,82.667
26,8.438508174347015e-06,1.3843,82.5
27,8.323493733352083e-06,1.359,82.667
28,8.205248749256021e-06,1.3366,82.833
29,8.083889915582242e-06,1.336,81.667
30,7.95953699884775e-06,1.3272,82.833
31,7.832312720368054e-06,1.341,81.833
32,7.70234263514604e-06,1.325,83.5
33,7.569755007964345e-06,1.3078,82.667
34,7.434680686803498e-06,1.3146,82.333
35,7.297252973710764e-06,1.3048,82.5
36,7.157607493247117e-06,1.3013,81.5
37,7.01588205864217e-06,1.3048,82.667
38,6.872216535789163e-06,1.2812,81.833
39,6.726752705214199e-06,1.2739,81.667
40,6.579634122155996e-06,1.2848,82.167
41,6.431005974894191e-06,1.2873,81.167
42,6.281014941466035e-06,1.2729,81.667
43,6.129809044912891e-06,1.253,81.5
44,5.977537507199342e-06,1.2655,80.333
45,5.824350601949147e-06,1.2532,81.667
46,5.670399506143312e-06,1.2457,81.833
47,5.5158361509266505e-06,1.2572,81.0
48,5.3608130716701065e-06,1.2673,81.333
49,5.20548325743674e-06,1.2336,81.5
50,5.050000000000004e-06,1.2465,82.0
51,4.894516742563269e-06,1.2486,81.167
52,4.739186928329903e-06,1.2422,80.5
53,4.584163849073358e-06,1.2287,82.5
54,4.4296004938566975e-06,1.2247,81.333
55,4.27564939805086e-06,1.2171,81.667
56,4.122462492800666e-06,1.238,81.833
57,3.970190955087119e-06,1.2326,81.667
58,3.818985058533972e-06,1.2253,81.833
59,3.668994025105819e-06,1.2128,81.833
60,3.520365877844015e-06,1.2,82.667
61,3.373247294785811e-06,1.2338,81.167
62,3.2277834642108485e-06,1.2138,81.667
63,3.084117941357838e-06,1.215,81.5
64,2.9423925067528926e-06,1.2042,81.833
65,2.8027470262892456e-06,1.2024,81.667
66,2.6653193131965106e-06,1.1992,82.0
67,2.530244992035664e-06,1.1951,80.5
68,2.3976573648539675e-06,1.2029,81.667
69,2.2676872796319552e-06,1.2199,81.333
70,2.1404630011522605e-06,1.1831,81.0
71,2.016110084417768e-06,1.2053,80.833
72,1.8947512507439876e-06,1.2041,81.5
73,1.776506266647926e-06,1.1901,80.5
74,1.6614918256529925e-06,1.1877,80.833
75,1.5498214331265917e-06,1.1983,81.167
76,1.4416052942640153e-06,1.2089,80.667
77,1.3369502053292262e-06,1.1936,80.833
78,1.2359594482598451e-06,1.1859,80.667
79,1.1387326887403337e-06,1.1893,80.833
80,1.045365877844012e-06,1.1841,81.333
81,9.559511573409206e-07,1.1968,81.0
82,8.705767687650274e-07,1.1782,81.0
83,7.893269663304793e-07,1.1897,81.167
84,7.122819337828761e-07,1.1771,81.167
85,6.395177052675802e-07,1.1725,81.0
86,5.711060902932049e-07,1.1722,81.5
87,5.071146028642951e-07,1.1743,81.333
88,4.476063948531563e-07,1.1658,81.0
89,3.926401936765844e-07,1.1763,81.5
90,3.4227024433899036e-07,1.1912,81.5
91,2.9654625589913263e-07,1.182,80.833
92,2.5551335241327693e-07,1.1917,81.0
93,2.192120284032009e-07,1.1932,81.167
94,1.8767810889299096e-07,1.1805,81.333
95,1.6094271405406866e-07,1.1666,81.333
96,1.390322284933351e-07,1.1692,81.0
97,1.2196827521475405e-07,1.1672,81.333
98,1.097676942800558e-07,1.1729,81.167
99,1.0244252618962858e-07,1.1831,81.167
