epoch,iter,layer,grad_phi_norm
0,0,0,4.3006253690691665e-05
0,0,1,1.5231829820550047e-05
0,0,2,2.533854785724543e-05
0,0,3,1.1348159205226693e-05
0,0,4,9.73249007074628e-06
0,0,5,8.814792636258062e-06
0,0,6,9.491496712143999e-06
0,0,7,7.514794106100453e-06
0,0,8,8.278251698357053e-06
0,0,9,4.2864098759309854e-06
0,0,10,2.7776079605246196e-06
0,0,11,0.0
0,100,0,4.9828715418698266e-05
0,100,1,2.1657144316122867e-05
0,100,2,1.3772121747024357e-05
0,100,3,1.1377535884093959e-05
0,100,4,9.037745257955976e-06
0,100,5,8.294243343698326e-06
0,100,6,5.298360065353336e-06
0,100,7,1.012056145555107e-05
0,100,8,6.3412458075617906e-06
0,100,9,6.193525223352481e-06
0,100,10,3.5372349884710275e-06
0,100,11,0.0
0,200,0,5.660555325448513e-05
0,200,1,2.199094342358876e-05
0,200,2,1.7868695067591034e-05
0,200,3,8.89356670086272e-06
0,200,4,9.183535439660773e-06
0,200,5,9.550307368044741e-06
0,200,6,9.208930350723676e-06
0,200,7,9.618775948183611e-06
0,200,8,6.960796326893615e-06
0,200,9,5.445368060463807e-06
0,200,10,2.5520862436678726e-06
0,200,11,0.0
0,300,0,6.248625868465751e-05
0,300,1,1.726232767396141e-05
0,300,2,1.959753717528656e-05
0,300,3,1.1046785402868409e-05
0,300,4,6.926639798621181e-06
0,300,5,8.404492291447241e-06
0,300,6,1.0439443940413184e-05
0,300,7,9.608287655282766e-06
0,300,8,5.094749667478027e-06
0,300,9,4.039160103275208e-06
0,300,10,2.9658610856131418e-06
0,300,11,0.0
0,400,0,3.5684253816725686e-05
0,400,1,1.0097165613842662e-05
0,400,2,1.635993248783052e-05
0,400,3,1.3604506420961116e-05
0,400,4,1.254278322448954e-05
0,400,5,9.321165634901263e-06
0,400,6,1.1263425221841317e-05
0,400,7,9.003004379337654e-06
0,400,8,5.7736783674045e-06
0,400,9,2.5831914172158577e-06
0,400,10,1.7637343034948572e-06
0,400,11,0.0
0,500,0,5.722550849895924e-05
0,500,1,1.7277669030590914e-05
0,500,2,1.1912084119103383e-05
0,500,3,9.9057369880029e-06
0,500,4,9.220218998962082e-06
0,500,5,8.678382982907351e-06
0,500,6,4.063556389155565e-06
0,500,7,3.785110493481625e-06
0,500,8,3.834108156297589e-06
0,500,9,3.7849317777727265e-06
0,500,10,3.995476163254352e-06
0,500,11,0.0
0,600,0,4.302966044633649e-05
0,600,1,1.2621710084204096e-05
0,600,2,1.76199282577727e-05
0,600,3,8.67418111738516e-06
0,600,4,7.399008609354496e-06
0,600,5,6.182515789987519e-06
0,600,6,6.4363284764112905e-06
0,600,7,5.9100334510731045e-06
0,600,8,7.784550689393654e-06
0,600,9,3.0878427423886023e-06
0,600,10,3.3829599033197155e-06
0,600,11,0.0
0,700,0,4.079561767866835e-05
0,700,1,2.2799224097980186e-05
0,700,2,8.762257493799552e-06
0,700,3,1.0722019396780524e-05
0,700,4,9.065521226148121e-06
0,700,5,5.837462140334537e-06
0,700,6,4.755299869430019e-06
0,700,7,7.676854693272617e-06
0,700,8,5.247556600807002e-06
0,700,9,3.453224508120911e-06
0,700,10,2.8132371880928986e-06
0,700,11,0.0
0,800,0,6.214461609488353e-05
0,800,1,1.8380689652985893e-05
0,800,2,1.395834897266468e-05
0,800,3,1.3879716789233498e-05
0,800,4,9.705442607810255e-06
0,800,5,7.107392320904182e-06
0,800,6,1.0745699910330586e-05
0,800,7,4.25737198384013e-06
0,800,8,6.009722710587084e-06
0,800,9,2.0334896362328436e-06
0,800,10,2.1120513338246383e-06
0,800,11,0.0
0,900,0,7.728747004875913e-05
0,900,1,2.3048916773404926e-05
0,900,2,1.1893275768670719e-05
0,900,3,1.0045649105450138e-05
0,900,4,1.0999731784977484e-05
0,900,5,3.769701834244188e-06
0,900,6,4.597700808517402e-06
0,900,7,5.642747055389918e-06
0,900,8,3.181644842698006e-06
0,900,9,2.2696906398778083e-06
0,900,10,1.3897947610530537e-06
0,900,11,0.0
0,1000,0,5.233749106992036e-05
0,1000,1,2.5786288460949436e-05
0,1000,2,1.9446741134743206e-05
0,1000,3,5.9756648624897934e-06
0,1000,4,6.012181529513327e-06
0,1000,5,4.242674094712129e-06
0,1000,6,4.238697329128627e-06
0,1000,7,3.020961457878002e-06
0,1000,8,1.546634734950203e-06
0,1000,9,2.255990011690301e-06
0,1000,10,7.017855523372418e-07
0,1000,11,0.0
0,1100,0,4.737603012472391e-05
0,1100,1,2.0751531337737106e-05
0,1100,2,9.252470590581652e-06
0,1100,3,4.927071586280363e-06
0,1100,4,6.95864446242922e-06
0,1100,5,3.4850609154091217e-06
0,1100,6,3.9904725781525485e-06
0,1100,7,2.751760575847584e-06
0,1100,8,2.4165572085621534e-06
0,1100,9,2.0755085188284284e-06
0,1100,10,1.1212480330868857e-06
0,1100,11,0.0
0,1200,0,6.14993623457849e-05
0,1200,1,2.4623936042189598e-05
0,1200,2,1.9851968318107538e-05
0,1200,3,9.457007763558067e-06
0,1200,4,7.004821327427635e-06
0,1200,5,6.028774805599824e-06
0,1200,6,3.948498033423675e-06
0,1200,7,3.82249982067151e-06
0,1200,8,2.8519341412902577e-06
0,1200,9,2.1110952275193995e-06
0,1200,10,9.878071978164371e-07
0,1200,11,0.0
1,0,0,6.911950913490728e-05
1,0,1,5.3454677981790155e-05
1,0,2,2.5064686269615777e-05
1,0,3,1.0131589988304768e-05
1,0,4,6.245638815016719e-06
1,0,5,4.903779881715309e-06
1,0,6,3.252845317547326e-06
1,0,7,3.1802842386241537e-06
1,0,8,2.6971263196173823e-06
1,0,9,1.4220655657481984e-06
1,0,10,6.501456937257899e-07
1,0,11,0.0
1,100,0,5.174856778467074e-05
1,100,1,3.7615969631588086e-05
1,100,2,1.912686275318265e-05
