epoch,lr_backbone,lr_head,train_loss,mIoU,img_per_sec,wall_time
0,1e-05,0.0001,1.5776,,245.41,82.3
1,9.9962e-06,9.99615e-05,1.1561,,253.11,79.8
2,9.9847e-06,9.9846e-05,0.9235,,166.22,121.6
3,9.9657e-06,9.96538e-05,0.8191,,165.36,122.2
4,9.9391e-06,9.9385e-05,0.7559,,166.17,121.6
5,9.9049e-06,9.90402e-05,0.6944,,166.57,121.3
6,9.8632e-06,9.86199e-05,0.6307,,166.21,121.6
7,9.8142e-06,9.81246e-05,0.5944,,166.63,121.3
8,9.7577e-06,9.75553e-05,0.5537,,160.02,126.3
9,9.694e-06,9.69127e-05,0.5214,39.5379,166.61,121.3
10,9.6232e-06,9.61978e-05,0.4888,,166.04,121.7
11,9.5453e-06,9.54118e-05,0.4719,,166.25,121.6
12,9.4605e-06,9.45558e-05,0.4529,,166.66,121.3
13,9.3689e-06,9.36312e-05,0.4208,,165.99,121.7
14,9.2706e-06,9.26394e-05,0.4055,,159.96,126.3
15,9.1658e-06,9.15819e-05,0.3827,,165.97,121.8
16,9.0546e-06,9.04604e-05,0.3818,,166.31,121.5
17,8.9373e-06,8.92766e-05,0.3686,,166.38,121.5
18,8.814e-06,8.80323e-05,0.3512,,158.72,127.3
19,8.6849e-06,8.67294e-05,0.3468,41.4988,166.69,121.2
20,8.5502e-06,8.537e-05,0.3226,,166.0,121.7
21,8.4101e-06,8.39561e-05,0.3186,,166.27,121.5
22,8.2648e-06,8.24899e-05,0.316,,166.36,121.5
23,8.1145e-06,8.09737e-05,0.3043,,165.95,121.8
24,7.9595e-06,7.94099e-05,0.2994,,166.09,121.7
25,7.8001e-06,7.78007e-05,0.2917,,166.13,121.6
26,7.6364e-06,7.61488e-05,0.282,,160.08,126.2
27,7.4687e-06,7.44566e-05,0.2798,,165.36,122.2
28,7.2973e-06,7.27268e-05,0.2667,,166.32,121.5
29,7.1224e-06,7.09621e-05,0.2594,42.5984,166.2,121.6
30,6.9443e-06,6.9165e-05,0.2573,,166.04,121.7
31,6.7633e-06,6.73385e-05,0.2502,,165.16,122.4
32,6.5796e-06,6.54854e-05,0.2436,,165.82,121.9
33,6.3936e-06,6.36085e-05,0.2465,,166.17,121.6
34,6.2056e-06,6.17106e-05,0.2386,,166.07,121.7
35,6.0157e-06,5.97948e-05,0.2353,,166.06,121.7
36,5.8244e-06,5.78639e-05,0.2298,,166.35,121.5
37,5.6318e-06,5.5921e-05,0.2209,,165.88,121.8
38,5.4384e-06,5.3969e-05,0.223,,166.19,121.6
39,5.2443e-06,5.2011e-05,0.2182,43.0915,166.36,121.5
40,5.05e-06,5.005e-05,0.2137,,166.15,121.6
41,4.8557e-06,4.8089e-05,0.2109,,165.93,121.8
42,4.6616e-06,4.6131e-05,0.2047,,166.47,121.4
43,4.4682e-06,4.4179e-05,0.2052,,165.97,121.8
44,4.2756e-06,4.22361e-05,0.2029,,166.75,121.2
45,4.0843e-06,4.03052e-05,0.1998,,166.43,121.4
46,3.8944e-06,3.83894e-05,0.1948,,165.9,121.8
47,3.7064e-06,3.64915e-05,0.197,,166.01,121.7
48,3.5204e-06,3.46146e-05,0.1898,,166.32,121.5
49,3.3367e-06,3.27615e-05,0.1858,43.2937,165.76,121.9
50,3.1557e-06,3.0935e-05,0.1858,,165.92,121.8
51,2.9776e-06,2.91379e-05,0.1858,,166.03,121.7
52,2.8027e-06,2.73732e-05,0.1852,,166.14,121.6
53,2.6313e-06,2.56434e-05,0.1834,,165.77,121.9
54,2.4636e-06,2.39512e-05,0.1821,,165.89,121.8
55,2.2999e-06,2.22993e-05,0.1801,,165.14,122.4
56,2.1405e-06,2.06901e-05,0.1784,,166.37,121.5
57,1.9855e-06,1.91263e-05,0.1771,,165.98,121.8
58,1.8352e-06,1.76101e-05,0.1746,,166.27,121.5
59,1.6899e-06,1.61439e-05,0.1736,43.526,165.95,121.8
60,1.5498e-06,1.473e-05,0.1725,,165.98,121.7
61,1.4151e-06,1.33706e-05,0.1712,,159.53,126.7
62,1.286e-06,1.20677e-05,0.1699,,166.14,121.6
63,1.1627e-06,1.08234e-05,0.1681,,159.3,126.9
64,1.0454e-06,9.6396e-06,0.1692,,165.72,121.9
65,9.342e-07,8.5181e-06,0.1702,,165.86,121.8
66,8.294e-07,7.4606e-06,0.1691,,166.03,121.7
67,7.311e-07,6.4688e-06,0.165,,166.16,121.6
68,6.395e-07,5.5442e-06,0.1653,,166.13,121.6
69,5.547e-07,4.6882e-06,0.1682,43.5084,156.19,129.4
70,4.768e-07,3.9022e-06,0.1649,,159.22,126.9
71,4.06e-07,3.1873e-06,0.1631,,165.79,121.9
72,3.423e-07,2.5447e-06,0.1627,,167.53,120.6
73,2.858e-07,1.9754e-06,0.1595,,159.59,126.6
74,2.368e-07,1.4801e-06,0.1616,,166.03,121.7
75,1.951e-07,1.0598e-06,0.1653,,165.51,122.1
76,1.609e-07,7.15e-07,0.1643,,164.4,122.9
77,1.343e-07,4.462e-07,0.1619,,165.97,121.8
78,1.153e-07,2.54e-07,0.1633,,165.82,121.9
79,1.038e-07,1.385e-07,0.1651,43.5768,166.37,121.5
