class_index,name,iou_frac,intersection,union,gt_pixels,pred_pixels
0,wall,0.727150,69549837,95647184,81041037,84155984
1,"building, edifice",0.794988,48263682,60709947,53170509,55803120
2,sky,0.941672,46339404,49209714,47676526,47872592
3,"floor, flooring",0.760690,29176941,38355898,32842524,34690315
4,tree,0.723308,22344672,30892331,25595703,27641300
5,ceiling,0.809789,18840922,23266467,20996774,21110615
6,"road, route",0.802830,17692345,22037468,19972693,19757120
7,bed,0.808676,9306902,11508816,10099567,10716151
8,"windowpane, window",0.601547,7057731,11732644,9001453,9788922
9,grass,0.650673,8552107,13143470,10409458,11286119
10,cabinet,0.544624,5954921,10934009,8761118,8127812
11,"sidewalk, pavement",0.557888,4998067,8958900,6685315,7271652
12,"person, individual, someone, somebody, mortal, soul",0.749884,8457670,11278640,9341046,10395264
13,"earth, ground",0.382550,4595648,12013200,9032502,7576346
14,"door, double door",0.374203,2734417,7307303,5566448,4475272
15,table,0.490386,3488681,7114155,5323516,5279320
16,"mountain, mount",0.607210,6404901,10548081,8368726,8584256
17,"plant, flora, plant life",0.418558,3871004,9248422,7191545,5927881
18,"curtain, drape, drapery, mantle, pall",0.703114,4050622,5760975,4947969,4863628
19,chair,0.471141,3066087,6507788,4896151,4677724
20,"car, auto, automobile, machine, motorcar",0.808094,3650515,4517441,4047591,4120365
21,water,0.508312,2876556,5659032,4335987,4199601
22,"painting, picture",0.625189,2252095,3602260,2790615,3063740
23,"sofa, couch, lounge",0.546284,1875182,3432612,2638434,2669360
24,shelf,0.400134,1930318,4824176,3335280,3419214
25,house,0.402927,2053731,5097028,3518102,3632657
26,sea,0.697722,2977597,4267599,3382044,3863152
27,mirror,0.546261,1426063,2610588,2160334,1876317
28,"rug, carpet, carpeting",0.522798,1278037,2444609,2132221,1590425
29,field,0.396865,1805569,4549581,3259690,3095460
30,armchair,0.352283,845877,2401128,1652382,1594623
31,seat,0.545691,1452094,2661021,2102846,2010269
32,"fence, fencing",0.332042,826513,2489179,1669450,1646242
33,desk,0.416507,854859,2052448,1323196,1584111
34,"rock, stone",0.428988,1285306,2996138,2091399,2190045
35,"wardrobe, closet, press",0.471697,1124664,2384293,1852969,1655988
36,lamp,0.506109,684097,1351680,1074190,961587
37,"bathtub, bathing tub, bath, tub",0.726469,1046415,1440413,1220716,1266112
38,"railing, rail",0.249834,457488,1831170,1370847,917811
39,cushion,0.487223,654666,1343667,1054033,944300
40,"base, pedestal, stand",0.192307,369333,1920541,1332490,957384
41,box,0.189745,306130,1613379,1277442,642067
42,"column, pillar",0.375512,618865,1648055,1314930,951990
43,"signboard, sign",0.322819,456460,1413980,1021529,848911
44,"chest of drawers, chest, bureau, dresser",0.387139,435196,1124134,792513,766817
45,counter,0.271210,339990,1253605,987802,605793
46,sand,0.526867,1163818,2208939,1745553,1627204
47,sink,0.618593,587461,949673,814011,723123
48,skyscraper,0.610827,1790713,2931619,2260867,2461465
49,"fireplace, hearth, open fireplace",0.607908,525497,864435,688848,701084
50,"refrigerator, icebox",0.670149,717606,1070816,909343,879079
51,"grandstand, covered stand",0.476229,484895,1018197,729145,773947
52,path,0.146534,217692,1485608,1002069,701231
53,"stairs, steps",0.256989,323843,1260144,984808,599179
54,runway,0.619759,839347,1354312,1040193,1153466
55,"case, display case, showcase, vitrine",0.475739,685998,1441964,1111345,1016617
56,"pool table, billiard table, snooker table",0.900568,661243,734251,692276,703218
57,pillow,0.458524,453166,988314,779502,661978
58,"screen door, screen",0.606140,546329,901325,651880,795774
59,"stairway, staircase",0.419167,411500,981710,714887,678323
60,river,0.200497,411273,2051270,1125683,1336860
61,"bridge, span",0.508368,465217,915118,760820,619515
62,bookcase,0.357641,447057,1250015,825270,871802
63,"blind, screen",0.338862,343083,1012456,937234,418305
64,"coffee table, cocktail table",0.476872,437899,918274,640359,715814
65,"toilet, can, commode, crapper, pot, potty, stool, throne",0.728729,546195,749517,675572,620140
66,flower,0.398275,396301,995043,726622,664722
67,book,0.442090,505921,1144385,837154,813152
68,hill,0.141544,154418,1090953,683459,561912
69,bench,0.411066,376896,916875,749265,544506
70,countertop,0.467096,271196,580600,411632,440164
71,"stove, kitchen stove, range, kitchen range, cooking stove",0.605021,517973,856124,711779,662318
72,"palm, palm tree",0.549113,297838,542398,435091,405145
73,kitchen island,0.391891,181653,463529,260963,384219
74,"computer, computing machine, computing device, data processor, electronic computer, information processing system",0.535451,417868,780404,635721,562551
75,swivel chair,0.378806,283200,747612,526118,504694
76,boat,0.404271,157240,388947,302428,243759
77,bar,0.317431,353751,1114420,896486,571685
78,arcade machine,0.475584,190366,400278,356865,233779
79,"hovel, hut, hutch, shack, shanty",0.214357,128194,598041,528510,197725
80,"bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle",0.750407,293783,391498,323662,361619
81,towel,0.509163,233427,458452,378553,313326
82,"light, light source",0.487402,250821,514608,445624,319805
83,"truck, motortruck",0.260864,63055,241716,205489,99282
84,tower,0.317483,171656,540678,326035,386299
85,"chandelier, pendant, pendent",0.566646,279396,493070,395707,376759
86,"awning, sunshade, sunblind",0.283831,116481,410388,331037,195832
87,"streetlight, street lamp",0.191225,80320,420028,339069,161279
88,"booth, cubicle, stall, kiosk",0.302702,136313,450321,409536,177098
89,"television receiver, television, television set, tv, tv set, idiot box, boob tube, telly, goggle box",0.539376,221650,410938,335396,297192
90,"airplane, aeroplane, plane",0.585178,136851,233862,191337,179376
91,dirt track,0.142478,24301,170560,103796,91065
92,"apparel, wearing apparel, dress, clothes",0.286524,83242,290524,167764,206002
93,pole,0.171542,74801,436051,308290,202562
94,"land, ground, soil",0.047102,20251,429940,318743,131448
95,"bannister, banister, balustrade, balusters, handrail",0.024779,12676,511553,290947,233282
96,"escalator, moving staircase, moving stairway",0.384418,184296,479416,405344,258368
97,"ottoman, pouf, pouffe, puff, hassock",0.294833,94699,321195,247159,168735
98,bottle,0.254815,97081,380986,269972,208095
99,"buffet, counter, sideboard",0.428109,171244,400001,355546,215699
100,"poster, posting, placard, notice, bill, card",0.258786,96910,374479,285418,185971
101,stage,0.230146,98747,429062,238580,289229
102,van,0.417291,122325,293141,226385,189081
103,ship,0.177639,76724,431909,223751,284882
104,fountain,0.311126,105541,339223,298237,146527
105,"conveyer belt, conveyor belt, conveyer, conveyor, transporter",0.499386,135872,272078,177374,230576
106,canopy,0.177137,94724,534750,441602,187872
107,"washer, automatic washer, washing machine",0.788882,447196,566873,520109,493960
108,"plaything, toy",0.114653,47147,411213,152264,306096
109,"swimming pool, swimming bath, natatorium",0.531940,139115,261524,236349,164290
110,stool,0.299329,100206,334769,244720,190255
111,"barrel, cask",0.638162,17000,26639,24986,18653
112,"basket, handbasket",0.283470,128188,452210,338882,241516
113,"waterfall, falls",0.544333,366338,673004,480656,558686
114,"tent, collapsible shelter",0.845878,212114,250762,215186,247690
115,bag,0.119252,48808,409285,338386,119707
116,"minibike, motorbike",0.662357,106548,160862,136671,130739
117,cradle,0.672838,210457,312790,235056,288191
118,oven,0.209520,41062,195981,137486,99557
119,ball,0.525624,96574,183732,127958,152348
120,"food, solid food",0.385724,303123,785854,633841,455136
121,"step, stair",0.084642,26532,313462,212600,127394
122,"tank, storage tank",0.676041,486479,719600,643388,562691
