epoch,lr_backbone,lr_head,train_loss,mIoU,img_per_sec,wall_time
0,1e-05,0.0001,1.6256,,239.79,84.3
1,9.9962e-06,9.99615e-05,1.2007,,237.48,85.1
2,9.9847e-06,9.9846e-05,0.9515,,172.07,117.4
3,9.9657e-06,9.96538e-05,0.8344,,164.9,122.5
4,9.9391e-06,9.9385e-05,0.7612,,172.42,117.2
5,9.9049e-06,9.90402e-05,0.6906,,171.97,117.5
6,9.8632e-06,9.86199e-05,0.6302,,172.41,117.2
7,9.8142e-06,9.81246e-05,0.5915,,172.39,117.2
8,9.7577e-06,9.75553e-05,0.5476,,172.66,117.0
9,9.694e-06,9.69127e-05,0.5227,38.8529,172.96,116.8
10,9.6232e-06,9.61978e-05,0.4879,,172.34,117.3
11,9.5453e-06,9.54118e-05,0.4733,,172.15,117.4
12,9.4605e-06,9.45558e-05,0.4446,,172.78,117.0
13,9.3689e-06,9.36312e-05,0.4188,,172.78,117.0
14,9.2706e-06,9.26394e-05,0.3996,,172.84,116.9
15,9.1658e-06,9.15819e-05,0.389,,172.72,117.0
16,9.0546e-06,9.04604e-05,0.3826,,172.9,116.9
17,8.9373e-06,8.92766e-05,0.367,,173.21,116.7
18,8.814e-06,8.80323e-05,0.3464,,172.56,117.1
19,8.6849e-06,8.67294e-05,0.3443,41.9456,172.64,117.1
20,8.5502e-06,8.537e-05,0.3304,,172.28,117.3
21,8.4101e-06,8.39561e-05,0.3208,,172.71,117.0
22,8.2648e-06,8.24899e-05,0.3126,,172.48,117.2
23,8.1145e-06,8.09737e-05,0.3053,,172.61,117.1
24,7.9595e-06,7.94099e-05,0.3049,,165.82,121.9
25,7.8001e-06,7.78007e-05,0.2934,,165.83,121.9
26,7.6364e-06,7.61488e-05,0.2861,,165.51,122.1
27,7.4687e-06,7.44566e-05,0.2828,,172.14,117.4
28,7.2973e-06,7.27268e-05,0.2666,,172.36,117.2
29,7.1224e-06,7.09621e-05,0.2642,42.7328,173.0,116.8
30,6.9443e-06,6.9165e-05,0.2616,,171.41,117.9
31,6.7633e-06,6.73385e-05,0.256,,171.24,118.0
32,6.5796e-06,6.54854e-05,0.2477,,172.52,117.1
33,6.3936e-06,6.36085e-05,0.2497,,172.49,117.2
34,6.2056e-06,6.17106e-05,0.241,,165.95,121.8
35,6.0157e-06,5.97948e-05,0.2346,,165.81,121.9
36,5.8244e-06,5.78639e-05,0.2305,,172.47,117.2
37,5.6318e-06,5.5921e-05,0.2269,,165.48,122.1
38,5.4384e-06,5.3969e-05,0.2241,,172.78,117.0
39,5.2443e-06,5.2011e-05,0.2216,42.4346,172.73,117.0
40,5.05e-06,5.005e-05,0.2173,,172.78,117.0
41,4.8557e-06,4.8089e-05,0.2166,,172.53,117.1
42,4.6616e-06,4.6131e-05,0.2099,,172.81,116.9
43,4.4682e-06,4.4179e-05,0.2082,,172.87,116.9
44,4.2756e-06,4.22361e-05,0.2038,,165.0,122.5
45,4.0843e-06,4.03052e-05,0.2031,,172.88,116.9
46,3.8944e-06,3.83894e-05,0.1978,,164.76,122.7
47,3.7064e-06,3.64915e-05,0.1989,,172.68,117.0
48,3.5204e-06,3.46146e-05,0.1958,,173.03,116.8
49,3.3367e-06,3.27615e-05,0.1895,42.5581,172.66,117.0
50,3.1557e-06,3.0935e-05,0.1913,,165.64,122.0
51,2.9776e-06,2.91379e-05,0.1882,,164.75,122.7
52,2.8027e-06,2.73732e-05,0.1865,,172.74,117.0
53,2.6313e-06,2.56434e-05,0.187,,172.63,117.1
54,2.4636e-06,2.39512e-05,0.1855,,172.55,117.1
55,2.2999e-06,2.22993e-05,0.1836,,172.7,117.0
56,2.1405e-06,2.06901e-05,0.181,,172.95,116.8
57,1.9855e-06,1.91263e-05,0.1788,,172.68,117.0
58,1.8352e-06,1.76101e-05,0.1789,,172.81,116.9
59,1.6899e-06,1.61439e-05,0.1738,42.687,172.41,117.2
60,1.5498e-06,1.473e-05,0.1758,,165.43,122.2
61,1.4151e-06,1.33706e-05,0.1756,,172.71,117.0
62,1.286e-06,1.20677e-05,0.1728,,172.17,117.4
63,1.1627e-06,1.08234e-05,0.1723,,164.85,122.6
64,1.0454e-06,9.6396e-06,0.1701,,164.9,122.5
65,9.342e-07,8.5181e-06,0.1707,,172.63,117.1
66,8.294e-07,7.4606e-06,0.17,,172.75,117.0
67,7.311e-07,6.4688e-06,0.1692,,172.8,116.9
68,6.395e-07,5.5442e-06,0.1728,,172.68,117.0
69,5.547e-07,4.6882e-06,0.169,42.6874,172.56,117.1
70,4.768e-07,3.9022e-06,0.1678,,172.69,117.0
71,4.06e-07,3.1873e-06,0.164,,172.74,117.0
72,3.423e-07,2.5447e-06,0.1671,,173.03,116.8
73,2.858e-07,1.9754e-06,0.1626,,172.39,117.2
74,2.368e-07,1.4801e-06,0.1647,,172.93,116.9
75,1.951e-07,1.0598e-06,0.1665,,165.03,122.4
76,1.609e-07,7.15e-07,0.1706,,172.64,117.1
77,1.343e-07,4.462e-07,0.1648,,173.01,116.8
78,1.153e-07,2.54e-07,0.1668,,171.78,117.6
79,1.038e-07,1.385e-07,0.168,42.6909,165.87,121.8
