class_index,name,iou_frac,intersection,union,gt_pixels,pred_pixels
0,wall,0.719774,68423107,95061974,81041037,82444044
1,"building, edifice",0.789113,47917411,60723095,53170509,55469997
2,sky,0.940429,46306575,49239849,47676526,47869898
3,"floor, flooring",0.766421,28415720,37075842,32842524,32649038
4,tree,0.725898,22653387,31207380,25595703,28265064
5,ceiling,0.796444,18216999,22872931,20996774,20093156
6,"road, route",0.809856,17705494,21862511,19972693,19595312
7,bed,0.803568,9161754,11401345,10099567,10463532
8,"windowpane, window",0.580890,6818906,11738714,9001453,9556167
9,grass,0.623658,8019270,12858447,10409458,10468259
10,cabinet,0.506368,5661120,11179855,8761118,8079857
11,"sidewalk, pavement",0.578904,5085748,8785129,6685315,7185562
12,"person, individual, someone, somebody, mortal, soul",0.747445,8451775,11307550,9341046,10418279
13,"earth, ground",0.412697,4857884,11771073,9032502,7596455
14,"door, double door",0.380939,2831848,7433856,5566448,4699256
15,table,0.484379,3384653,6987609,5323516,5048746
16,"mountain, mount",0.626119,6339233,10124640,8368726,8095147
17,"plant, flora, plant life",0.438491,3898144,8889915,7191545,5596514
18,"curtain, drape, drapery, mantle, pall",0.673434,4069214,6042480,4947969,5163725
19,chair,0.443556,2979609,6717543,4896151,4801001
20,"car, auto, automobile, machine, motorcar",0.784138,3677915,4690394,4047591,4320718
21,water,0.578454,3233430,5589778,4335987,4487221
22,"painting, picture",0.629993,2289442,3634076,2790615,3132903
23,"sofa, couch, lounge",0.503489,1874003,3722032,2638434,2957601
24,shelf,0.371262,1739839,4686285,3335280,3090844
25,house,0.426702,1999331,4685542,3518102,3166771
26,sea,0.786131,3082608,3921238,3382044,3621802
27,mirror,0.535456,1477909,2760096,2160334,2077671
28,"rug, carpet, carpeting",0.554700,1358455,2448989,2132221,1675223
29,field,0.450835,2095869,4648860,3259690,3485039
30,armchair,0.309755,760819,2456199,1652382,1564636
31,seat,0.540580,1600012,2959804,2102846,2456970
32,"fence, fencing",0.344195,795057,2309905,1669450,1435512
33,desk,0.390045,836542,2144730,1323196,1658076
34,"rock, stone",0.437169,1509457,3452797,2091399,2870855
35,"wardrobe, closet, press",0.465243,1106765,2378897,1852969,1632693
36,lamp,0.480692,698521,1453158,1074190,1077489
37,"bathtub, bathing tub, bath, tub",0.692633,1050865,1517203,1220716,1347352
38,"railing, rail",0.306934,596013,1941825,1370847,1166991
39,cushion,0.485761,719841,1481882,1054033,1147690
40,"base, pedestal, stand",0.127528,259786,2037095,1332490,964391
41,box,0.200848,349458,1739915,1277442,811931
42,"column, pillar",0.368761,613748,1664351,1314930,963169
43,"signboard, sign",0.310920,449549,1445869,1021529,873889
44,"chest of drawers, chest, bureau, dresser",0.381561,472980,1239593,792513,920060
45,counter,0.260115,346746,1333047,987802,691991
46,sand,0.613962,1337833,2179017,1745553,1771297
47,sink,0.587277,566786,965109,814011,717884
48,skyscraper,0.658895,1932922,2933581,2260867,2605636
49,"fireplace, hearth, open fireplace",0.596463,550520,922974,688848,784646
50,"refrigerator, icebox",0.565506,689999,1220144,909343,1000800
51,"grandstand, covered stand",0.414631,474818,1145158,729145,890831
52,path,0.137495,222564,1618712,1002069,839207
53,"stairs, steps",0.225614,316408,1402429,984808,734029
54,runway,0.609672,834942,1369494,1040193,1164243
55,"case, display case, showcase, vitrine",0.381759,729026,1909652,1111345,1527333
56,"pool table, billiard table, snooker table",0.870840,679112,779836,692276,766672
57,pillow,0.346816,305143,879840,779502,405481
58,"screen door, screen",0.569120,495388,870445,651880,713953
59,"stairway, staircase",0.393804,418421,1062510,714887,766044
60,river,0.328279,710985,2165795,1125683,1751097
61,"bridge, span",0.355409,390867,1099768,760820,729815
62,bookcase,0.373429,466841,1250146,825270,891717
63,"blind, screen",0.352101,355639,1010047,937234,428452
64,"coffee table, cocktail table",0.501066,413697,825634,640359,598972
65,"toilet, can, commode, crapper, pot, potty, stool, throne",0.714487,546975,765549,675572,636952
66,flower,0.295852,339563,1147746,726622,760687
67,book,0.346444,479339,1383596,837154,1025781
68,hill,0.091342,91181,998234,683459,405956
69,bench,0.379243,367610,969327,749265,587672
70,countertop,0.507892,291025,573006,411632,452399
71,"stove, kitchen stove, range, kitchen range, cooking stove",0.577259,521177,902848,711779,712246
72,"palm, palm tree",0.491517,291785,593642,435091,450336
73,kitchen island,0.378795,168027,443583,260963,350647
74,"computer, computing machine, computing device, data processor, electronic computer, information processing system",0.514963,420753,817055,635721,602087
75,swivel chair,0.351246,278874,793956,526118,546712
76,boat,0.501167,203547,406146,302428,307265
77,bar,0.361278,418380,1158055,896486,679949
78,arcade machine,0.615642,255969,415776,356865,314880
79,"hovel, hut, hutch, shack, shanty",0.316406,236466,747351,528510,455307
80,"bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle",0.701600,286962,409011,323662,372311
81,towel,0.413933,234948,567599,378553,423994
82,"light, light source",0.470350,245834,522662,445624,322872
83,"truck, motortruck",0.229309,61927,270059,205489,126497
84,tower,0.422412,172558,408506,326035,255029
85,"chandelier, pendant, pendent",0.489273,253155,517410,395707,374858
86,"awning, sunshade, sunblind",0.244481,100716,411958,331037,181637
87,"streetlight, street lamp",0.168101,71187,423478,339069,155596
88,"booth, cubicle, stall, kiosk",0.275640,161149,584636,409536,336249
89,"television receiver, television, television set, tv, tv set, idiot box, boob tube, telly, goggle box",0.583899,238302,408122,335396,311028
90,"airplane, aeroplane, plane",0.515806,135006,261738,191337,205407
91,dirt track,0.000171,31,181519,103796,77754
92,"apparel, wearing apparel, dress, clothes",0.300133,86113,286916,167764,205265
