epoch,lr_backbone,lr_head,train_loss,mIoU,img_per_sec,wall_time
0,1e-05,0.0001,1.5876,,229.55,88.0
1,9.9962e-06,9.99615e-05,1.1982,,232.81,86.8
2,9.9847e-06,9.9846e-05,0.9583,,151.03,133.8
3,9.9657e-06,9.96538e-05,0.8488,,156.93,128.8
4,9.9391e-06,9.9385e-05,0.7885,,156.76,128.9
5,9.9049e-06,9.90402e-05,0.7334,,156.79,128.9
6,9.8632e-06,9.86199e-05,0.6705,,157.44,128.4
7,9.8142e-06,9.81246e-05,0.6317,,157.05,128.7
8,9.7577e-06,9.75553e-05,0.5917,,156.48,129.1
9,9.694e-06,9.69127e-05,0.5604,39.3172,156.59,129.1
10,9.6232e-06,9.61978e-05,0.5212,,156.66,129.0
11,9.5453e-06,9.54118e-05,0.508,,150.97,133.8
12,9.4605e-06,9.45558e-05,0.4769,,157.03,128.7
13,9.3689e-06,9.36312e-05,0.4424,,156.77,128.9
14,9.2706e-06,9.26394e-05,0.4231,,156.76,128.9
15,9.1658e-06,9.15819e-05,0.4047,,150.66,134.1
16,9.0546e-06,9.04604e-05,0.396,,150.54,134.2
17,8.9373e-06,8.92766e-05,0.3898,,156.61,129.0
18,8.814e-06,8.80323e-05,0.3661,,156.93,128.8
19,8.6849e-06,8.67294e-05,0.3611,41.1258,156.61,129.0
20,8.5502e-06,8.537e-05,0.3376,,150.57,134.2
21,8.4101e-06,8.39561e-05,0.3337,,156.86,128.8
22,8.2648e-06,8.24899e-05,0.3295,,156.59,129.0
23,8.1145e-06,8.09737e-05,0.3168,,156.66,129.0
24,7.9595e-06,7.94099e-05,0.3122,,150.9,133.9
25,7.8001e-06,7.78007e-05,0.3065,,156.78,128.9
26,7.6364e-06,7.61488e-05,0.2929,,156.68,129.0
27,7.4687e-06,7.44566e-05,0.2932,,156.68,129.0
28,7.2973e-06,7.27268e-05,0.2765,,156.95,128.8
29,7.1224e-06,7.09621e-05,0.2675,42.0895,155.91,129.6
30,6.9443e-06,6.9165e-05,0.2701,,155.62,129.9
31,6.7633e-06,6.73385e-05,0.2602,,156.58,129.1
32,6.5796e-06,6.54854e-05,0.2548,,156.57,129.1
33,6.3936e-06,6.36085e-05,0.2571,,156.65,129.0
34,6.2056e-06,6.17106e-05,0.2495,,156.2,129.4
35,6.0157e-06,5.97948e-05,0.2427,,156.82,128.9
36,5.8244e-06,5.78639e-05,0.2339,,156.7,129.0
37,5.6318e-06,5.5921e-05,0.2264,,156.54,129.1
38,5.4384e-06,5.3969e-05,0.2322,,156.73,128.9
39,5.2443e-06,5.2011e-05,0.2249,42.7523,157.03,128.7
40,5.05e-06,5.005e-05,0.2213,,156.79,128.9
41,4.8557e-06,4.8089e-05,0.2189,,150.83,134.0
42,4.6616e-06,4.6131e-05,0.2107,,156.81,128.9
43,4.4682e-06,4.4179e-05,0.2123,,156.49,129.1
44,4.2756e-06,4.22361e-05,0.2089,,156.8,128.9
45,4.0843e-06,4.03052e-05,0.2053,,156.51,129.1
46,3.8944e-06,3.83894e-05,0.2028,,156.68,129.0
47,3.7064e-06,3.64915e-05,0.202,,156.49,129.1
48,3.5204e-06,3.46146e-05,0.1958,,156.73,128.9
49,3.3367e-06,3.27615e-05,0.1931,42.9593,156.63,129.0
50,3.1557e-06,3.0935e-05,0.1909,,156.36,129.2
51,2.9776e-06,2.91379e-05,0.1936,,156.59,129.0
52,2.8027e-06,2.73732e-05,0.1931,,156.93,128.8
53,2.6313e-06,2.56434e-05,0.1889,,156.72,128.9
54,2.4636e-06,2.39512e-05,0.1868,,156.77,128.9
55,2.2999e-06,2.22993e-05,0.1861,,156.24,129.3
56,2.1405e-06,2.06901e-05,0.1858,,156.7,129.0
57,1.9855e-06,1.91263e-05,0.183,,157.33,128.4
58,1.8352e-06,1.76101e-05,0.1803,,150.37,134.4
59,1.6899e-06,1.61439e-05,0.1818,42.9817,156.87,128.8
60,1.5498e-06,1.473e-05,0.1793,,157.08,128.6
61,1.4151e-06,1.33706e-05,0.1766,,155.93,129.6
62,1.286e-06,1.20677e-05,0.1763,,156.72,128.9
63,1.1627e-06,1.08234e-05,0.1742,,156.82,128.9
64,1.0454e-06,9.6396e-06,0.1735,,156.62,129.0
65,9.342e-07,8.5181e-06,0.1751,,150.42,134.3
66,8.294e-07,7.4606e-06,0.1719,,156.71,128.9
67,7.311e-07,6.4688e-06,0.1701,,157.05,128.7
68,6.395e-07,5.5442e-06,0.1724,,156.99,128.7
69,5.547e-07,4.6882e-06,0.1708,43.3001,156.94,128.8
70,4.768e-07,3.9022e-06,0.1687,,156.9,128.8
71,4.06e-07,3.1873e-06,0.1675,,156.97,128.7
72,3.423e-07,2.5447e-06,0.168,,156.68,129.0
73,2.858e-07,1.9754e-06,0.1659,,151.07,133.8
74,2.368e-07,1.4801e-06,0.1661,,157.05,128.7
75,1.951e-07,1.0598e-06,0.1703,,150.71,134.1
76,1.609e-07,7.15e-07,0.1686,,155.44,130.0
77,1.343e-07,4.462e-07,0.167,,156.27,129.3
78,1.153e-07,2.54e-07,0.1675,,150.7,134.1
79,1.038e-07,1.385e-07,0.1684,43.335,156.72,128.9
