class_index,name,iou_frac,intersection,union,gt_pixels,pred_pixels
0,wall,0.729116,69859799,95814404,81041037,84633166
1,"building, edifice",0.786777,48327605,61424770,53170509,56581866
2,sky,0.942816,46339216,49149794,47676526,47812484
3,"floor, flooring",0.766138,29167429,38070720,32842524,34395625
4,tree,0.730302,22491997,30798231,25595703,27694525
5,ceiling,0.811002,19032361,23467721,20996774,21503308
6,"road, route",0.799150,17640462,22074037,19972693,19741806
7,bed,0.804577,9303335,11563008,10099567,10766776
8,"windowpane, window",0.593931,6897070,11612577,9001453,9508194
9,grass,0.634895,8259394,13009076,10409458,10859012
10,cabinet,0.530765,5762509,10856989,8761118,7858380
11,"sidewalk, pavement",0.555379,5037862,9071042,6685315,7423589
12,"person, individual, someone, somebody, mortal, soul",0.744771,8475931,11380589,9341046,10515474
13,"earth, ground",0.343674,4092913,11909295,9032502,6969706
14,"door, double door",0.360311,2603528,7225786,5566448,4262866
15,table,0.479067,3504696,7315673,5323516,5496853
16,"mountain, mount",0.601324,6266040,10420401,8368726,8317715
17,"plant, flora, plant life",0.466304,4174838,8953042,7191545,5936335
18,"curtain, drape, drapery, mantle, pall",0.672634,3893957,5789117,4947969,4735105
19,chair,0.459471,3014285,6560340,4896151,4678474
20,"car, auto, automobile, machine, motorcar",0.807594,3652407,4522580,4047591,4127396
21,water,0.523751,2931300,5596740,4335987,4192053
22,"painting, picture",0.643709,2277168,3537571,2790615,3024124
23,"sofa, couch, lounge",0.521797,1916281,3672468,2638434,2950315
24,shelf,0.390062,1850770,4744810,3335280,3260300
25,house,0.337376,1603628,4753230,3518102,2838756
26,sea,0.728931,2986006,4096419,3382044,3700381
27,mirror,0.517842,1345040,2597395,2160334,1782101
28,"rug, carpet, carpeting",0.503250,1227396,2438940,2132221,1534115
29,field,0.414380,2182637,5267231,3259690,4190178
30,armchair,0.305536,701906,2297291,1652382,1346815
31,seat,0.505337,1468462,2905909,2102846,2271525
32,"fence, fencing",0.408414,930921,2279358,1669450,1540829
33,desk,0.374436,802179,2142367,1323196,1621350
34,"rock, stone",0.449730,1465455,3258522,2091399,2632578
35,"wardrobe, closet, press",0.462443,1202521,2600365,1852969,1949917
36,lamp,0.512531,686612,1339650,1074190,952072
37,"bathtub, bathing tub, bath, tub",0.662799,984716,1485693,1220716,1249693
38,"railing, rail",0.263539,486280,1845192,1370847,960625
39,cushion,0.479948,641583,1336777,1054033,924327
40,"base, pedestal, stand",0.159624,269668,1689397,1332490,626575
41,box,0.196799,360583,1832244,1277442,915385
42,"column, pillar",0.342402,570352,1665740,1314930,921162
43,"signboard, sign",0.342737,463067,1351084,1021529,792622
44,"chest of drawers, chest, bureau, dresser",0.404942,417242,1030374,792513,655103
45,counter,0.324517,391473,1206324,987802,609995
46,sand,0.523270,1121081,2142453,1745553,1517981
47,sink,0.610736,617187,1010563,814011,813739
48,skyscraper,0.618500,1808514,2924032,2260867,2471679
49,"fireplace, hearth, open fireplace",0.629686,555462,882125,688848,748739
50,"refrigerator, icebox",0.619015,677837,1095025,909343,863519
