category_id,name,baseline_AP,registers_AP,saga_AP,registers_minus_baseline_AP,saga_minus_baseline_AP,baseline_AP50,registers_AP50,saga_AP50,registers_minus_baseline_AP50,saga_minus_baseline_AP50,baseline_AP_S,registers_AP_S,saga_AP_S,registers_minus_baseline_AP_S,saga_minus_baseline_AP_S
1,person,47.091,47.837,47.626,+0.746,+0.535,78.748,79.336,78.587,+0.588,-0.161,28.731,29.207,29.152,+0.476,+0.421
2,bicycle,24.042,24.225,24.094,+0.183,+0.052,48.143,49.974,51.343,+1.831,+3.200,13.633,12.913,12.136,-0.720,-1.497
3,car,35.339,36.270,35.510,+0.931,+0.171,64.928,64.198,63.948,-0.730,-0.980,25.879,26.886,26.249,+1.007,+0.370
4,motorcycle,38.452,37.428,38.478,-1.024,+0.026,70.969,70.841,72.333,-0.128,+1.364,19.131,20.256,19.839,+1.125,+0.708
5,airplane,60.514,59.789,58.898,-0.725,-1.616,86.905,86.879,88.669,-0.026,+1.764,56.690,55.069,54.300,-1.621,-2.390
6,bus,56.595,58.131,56.781,+1.536,+0.186,77.075,78.151,77.770,+1.076,+0.695,19.961,17.851,15.420,-2.110,-4.541
7,train,59.613,58.713,59.683,-0.900,+0.070,85.588,84.184,85.387,-1.404,-0.201,18.548,11.552,29.375,-6.996,+10.827
8,truck,28.499,28.517,29.661,+0.018,+1.162,52.802,49.974,52.208,-2.828,-0.594,11.652,11.672,12.746,+0.020,+1.094
9,boat,20.151,21.164,21.607,+1.013,+1.456,46.659,47.345,47.086,+0.686,+0.427,11.474,12.519,11.487,+1.045,+0.013
10,traffic light,22.562,22.150,22.780,-0.412,+0.218,48.325,48.247,49.670,-0.078,+1.345,18.355,17.871,19.041,-0.484,+0.686
11,fire hydrant,58.570,59.549,59.434,+0.979,+0.864,85.049,86.637,84.372,+1.588,-0.677,29.339,34.578,30.792,+5.239,+1.453
13,stop sign,58.735,59.999,61.653,+1.264,+2.918,73.359,74.131,75.613,+0.772,+2.254,23.669,24.194,35.579,+0.525,+11.910
14,parking meter,36.866,39.787,37.412,+2.921,+0.546,60.362,61.600,59.400,+1.238,-0.962,13.177,19.900,13.719,+6.723,+0.542
15,bench,20.175,19.677,19.730,-0.498,-0.445,34.625,35.056,34.744,+0.431,+0.119,7.847,8.675,8.379,+0.828,+0.532
16,bird,29.922,31.058,30.393,+1.136,+0.471,51.243,53.630,52.786,+2.387,+1.543,18.377,20.454,19.088,+2.077,+0.711
17,cat,61.628,63.475,62.813,+1.847,+1.185,89.423,89.209,89.222,-0.214,-0.201,1.471,0.161,3.218,-1.310,+1.747
18,dog,58.906,59.337,59.503,+0.431,+0.597,81.442,80.425,81.790,-1.017,+0.348,28.658,28.374,27.586,-0.284,-1.072
19,horse,48.580,47.807,48.765,-0.773,+0.185,74.751,72.343,73.553,-2.408,-1.198,17.963,18.787,18.566,+0.824,+0.603
20,sheep,42.898,45.228,43.757,+2.330,+0.859,74.052,74.194,74.270,+0.142,+0.218,29.779,31.620,31.155,+1.841,+1.376
21,cow,48.493,47.232,48.598,-1.261,+0.105,76.118,76.544,77.803,+0.426,+1.685,38.394,40.781,39.106,+2.387,+0.712
22,elephant,55.184,55.073,59.047,-0.111,+3.863,85.946,85.503,88.517,-0.443,+2.571,42.254,41.520,43.294,-0.734,+1.040
23,bear,58.174,62.771,61.721,+4.597,+3.547,83.225,88.822,86.500,+5.597,+3.275,40.842,30.594,23.795,-10.248,-17.047
24,zebra,57.357,55.242,55.530,-2.115,-1.827,86.694,86.518,85.745,-0.176,-0.949,44.072,38.983,38.614,-5.089,-5.458
25,giraffe,58.506,58.465,59.836,-0.041,+1.330,86.886,83.091,86.745,-3.795,-0.141,30.634,26.175,27.787,-4.459,-2.847
27,backpack,9.243,10.429,9.038,+1.186,-0.205,21.792,21.957,20.204,+0.165,-1.588,8.215,10.056,10.011,+1.841,+1.796
28,umbrella,32.162,31.776,31.298,-0.386,-0.864,58.124,57.496,59.235,-0.628,+1.111,13.113,11.664,11.821,-1.449,-1.292
31,handbag,9.542,9.722,9.889,+0.180,+0.347,20.623,21.508,21.599,+0.885,+0.976,7.753,7.310,7.113,-0.443,-0.640
32,tie,25.795,25.232,26.531,-0.563,+0.736,47.714,46.430,49.828,-1.284,+2.114,14.549,13.675,14.851,-0.874,+0.302
33,suitcase,29.351,29.096,31.701,-0.255,+2.350,56.380,53.872,55.121,-2.508,-1.259,15.285,16.224,15.566,+0.939,+0.281
34,frisbee,56.750,59.178,57.036,+2.428,+0.286,80.012,81.093,79.413,+1.081,-0.599,50.747,52.095,49.444,+1.348,-1.303
35,skis,18.876,18.675,20.240,-0.201,+1.364,43.309,44.115,43.317,+0.806,+0.008,19.479,16.631,17.785,-2.848,-1.694
36,snowboard,25.499,30.921,28.239,+5.422,+2.740,49.147,52.850,49.133,+3.703,-0.014,14.626,22.041,17.285,+7.415,+2.659
37,sports ball,44.382,43.881,44.450,-0.501,+0.068,67.515,66.638,67.658,-0.877,+0.143,41.385,40.320,41.443,-1.065,+0.058
38,kite,34.218,36.359,36.890,+2.141,+2.672,60.402,60.303,61.250,-0.099,+0.848,38.586,39.099,38.638,+0.513,+0.052
39,baseball bat,21.554,22.308,24.236,+0.754,+2.682,49.154,50.225,52.305,+1.071,+3.151,26.268,26.489,25.989,+0.221,-0.279
40,baseball glove,31.998,30.445,31.191,-1.553,-0.807,58.863,60.959,59.035,+2.096,+0.172,26.156,24.577,26.944,-1.579,+0.788
41,skateboard,41.396,44.829,43.803,+3.433,+2.407,68.322,70.848,70.125,+2.526,+1.803,26.389,32.306,30.944,+5.917,+4.555
42,surfboard,33.809,34.978,34.279,+1.169,+0.470,60.663,59.102,59.683,-1.561,-0.980,18.839,18.685,18.286,-0.154,-0.553
43,tennis racket,39.306,39.519,38.916,+0.213,-0.390,73.617,73.437,72.768,-0.180,-0.849,27.537,29.291,28.836,+1.754,+1.299
44,bottle,30.734,31.431,30.590,+0.697,-0.144,53.027,54.142,53.328,+1.115,+0.301,20.865,20.715,20.517,-0.150,-0.348
46,wine glass,26.407,26.115,26.916,-0.292,+0.509,49.075,48.008,50.721,-1.067,+1.646,11.557,14.407,13.678,+2.850,+2.121
47,cup,32.268,32.950,33.538,+0.682,+1.270,51.739,52.115,52.732,+0.376,+0.993,16.852,17.738,17.535,+0.886,+0.683
48,fork,22.157,24.268,24.840,+2.111,+2.683,44.708,43.479,43.192,-1.229,-1.516,9.498,9.641,11.516,+0.143,+2.018
49,knife,11.123,11.931,11.992,+0.808,+0.869,25.964,24.955,25.543,-1.009,-0.421,6.862,5.995,6.087,-0.867,-0.775
50,spoon,9.191,9.809,9.716,+0.618,+0.525,20.847,21.453,22.406,+0.606,+1.559,6.566,7.607,7.221,+1.041,+0.655
51,bowl,33.624,33.673,34.411,+0.049,+0.787,51.847,51.944,51.814,+0.097,-0.033,15.172,14.385,14.313,-0.787,-0.859
52,banana,20.944,19.963,19.191,-0.981,-1.753,42.680,41.104,40.577,-1.576,-2.103,9.548,10.835,8.235,+1.287,-1.313
53,apple,14.821,16.004,14.925,+1.183,+0.104,24.391,25.937,23.646,+1.546,-0.745,2.426,4.439,3.815,+2.013,+1.389
54,sandwich,31.602,30.079,28.980,-1.523,-2.622,50.520,48.762,47.829,-1.758,-2.691,3.391,3.202,2.137,-0.189,-1.254
55,orange,27.268,25.629,27.572,-1.639,+0.304,40.508,38.777,40.598,-1.731,+0.090,11.208,10.414,9.786,-0.794,-1.422
56,broccoli,16.775,16.999,18.079,+0.224,+1.304,38.304,39.230,40.389,+0.926,+2.085,11.692,8.061,10.234,-3.631,-1.458
57,carrot,17.884,19.775,18.206,+1.891,+0.322,35.601,38.244,35.910,+2.643,+0.309,11.706,12.495,11.744,+0.789,+0.038
58,hot dog,23.035,26.652,26.532,+3.617,+3.497,40.977,48.263,45.164,+7.286,+4.187,2.822,5.029,3.873,+2.207,+1.051
59,pizza,47.537,48.596,48.325,+1.059,+0.788,70.260,71.165,71.825,+0.905,+1.565,19.125,17.971,19.899,-1.154,+0.774
60,donut,37.263,38.714,40.108,+1.451,+2.845,57.198,56.354,57.907,-0.844,+0.709,25.481,29.569,30.154,+4.088,+4.673
61,cake,28.639,31.203,30.688,+2.564,+2.049,50.419,54.617,51.364,+4.198,+0.945,15.060,15.800,12.465,+0.740,-2.595
62,chair,21.066,21.597,21.300,+0.531,+0.234,40.971,41.438,41.083,+0.467,+0.112,12.298,12.450,12.366,+0.152,+0.068
63,couch,36.338,40.898,37.428,+4.560,+1.090,58.137,61.725,62.042,+3.588,+3.905,9.505,5.211,5.040,-4.294,-4.465
64,potted plant,20.789,20.359,20.361,-0.430,-0.428,40.879,39.944,40.515,-0.935,-0.364,12.129,12.354,11.579,+0.225,-0.550
65,bed,40.831,41.145,39.327,+0.314,-1.504,67.304,66.796,65.768,-0.508,-1.536,20.000,0.000,0.000,-20.000,-20.000
67,dining table,23.782,23.868,24.281,+0.086,+0.499,40.565,40.551,40.276,-0.014,-0.289,1.088,3.084,3.015,+1.996,+1.927
70,toilet,54.121,53.283,52.643,-0.838,-1.478,77.616,79.787,76.734,+2.171,-0.882,9.250,1.479,4.992,-7.771,-4.258
72,tv,50.545,51.710,51.051,+1.165,+0.506,75.513,76.185,76.388,+0.672,+0.875,11.029,18.719,10.190,+7.690,-0.839
73,laptop,50.738,50.067,49.322,-0.671,-1.416,74.813,72.026,71.984,-2.787,-2.829,16.716,9.366,9.490,-7.350,-7.226
74,mouse,54.235,52.106,54.129,-2.129,-0.106,74.438,74.444,72.890,+0.006,-1.548,41.616,39.547,42.374,-2.069,+0.758
75,remote,24.112,23.368,23.753,-0.744,-0.359,44.815,45.849,45.001,+1.034,+0.186,15.222,15.266,14.874,+0.044,-0.348
76,keyboard,42.923,41.808,43.721,-1.115,+0.798,67.586,67.934,68.905,+0.348,+1.319,14.364,16.918,14.039,+2.554,-0.325
77,cell phone,28.453,28.506,29.611,+0.053,+1.158,48.449,47.628,47.744,-0.821,-0.705,14.238,16.158,14.764,+1.920,+0.526
78,microwave,50.912,48.941,51.005,-1.971,+0.093,70.847,71.196,70.631,+0.349,-0.216,7.723,1.170,2.574,-6.553,-5.149
79,oven,31.121,29.855,29.420,-1.266,-1.701,52.702,52.532,54.150,-0.170,+1.448,3.564,5.575,3.504,+2.011,-0.060
80,toaster,35.338,27.582,23.750,-7.756,-11.588,46.628,37.703,38.213,-8.925,-8.415,49.254,65.248,15.149,+15.994,-34.105
81,sink,30.030,29.776,30.019,-0.254,-0.011,54.092,51.568,53.914,-2.524,-0.178,12.267,12.198,10.627,-0.069,-1.640
82,refrigerator,45.703,48.298,48.907,+2.595,+3.204,69.075,69.781,69.192,+0.706,+0.117,0.000,0.000,0.000,+0.000,+0.000
84,book,12.003,12.688,12.144,+0.685,+0.141,28.992,30.229,29.916,+1.237,+0.924,10.144,11.001,10.039,+0.857,-0.105
85,clock,46.318,46.611,45.436,+0.293,-0.882,71.832,72.566,71.142,+0.734,-0.690,33.940,34.771,35.288,+0.831,+1.348
86,vase,25.606,27.770,29.366,+2.164,+3.760,44.950,45.417,49.741,+0.467,+4.791,14.886,14.171,15.214,-0.715,+0.328
87,scissors,32.283,24.303,30.379,-7.980,-1.904,46.751,35.406,50.080,-11.345,+3.329,2.972,1.497,5.677,-1.475,+2.705
88,teddy bear,38.442,38.979,37.521,+0.537,-0.921,63.840,66.669,61.266,+2.829,-2.574,11.630,11.573,6.123,-0.057,-5.507
89,hair drier,6.427,3.175,7.950,-3.252,+1.523,11.544,11.009,10.046,-0.535,-1.498,0.219,0.462,0.189,+0.243,-0.030
90,toothbrush,18.844,14.037,18.652,-4.807,-0.192,32.032,24.598,36.815,-7.434,+4.783,13.424,13.695,13.596,+0.271,+0.172
