class_index,name,is_background_class,baseline_iou_frac,baseline_iou_pts,registers_iou_frac,registers_iou_pts,saga_iou_frac,saga_iou_pts,registers_minus_baseline_iou_frac,registers_minus_baseline_iou_pts,saga_minus_baseline_iou_frac,saga_minus_baseline_iou_pts
0,wall,yes,0.727150,72.7150,0.719774,71.9774,0.729116,72.9116,-0.007376,-0.7376,+0.001966,+0.1966
1,"building, edifice",no,0.794988,79.4988,0.789113,78.9113,0.786777,78.6777,-0.005875,-0.5875,-0.008211,-0.8211
2,sky,yes,0.941672,94.1672,0.940429,94.0429,0.942816,94.2816,-0.001243,-0.1243,+0.001144,+0.1144
3,"floor, flooring",yes,0.760690,76.0690,0.766421,76.6421,0.766138,76.6138,+0.005731,+0.5731,+0.005448,+0.5448
4,tree,no,0.723308,72.3308,0.725898,72.5898,0.730302,73.0302,+0.002590,+0.2590,+0.006994,+0.6994
5,ceiling,no,0.809789,80.9789,0.796444,79.6444,0.811002,81.1002,-0.013345,-1.3345,+0.001213,+0.1213
6,"road, route",no,0.802830,80.2830,0.809856,80.9856,0.799150,79.9150,+0.007026,+0.7026,-0.003680,-0.3680
7,bed,no,0.808676,80.8676,0.803568,80.3568,0.804577,80.4577,-0.005108,-0.5108,-0.004099,-0.4099
8,"windowpane, window",no,0.601547,60.1547,0.580890,58.0890,0.593931,59.3931,-0.020657,-2.0657,-0.007616,-0.7616
9,grass,no,0.650673,65.0673,0.623658,62.3658,0.634895,63.4895,-0.027015,-2.7015,-0.015778,-1.5778
10,cabinet,no,0.544624,54.4624,0.506368,50.6368,0.530765,53.0765,-0.038256,-3.8256,-0.013859,-1.3859
11,"sidewalk, pavement",no,0.557888,55.7888,0.578904,57.8904,0.555379,55.5379,+0.021016,+2.1016,-0.002509,-0.2509
12,"person, individual, someone, somebody, mortal, soul",no,0.749884,74.9884,0.747445,74.7445,0.744771,74.4771,-0.002439,-0.2439,-0.005113,-0.5113
13,"earth, ground",no,0.382550,38.2550,0.412697,41.2697,0.343674,34.3674,+0.030147,+3.0147,-0.038876,-3.8876
14,"door, double door",no,0.374203,37.4203,0.380939,38.0939,0.360311,36.0311,+0.006736,+0.6736,-0.013892,-1.3892
15,table,no,0.490386,49.0386,0.484379,48.4379,0.479067,47.9067,-0.006007,-0.6007,-0.011319,-1.1319
16,"mountain, mount",no,0.607210,60.7210,0.626119,62.6119,0.601324,60.1324,+0.018909,+1.8909,-0.005886,-0.5886
17,"plant, flora, plant life",no,0.418558,41.8558,0.438491,43.8491,0.466304,46.6304,+0.019933,+1.9933,+0.047746,+4.7746
18,"curtain, drape, drapery, mantle, pall",no,0.703114,70.3114,0.673434,67.3434,0.672634,67.2634,-0.029680,-2.9680,-0.030480,-3.0480
19,chair,no,0.471141,47.1141,0.443556,44.3556,0.459471,45.9471,-0.027585,-2.7585,-0.011670,-1.1670
20,"car, auto, automobile, machine, motorcar",no,0.808094,80.8094,0.784138,78.4138,0.807594,80.7594,-0.023956,-2.3956,-0.000500,-0.0500
21,water,no,0.508312,50.8312,0.578454,57.8454,0.523751,52.3751,+0.070142,+7.0142,+0.015439,+1.5439
22,"painting, picture",no,0.625189,62.5189,0.629993,62.9993,0.643709,64.3709,+0.004804,+0.4804,+0.018520,+1.8520
23,"sofa, couch, lounge",no,0.546284,54.6284,0.503489,50.3489,0.521797,52.1797,-0.042795,-4.2795,-0.024487,-2.4487
24,shelf,no,0.400134,40.0134,0.371262,37.1262,0.390062,39.0062,-0.028872,-2.8872,-0.010072,-1.0072
25,house,no,0.402927,40.2927,0.426702,42.6702,0.337376,33.7376,+0.023775,+2.3775,-0.065551,-6.5551
26,sea,no,0.697722,69.7722,0.786131,78.6131,0.728931,72.8931,+0.088409,+8.8409,+0.031209,+3.1209
27,mirror,no,0.546261,54.6261,0.535456,53.5456,0.517842,51.7842,-0.010805,-1.0805,-0.028419,-2.8419
28,"rug, carpet, carpeting",no,0.522798,52.2798,0.554700,55.4700,0.503250,50.3250,+0.031902,+3.1902,-0.019548,-1.9548
29,field,no,0.396865,39.6865,0.450835,45.0835,0.414380,41.4380,+0.053970,+5.3970,+0.017515,+1.7515
30,armchair,no,0.352283,35.2283,0.309755,30.9755,0.305536,30.5536,-0.042528,-4.2528,-0.046747,-4.6747
