arch,group,metric,run_id,variant,role,n,mean,std,se,null_mean,delta_vs_baseline_mean,delta_sd,delta_se,delta_significant_2xSE,delta_direction,welch_p,note
vit_base,boxes20,box_area_frac,(all models),(image),null_reference,20,0.455806,0.375307,0.0839211,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,model-independent by construction; verified equal across models to 1e-9
vit_base,boxes20,inbox_mass,e2r_vitb_mixup_baseline_s1,baseline,baseline,20,0.414026,0.382229,0.0854691,0.455806,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,reference for this architecture
vit_base,boxes20,inbox_mass,e2r_vitb_mixup_saga_s1,saga,saga,20,0.440069,0.377302,0.0843673,0.455806,0.026043,0.0908005,0.0203036,no,above baseline,0.829483,paired by image vs e2r_vitb_mixup_baseline_s1 (n_pairs=20)
vit_base,boxes20,pointing_hit,e2r_vitb_mixup_baseline_s1,baseline,baseline,20,0.35,0.48936,0.109424,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,reference for this architecture
vit_base,boxes20,pointing_hit,e2r_vitb_mixup_saga_s1,saga,saga,20,0.45,0.510418,0.114133,MISSING,0.1,0.447214,0.1,no,above baseline,0.530883,paired by image vs e2r_vitb_mixup_baseline_s1 (n_pairs=20)
vit_base,random200,attn_entropy_bits,e2r_vitb_mixup_baseline_s1,baseline,baseline,200,4.76716,0.482449,0.0341143,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,reference for this architecture
vit_base,random200,attn_entropy_bits,e2r_vitb_mixup_saga_s1,saga,saga,200,4.75585,0.455823,0.0322316,MISSING,-0.0113149,0.402728,0.0284772,no,below baseline,0.809611,paired by image vs e2r_vitb_mixup_baseline_s1 (n_pairs=200)
vit_base,random200,ring1_mass,e2r_vitb_mixup_baseline_s1,baseline,baseline,200,0.41005,0.15298,0.0108173,0.22449,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,reference for this architecture
vit_base,random200,ring1_mass,e2r_vitb_mixup_saga_s1,saga,saga,200,0.40576,0.167391,0.0118364,0.22449,-0.00428921,0.150884,0.0106691,no,below baseline,0.789228,paired by image vs e2r_vitb_mixup_baseline_s1 (n_pairs=200)
vit_base,random200,uniform_ring1_mass,(all models),(image),null_reference,200,0.22449,0,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,model-independent by construction; verified equal across models to 1e-9
vit_small,boxes20,box_area_frac,(all models),(image),null_reference,20,0.455806,0.375307,0.0839211,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,model-independent by construction; verified equal across models to 1e-9
vit_small,boxes20,inbox_mass,e2r_vits_mixup_baseline_s1,baseline,baseline,20,0.450725,0.375097,0.0838743,0.455806,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,reference for this architecture
vit_small,boxes20,inbox_mass,e2r_vits_mixup_saga_s1,saga,saga,20,0.443757,0.373946,0.0836169,0.455806,-0.0069677,0.0543534,0.0121538,no,below baseline,0.953394,paired by image vs e2r_vits_mixup_baseline_s1 (n_pairs=20)
vit_small,boxes20,inbox_mass,legacy_vits_registers,registers,registers,20,0.54949,0.360677,0.0806497,0.455806,0.0987652,0.129581,0.0289752,YES,above baseline,0.401315,paired by image vs e2r_vits_mixup_baseline_s1 (n_pairs=20)
vit_small,boxes20,pointing_hit,e2r_vits_mixup_baseline_s1,baseline,baseline,20,0.25,0.444262,0.0993399,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,reference for this architecture
vit_small,boxes20,pointing_hit,e2r_vits_mixup_saga_s1,saga,saga,20,0.35,0.48936,0.109424,MISSING,0.1,0.307794,0.0688247,no,above baseline,0.502775,paired by image vs e2r_vits_mixup_baseline_s1 (n_pairs=20)
vit_small,boxes20,pointing_hit,legacy_vits_registers,registers,registers,20,0.55,0.510418,0.114133,MISSING,0.3,0.470162,0.105131,YES,above baseline,0.0548058,paired by image vs e2r_vits_mixup_baseline_s1 (n_pairs=20)
vit_small,random200,attn_entropy_bits,e2r_vits_mixup_baseline_s1,baseline,baseline,200,5.24165,0.598854,0.0423454,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,reference for this architecture
vit_small,random200,attn_entropy_bits,e2r_vits_mixup_saga_s1,saga,saga,200,5.28788,0.616892,0.0436209,MISSING,0.0462283,0.374663,0.0264927,no,above baseline,0.447461,paired by image vs e2r_vits_mixup_baseline_s1 (n_pairs=200)
vit_small,random200,attn_entropy_bits,legacy_vits_registers,registers,registers,200,5.96888,0.846412,0.0598503,MISSING,0.727227,0.741458,0.052429,YES,above baseline,1.19081e-20,paired by image vs e2r_vits_mixup_baseline_s1 (n_pairs=200)
vit_small,random200,ring1_mass,e2r_vits_mixup_baseline_s1,baseline,baseline,200,0.365204,0.12724,0.00899722,0.22449,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,reference for this architecture
