dataset,arch,variant,kind,ft_seed,n,top1_full,top1_ring1,top1_center44,top1_random44,drop_ring1,drop_center44,drop_random44,contrast_ring1_minus_random44,flag
aircraft,vit_small_patch16_224,baseline,repeat,f0,1,72.757,70.597,44.224,62.616,2.160000000000011,28.53300000000001,10.141000000000005,-7.9809999999999945,
aircraft,vit_small_patch16_224,baseline,repeat,f1,1,74.197,71.977,45.305,63.426,2.219999999999999,28.892000000000003,10.771,-8.551000000000002,
aircraft,vit_small_patch16_224,baseline,repeat,f2,1,72.247,70.297,42.904,61.236,1.9500000000000028,29.342999999999996,11.011000000000003,-9.061,
aircraft,vit_small_patch16_224,saga,repeat,f0,1,73.687,71.617,44.644,64.626,2.069999999999993,29.043,9.060999999999993,-6.991,
aircraft,vit_small_patch16_224,saga,repeat,f1,1,74.407,72.727,44.464,64.236,1.6799999999999926,29.942999999999998,10.170999999999992,-8.491,
aircraft,vit_small_patch16_224,saga,repeat,f2,1,73.987,71.797,45.575,63.786,2.1899999999999977,28.411999999999992,10.200999999999993,-8.010999999999996,
aircraft,vit_base_patch16_224,baseline,repeat,f0,1,72.427,70.297,47.585,64.476,2.1300000000000097,24.842000000000006,7.951000000000008,-5.820999999999998,
aircraft,vit_base_patch16_224,baseline,repeat,f1,1,72.637,71.917,49.985,66.817,0.7199999999999989,22.652,5.820000000000007,-5.1000000000000085,
aircraft,vit_base_patch16_224,baseline,repeat,f2,1,72.517,70.717,49.355,65.287,1.7999999999999972,23.162,7.22999999999999,-5.429999999999993,
aircraft,vit_base_patch16_224,saga,repeat,f0,1,74.227,71.797,48.095,64.686,2.430000000000007,26.132000000000005,9.540999999999997,-7.11099999999999,
aircraft,vit_base_patch16_224,saga,repeat,f1,1,72.997,71.287,47.735,63.996,1.7099999999999937,25.262,9.000999999999998,-7.291000000000004,
aircraft,vit_base_patch16_224,saga,repeat,f2,1,73.627,71.647,48.935,64.836,1.9799999999999898,24.691999999999993,8.790999999999997,-6.811000000000007,
cub,vit_small_patch16_224,baseline,repeat,f0,1,81.153,79.91,57.094,77.925,1.2430000000000092,24.059000000000005,3.2280000000000086,-1.9849999999999994,
cub,vit_small_patch16_224,baseline,repeat,f1,1,80.739,79.979,58.302,77.339,0.7600000000000051,22.437000000000005,3.4000000000000057,-2.6400000000000006,
cub,vit_small_patch16_224,baseline,repeat,f2,1,80.739,79.565,56.507,76.804,1.1740000000000066,24.232000000000006,3.9350000000000023,-2.7609999999999957,
cub,vit_small_patch16_224,saga,repeat,f0,1,80.86,79.91,56.679,77.132,0.9500000000000028,24.180999999999997,3.7279999999999944,-2.7779999999999916,
cub,vit_small_patch16_224,saga,repeat,f1,1,80.532,79.341,56.576,77.097,1.1910000000000025,23.955999999999996,3.4350000000000023,-2.2439999999999998,
cub,vit_small_patch16_224,saga,repeat,f2,1,80.152,79.134,57.094,76.855,1.0180000000000007,23.058,3.296999999999997,-2.2789999999999964,
cub,vit_base_patch16_224,baseline,repeat,f0,1,80.549,80.1,58.095,77.908,0.4490000000000123,22.454000000000008,2.6410000000000053,-2.191999999999993,
