arch,recipe_actual,variant,kind,provenance,n,top1_last,top1_best,sink_fixed_canon,sink_mad_k5,oversmooth_pairwise,oversmooth_pairwise_nosink,eff_rank,cls_norm_ratio_lastblock,cls_attn_share_lastblock
vit_small,mixup,baseline,repeat,legacy-mixupdir,,78.876,78.81,15.391,13.9036,0.402203,0.449792,90.681488,0.629872,0.268546
vit_small,mixup,baseline,repeat,legacy-nomixdir,,78.56,78.56,16.0066,16.6573,0.508612,0.542372,84.441111,0.629795,0.267089
vit_small,mixup,baseline,repeat,s1,,78.862,78.956,19.6771,18.2419,0.472935,0.498103,89.294701,0.684418,0.201615
vit_small,mixup,baseline,repeat,s2,,78.582,78.664,14.8443,16.3018,0.342009,0.392935,94.590657,0.65106,0.240381
vit_small,mixup,baseline,mean,,4,78.72,78.7475,16.47975,16.27615,0.43144,0.470801,89.751989,0.648786,0.244408
vit_small,mixup,baseline,std,,4,0.172379,0.17273,2.183803,1.792494,0.07423,0.064219,4.190911,0.025776,0.031329
vit_small,mixup,registers,repeat,legacy-mixupdir,,78.252,78.25,2.5361,3.8842,0.502786,0.509852,105.603191,0.660601,0.123077
vit_small,mixup,registers,repeat,legacy-nomixdir,,78.422,78.48,3.5368,4.0394,0.502811,0.513487,105.289052,0.66662,0.109259
vit_small,mixup,registers,mean,,2,78.337,78.365,3.03645,3.9618,0.502798,0.51167,105.446121,0.663611,0.116168
vit_small,mixup,registers,std,,2,0.120208,0.162635,0.707602,0.109743,1.8e-05,0.002571,0.22213,0.004256,0.009771
vit_small,mixup,saga,repeat,legacy-mixupdir,,78.75,78.812,5.4667,11.5365,0.261662,0.287825,110.087057,0.840731,0.067037
vit_small,mixup,saga,repeat,legacy-nomixdir,,79.13,79.19,9.6784,15.7782,0.311584,0.331088,102.295213,0.797929,0.144248
vit_small,mixup,saga,repeat,s1,,79.352,79.352,10.3592,16.2175,0.336263,0.370688,98.08943,0.855741,0.140883
vit_small,mixup,saga,repeat,s2,,79.472,79.512,8.0984,14.2059,0.297756,0.343238,104.948812,0.865824,0.054917
vit_small,mixup,saga,mean,,4,79.176,79.2165,8.400675,14.434525,0.301816,0.33321,103.855128,0.840056,0.101771
vit_small,mixup,saga,std,,4,0.317377,0.300002,2.173168,2.116229,0.031149,0.034494,5.023601,0.029917,0.047384
vit_small,mixup,registers,paired_delta,legacy-mixupdir,,-0.624,-0.56,-12.8549,-10.0194,0.100583,0.06006,14.921703,0.030729,-0.145469
vit_small,mixup,registers,paired_delta,legacy-nomixdir,,-0.138,-0.08,-12.4698,-12.6179,-0.005801,-0.028884,20.847941,0.036824,-0.157831
vit_small,mixup,registers,paired_delta_mean,,2,-0.381,-0.32,-12.66235,-11.31865,0.047391,0.015588,17.884822,0.033777,-0.15165
vit_small,mixup,registers,paired_delta_se,,2,0.243,0.24,0.19255,1.29925,0.053192,0.044472,2.963119,0.003048,0.006181
vit_small,mixup,registers,significant_2xSE,,2,0,0,1,1,0,0,1,1,1
