set,layer,spatial_std
mixup:legacy-mixupdir,0,0.00399
mixup:legacy-mixupdir,1,0.01023
mixup:legacy-mixupdir,2,0.0167
mixup:legacy-mixupdir,3,0.0053
mixup:legacy-mixupdir,4,0.0105
mixup:legacy-mixupdir,5,0.00724
mixup:legacy-mixupdir,6,0.0076
mixup:legacy-mixupdir,7,0.00732
mixup:legacy-mixupdir,8,0.00637
mixup:legacy-mixupdir,9,0.00781
mixup:legacy-mixupdir,10,0.00622
mixup:legacy-mixupdir,11,0.0
mixup:legacy-nomixdir,0,0.00251
mixup:legacy-nomixdir,1,0.00567
mixup:legacy-nomixdir,2,0.01398
mixup:legacy-nomixdir,3,0.0169
mixup:legacy-nomixdir,4,0.0083
mixup:legacy-nomixdir,5,0.00469
mixup:legacy-nomixdir,6,0.00634
mixup:legacy-nomixdir,7,0.00472
mixup:legacy-nomixdir,8,0.00681
mixup:legacy-nomixdir,9,0.00609
mixup:legacy-nomixdir,10,0.00477
mixup:legacy-nomixdir,11,0.0
mixup:s1,0,0.00198
mixup:s1,1,0.00591
mixup:s1,2,0.01791
mixup:s1,3,0.01282
mixup:s1,4,0.01105
mixup:s1,5,0.00516
mixup:s1,6,0.00881
mixup:s1,7,0.00817
mixup:s1,8,0.00655
mixup:s1,9,0.00505
mixup:s1,10,0.00638
mixup:s1,11,0.0
mixup:s2,0,0.00252
mixup:s2,1,0.00842
mixup:s2,2,0.01753
mixup:s2,3,0.01064
mixup:s2,4,0.00847
mixup:s2,5,0.00736
mixup:s2,6,0.00807
mixup:s2,7,0.00443
mixup:s2,8,0.00859
mixup:s2,9,0.00516
mixup:s2,10,0.00451
mixup:s2,11,0.0
nomix:s1,0,0.00263
nomix:s1,1,0.00699
nomix:s1,2,0.01835
nomix:s1,3,0.01294
nomix:s1,4,0.00928
nomix:s1,5,0.01123
nomix:s1,6,0.0164
nomix:s1,7,0.00991
nomix:s1,8,0.01274
nomix:s1,9,0.0206
nomix:s1,10,0.01895
nomix:s1,11,0.0
nomix:s2,0,0.00222
nomix:s2,1,0.00543
nomix:s2,2,0.02157
nomix:s2,3,0.00548
nomix:s2,4,0.00972
nomix:s2,5,0.00851
nomix:s2,6,0.00913
nomix:s2,7,0.01064
nomix:s2,8,0.01687
nomix:s2,9,0.02149
nomix:s2,10,0.01483
nomix:s2,11,0.0
