arch,recipe,variant,top1_best,top1_last,delta_top1_last_vs_baseline,sink_mad_k5,sink_mu3s,sink_fixed_thr,oversmooth_pairwise,oversmooth_pairwise_nosink,nosink_excluded_mean,eff_rank,cls_attn_share_lastblock,cls_norm_ratio_lastblock,reg_norm_mean,ckpt_sha256_last,top1_best_minus_last
vit_base,mixup,baseline,76.586,76.016,,14.6093,5.9162,195.9994,0.4212793994903564,0.506432493686676,14.6093,66.9202119140625,0.006872717111557722,0.7258729121208191,,467daf9dfcfd712534737cf727ff05155b31e4905cd3597da766224526ba70a5,0.57
vit_base,mixup,registers,75.972,75.764,-0.252,13.1362,4.5638,23.4014,0.5185438688278198,0.5414039360046387,13.1362,107.97282077636719,0.33480354495048525,0.7016783222198486,55.22989705810547,3e13c788fff6812a17ec0c04a2f1505a2e3af2a9c2db9d6afe9319084cdc1e53,0.208
vit_base,mixup,saga,74.494,73.744,-2.272,10.3422,4.6781,196.0,0.2885198495388031,0.3012409698009491,10.3422,121.08875347900391,0.005289100508391857,1.076190475177765,,c10af1fd55c4c39b44a0be7adc6527e3b0619c9db6a2dc7072d98d9adc9246f5,0.75
vit_base,nomix,baseline,76.688,76.736,,10.3115,4.8043,8.9307,0.39009630336761475,0.3973016707897186,10.3115,89.81198135986328,0.243720325422287,0.738845538520813,,2a7f8c84dc32571e95dc3745422b4960f9dd602433cd42f1e16891b6c491cac5,-0.048
vit_base,nomix,registers,76.31,76.126,-0.61,1.331,0.1978,175.8956,0.8173092492103576,0.8195716829299927,1.331,75.34090520019531,0.13416629400253297,0.6844852001190186,140.9423931640625,82365a311187250c34965c93a13ab435adf7ac2ad655115c855f7708f6f8ddb1,0.184
vit_base,nomix,saga,77.55,77.46,0.724,15.1858,3.9505,6.0149,0.30109419717788694,0.3191858223438263,15.1858,80.42172927246094,0.1618017388343811,0.8680742188453674,,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2,0.09
vit_small,mixup,baseline,78.81,78.876,,13.9036,5.321,17.9176,0.4022029362678528,0.4497924338340759,13.9036,90.68148796386718,0.2685458028793335,0.6298720848083497,,cd926200127b98cbc597ddad82d84fd823376addc0ac1075a98de73b21e7d17d,-0.066
vit_small,mixup,registers,78.25,78.252,-0.624,3.8842,2.0033,4.4543,0.5027856117248535,0.5098520613670349,3.8842,105.60319079589844,0.12307664189338684,0.6606013844490052,22.770007202148438,e50859f062be20cf971cefac39fde542bd3dc47fa272f3ed78abc193b71a8a77,-0.002
vit_small,mixup,saga,78.812,78.75,-0.126,11.5365,4.6601,6.0141,0.26166193556785583,0.2878247386932373,11.5365,110.0870572631836,0.06703705778121949,0.8407305574417114,,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995,0.062
vit_small,nomix,baseline,78.56,78.56,,16.6573,5.8063,18.2134,0.5086123776435852,0.5423717262268066,16.6573,84.44111098632813,0.26708920044898987,0.6297953771591187,,8d980da27a4b571a117e82451c8c9deff126e437206faee5120e069d3667e10d,0.0
vit_small,nomix,registers,78.48,78.422,-0.138,4.0394,2.334,5.4391,0.5028109443664551,0.5134874603271484,4.0394,105.28905183105469,0.10925861504077912,0.6666198633193969,21.6659271484375,7ca33ed755106aa7f0d0b02ebf6ceb003808fc5dc3f78699538de1fba820e536,0.058
vit_small,nomix,saga,79.19,79.13,0.57,15.7782,5.5156,10.9478,0.31158441047668456,0.33108804893493654,15.7782,102.29521279296875,0.14424805943965913,0.7979290561676026,,a482f5286b2c43ffa8d9f6606b1af24d06962421b808babfdd6b123a56b0f9ee,0.06
