arch,recipe,variant,sink_mad_k5,sink_mu2s,sink_mu3s,sink_mu4s,sink_mu5s,sink_mu6s,sink_fixed_thr,sink_fixed_v2,ckpt_sha256
vit_base,mixup,baseline,14.6093,7.7774,5.9162,4.3205,2.7731,1.4384,195.9994,13.8071,467daf9dfcfd712534737cf727ff05155b31e4905cd3597da766224526ba70a5
vit_base,mixup,registers,13.1362,11.8855,4.5638,1.2666,0.2764,0.0444,23.4014,0.0,3e13c788fff6812a17ec0c04a2f1505a2e3af2a9c2db9d6afe9319084cdc1e53
vit_base,mixup,saga,10.3422,8.0106,4.6781,2.644,1.3478,0.6086,196.0,44.7297,c10af1fd55c4c39b44a0be7adc6527e3b0619c9db6a2dc7072d98d9adc9246f5
vit_base,nomix,baseline,10.3115,5.4871,4.8043,4.0142,3.0708,2.0509,8.9307,8.9307,2a7f8c84dc32571e95dc3745422b4960f9dd602433cd42f1e16891b6c491cac5
vit_base,nomix,registers,1.331,4.5684,0.1978,0.0017,0.0,0.0,175.8956,175.8956,82365a311187250c34965c93a13ab435adf7ac2ad655115c855f7708f6f8ddb1
vit_base,nomix,saga,15.1858,4.5559,3.9505,3.3989,2.8485,2.2665,6.0149,6.0149,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2
vit_small,mixup,baseline,13.9036,6.6208,5.321,4.0372,2.8086,1.6966,17.9176,15.2558,cd926200127b98cbc597ddad82d84fd823376addc0ac1075a98de73b21e7d17d
vit_small,mixup,registers,3.8842,8.4552,2.0033,0.2942,0.0256,0.0013,4.4543,2.4396,e50859f062be20cf971cefac39fde542bd3dc47fa272f3ed78abc193b71a8a77
vit_small,mixup,saga,11.5365,7.1617,4.6601,3.1488,1.9797,1.0785,6.0141,5.4322,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995
vit_small,nomix,baseline,16.6573,7.1528,5.8063,4.3223,2.8198,1.5643,18.2134,18.2134,8d980da27a4b571a117e82451c8c9deff126e437206faee5120e069d3667e10d
vit_small,nomix,registers,4.0394,8.0481,2.334,0.5324,0.0824,0.0098,5.4391,5.4391,7ca33ed755106aa7f0d0b02ebf6ceb003808fc5dc3f78699538de1fba820e536
vit_small,nomix,saga,15.7782,7.8009,5.5156,3.741,2.2057,1.0278,10.9478,10.9478,a482f5286b2c43ffa8d9f6606b1af24d06962421b808babfdd6b123a56b0f9ee
